"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售额:山西:晋城市,百万人民币,2625.247059,4873269.833,2207.548376,0.627466011,-1.0006281,0.840891667,320,6557.14,1844,17,,,,,,,,,,,,,320.00,360.00,370.00,779.00,644.00,591.00,1086.00,1666.00,1844.00,3655.46,2659.05,3837.03,3408.09,6234.55,6027.88,6557.14,4590.00
商品房销售额:山西:朔州市,百万人民币,1667.78125,1996871.135,1413.106909,1.04422006,-0.002282303,0.847297515,120,4555.94,1240.885,16,,,,,,,,,,,,,120.00,140.00,500.00,459.00,742.00,1220.00,883.00,1383.00,1187.00,1634.47,2123.28,4058.09,4555.94,1261.77,2422.09,3994.86,
商品房销售额:山西:晋中市,百万人民币,3641.814118,8960359.496,2993.385958,1.215322147,1.8074641,0.821949134,200,11680,2797,17,,,,,,,,,,,,,200.00,250.00,720.00,1182.00,1935.00,2233.00,2797.00,1619.00,2849.00,2525.74,4278.94,4870.88,5715.67,5724.86,6215.86,7113.89,11680.00
商品房销售额:山西:运城市,百万人民币,4082.77375,11034612.35,3321.838701,0.861755525,0.355878671,0.813623018,220,11883.33,3366.5,16,,,,,,,,,,,,,220.00,490.00,630.00,1062.00,1350.00,1898.00,3005.00,3441.00,3292.00,4220.40,6689.32,6555.26,5719.01,6153.39,8715.67,11883.33,
商品房销售额:山西:忻州市,百万人民币,1457.645882,1275657.142,1129.449929,0.459581028,-0.698406311,0.774845209,50,3519.57,1436,17,,,,,,,,,,,,,50.00,80.00,60.00,178.00,587.00,834.00,1311.00,1060.00,1436.00,2336.09,1766.41,1846.40,1817.18,1459.07,3519.57,3169.26,3270.00
商品房销售额:山西:临汾市,百万人民币,3008.881765,6734059.701,2595.006686,0.664213138,-0.776383875,0.862448873,200,8390,1796,17,,,,,,,,,,,,,200.00,290.00,410.00,514.00,720.00,1138.00,1510.00,1796.00,1743.00,3203.57,3212.75,4763.68,5969.64,4886.65,6761.95,5641.75,8390.00
商品房销售额:山西:吕梁市,百万人民币,1206.373125,863788.7196,929.4023454,0.202735619,-1.434098085,0.770410353,80,2699.68,1179.75,16,,,,,,,,,,,,,170.00,80.00,90.00,159.00,291.00,791.00,601.00,1033.00,1651.00,1560.02,1326.50,2523.13,1896.79,2054.06,2699.68,2375.79,
商品房销售额:内蒙古:呼和浩特市,百万人民币,13697.63211,112114238.1,10588.40111,0.194332412,-1.438415434,0.7730096,807.09,33079.4,14753.58,19,,,,,,,,,,,807.09,1009.21,1807.92,2132.11,2606.00,4609.53,5098.24,5864.15,9062.82,14753.58,19351.14,24345.59,26037.81,22000.78,19919.21,19829.21,27335.98,20605.24,33079.40
商品房销售额:内蒙古:包头市,百万人民币,14710.23125,97828693.53,9890.838869,-0.071322166,-1.12321324,0.672378204,760,32307.72,17726.07,16,,,,,,,,,,,,,760.00,1270.00,1880.00,3767.00,5084.00,9402.00,13534.00,19272.00,26657.00,32307.72,16180.14,21415.25,19417.11,19577.93,21900.42,22939.13,
商品房销售额:内蒙古:乌海市,百万人民币,3049.953529,4198102.659,2048.927197,0.35927786,-1.083472111,0.671789644,210,6774.68,2675,17,,,,,,,,,,,,,210.00,350.00,800.00,1279.00,1764.00,3201.00,2675.00,1711.00,2723.00,4505.98,5063.14,5321.12,6774.68,6039.72,5066.31,2487.26,1878.00
商品房销售额:内蒙古:赤峰市,百万人民币,8577.192941,42335143.77,6506.546225,0.18341942,-1.294395798,0.758586902,480,20311.49,10286,17,,,,,,,,,,,,,480.00,540.00,640.00,1311.00,2876.00,3752.00,4452.00,5768.00,10286.00,16219.34,12372.41,20311.49,11646.86,12058.49,14451.92,11566.77,17080.00
商品房销售额:内蒙古:通辽市,百万人民币,3680.15625,7579281.213,2753.049439,0.181525532,-1.256331135,0.748079498,270,8581.51,3886,16,,,,,,,,,,,,,270.00,410.00,440.00,508.00,943.00,2940.00,2197.00,2426.00,4832.00,6278.79,5186.35,5941.00,5247.38,5137.42,7544.05,8581.51,
商品房销售额:内蒙古:鄂尔多斯市,百万人民币,9590.175,54113919.02,7356.216352,0.666227357,0.129616089,0.767057572,410,25163,9959.13,16,,,,,,,,,,,,,410.00,490.00,780.00,1870.00,4758.00,11813.00,12562.00,16710.00,25163.00,22427.79,10790.07,10385.27,10252.23,9666.03,8795.15,6570.26,
商品房销售额:内蒙古:呼伦贝尔市,百万人民币,9001.398824,46563548.13,6823.748833,0.29199174,-1.299277767,0.758076491,730,20241.94,7501,17,,,,,,,,,,,,,730.00,810.00,1160.00,1735.00,2290.00,3607.00,7501.00,6519.00,7069.00,15158.24,14023.91,15951.38,20241.94,20115.68,15509.52,11270.11,9332.00
商品房销售额:内蒙古:巴彦淖尔市,百万人民币,3098.245294,3782882.385,1944.963338,-0.136178557,-1.06378885,0.627762863,220,6593.87,3868.81,17,,,,,,,,,,,,,240.00,220.00,430.00,1169.00,1270.00,1782.00,2434.00,3881.00,4187.00,4828.94,3295.31,6593.87,3982.66,3868.81,5187.49,4880.09,4420.00
商品房销售额:内蒙古:乌兰察布市,百万人民币,1484.56125,1244781.883,1115.697935,0.678322208,0.049172443,0.751533785,100,4025.37,1551.15,16,,,,,,,,,,,,,100.00,270.00,260.00,583.00,498.00,2037.00,2194.00,2334.00,2999.00,4025.37,1783.96,1335.24,2086.84,1767.06,580.59,898.92,
商品房销售额:辽宁:沈阳市,百万人民币,68236.42526,2388208890,48869.30417,0.208262966,-1.077981436,0.716176206,5356.88,156113.16,68436.06,19,,,,,,,,,,,5676.40,5356.88,5641.47,9470.85,15263.00,31744.65,41992.43,54080.68,60469.46,68436.06,94504.87,128193.33,156113.16,143605.31,93157.52,73069.85,84415.68,104830.48,120470.00
商品房销售额:辽宁:大连市,百万人民币,52130.05895,1011259623,31800.30853,-0.108733925,-1.552538397,0.610018657,7324.64,100987.38,56910.46,19,,,,,,,,,,,7324.64,10990.69,11935.09,14551.20,15153.00,22295.01,28453.88,46114.28,47505.24,72031.62,85603.69,73284.53,86147.11,100987.38,68786.53,56910.46,66177.70,86629.07,89590.00
商品房销售额:辽宁:鞍山市,百万人民币,12875.42706,115459262.4,10745.19718,0.825603389,0.033671034,0.83455074,1200,36651.96,12486.24,17,,,,,,,,,,,,,1540.00,1200.00,1880.00,2327.00,2905.00,3575.00,7212.00,12251.00,20242.00,25256.00,31231.27,36651.96,16580.97,14477.42,12486.24,14886.40,14180.00
商品房销售额:辽宁:抚顺市,百万人民币,5915.314706,24151743.97,4914.442386,0.994192994,0.184306366,0.830799819,780,16806.82,5091.63,17,,,,,,,,,,,,,780.00,820.00,1100.00,1425.00,1860.00,2508.00,2802.00,4965.00,7754.00,12612.00,14574.61,16806.82,8828.19,5091.63,6953.83,5889.27,5790.00
商品房销售额:辽宁:本溪市,百万人民币,6248.121765,36123871.3,6010.313744,1.253003351,0.296264615,0.961939279,780,19693.23,3495.33,17,,,,,,,,,,,,,820.00,780.00,1000.00,1881.00,2290.00,3132.00,3465.00,5409.00,7616.00,14504.00,17084.68,19693.23,12982.19,5186.26,3199.38,3495.33,3680.00
商品房销售额:辽宁:丹东市,百万人民币,8456.101765,37949306.24,6160.300823,0.425304243,-0.553454588,0.728503629,760,21173.26,9171.19,17,,,,,,,,,,,,,920.00,760.00,1120.00,2105.00,2263.00,4632.00,5041.00,7870.00,10902.00,14673.00,17878.24,21173.26,12010.24,9171.19,9831.63,11073.17,12330.00
商品房销售额:辽宁:锦州市,百万人民币,7265.527647,34576456.32,5880.174855,0.697616697,-0.729972919,0.809325233,810,18874.18,6234,17,,,,,,,,,,,,,810.00,1310.00,900.00,1031.00,1941.00,3488.00,5176.00,6234.00,12220.00,13427.00,15812.57,18874.18,15957.21,7319.81,6340.99,6642.21,6030.00
商品房销售额:辽宁:营口市,百万人民币,9840.919412,77809560.23,8820.972748,1.035536948,-0.156460433,0.896356568,1210,27043.27,7352.94,17,,,,,,,,,,,,,1210.00,1260.00,1520.00,2508.00,2687.00,3384.00,5047.00,10158.00,18428.00,23311.00,26821.37,27043.27,11249.79,6969.67,7352.94,8425.59,9920.00
商品房销售额:辽宁:阜新市,百万人民币,3006.205625,5695217.879,2386.465562,1.035078894,-0.006362898,0.793846416,510,8022.78,2257.81,16,,,,,,,,,,,,,510.00,730.00,780.00,1594.00,970.00,1351.00,1665.00,2060.00,3357.00,5105.00,5884.67,8022.78,7364.66,3423.83,2455.62,2825.73,
商品房销售额:辽宁:辽阳市,百万人民币,4372.921176,10661157.89,3265.142859,0.795778404,0.000884289,0.746673157,650,11684.2,3882,17,,,,,,,,,,,,,650.00,700.00,750.00,1421.00,1323.00,2462.00,2971.00,3882.00,6029.00,7349.00,9665.76,11684.20,7592.48,5570.47,3254.00,4335.75,4700.00
商品房销售额:辽宁:盘锦市,百万人民币,7029.342353,38282787.33,6187.30857,0.255643656,-1.722619706,0.880211584,300,16117.95,5052,17,,,,,,,,,,,,,510.00,300.00,390.00,640.00,806.00,949.00,2970.00,5052.00,9184.00,12768.00,14832.65,15598.85,16117.95,14426.99,9550.08,11393.30,4010.00
商品房销售额:辽宁:铁岭市,百万人民币,7220.07375,43567951.9,6600.602389,0.583361348,-1.38474299,0.914201519,480,18278.26,4178.82,16,,,,,,,,,,,,,660.00,670.00,480.00,1236.00,1777.00,2708.00,3058.00,6639.00,13609.00,12872.00,16696.91,18278.26,17071.49,11407.88,4792.83,3564.81,
商品房销售额:辽宁:朝阳市,百万人民币,5989.191765,39009728.5,6245.776853,1.619482086,2.427113038,1.042841355,520,23143.2,3927,17,,,,,,,,,,,,,520.00,640.00,800.00,688.00,1804.00,2263.00,2843.00,3927.00,6934.00,9272.00,15148.53,23143.20,13958.96,7262.01,3790.59,4041.97,4780.00
商品房销售额:辽宁:葫芦岛市,百万人民币,5305.239375,15755236.23,3969.286615,0.690059146,-0.020144387,0.748182379,830,14358.36,5091.58,16,,,,,,,,,,,,,830.00,1140.00,1050.00,847.00,1713.00,3041.00,3541.00,7946.00,9950.00,5094.00,8386.62,14358.36,7551.54,5209.79,5089.16,9136.36,
商品房销售额:吉林:长春市,百万人民币,34579.24895,914456831.1,30239.98729,0.74532012,-0.049709567,0.874512553,1831.39,106230,29641.76,19,,,,,,,,,,,1831.39,2689.65,4821.53,3992.48,4387.00,8137.96,10444.71,16695.80,19911.98,29641.76,44690.71,54015.67,50305.00,51040.00,47511.35,53420.83,66736.97,80500.94,106230.00
商品房销售额:吉林:吉林市,百万人民币,10354.785,54519421.22,7383.726784,0.447486511,-0.78024182,0.713073887,1560,24902,10394.025,16,,,,,,,,,,,,,1560.00,1580.00,1580.00,3491.00,3770.00,4613.00,8284.00,11862.00,16479.00,20930.00,24902.00,18850.00,10257.11,10530.94,12157.28,14830.23,
商品房销售额:吉林:四平市,百万人民币,2313.62125,4397965.422,2097.132667,0.535289117,-1.43509324,0.906428685,130,5680,1503.76,16,,,,,,,,,,,,,250.00,260.00,130.00,453.00,361.00,799.00,1252.00,2642.00,3962.00,5437.00,5223.00,5680.00,4852.99,1755.52,3135.63,824.80,
