"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
企业数:工业:浙江:嘉兴市,个,4285.578947,3726159.813,1930.326349,-0.306765896,-0.993359994,0.450423705,1277,7311,4707,19,,1355.00,1277.00,1303.00,1777.00,2526.00,2836.00,4497.00,5389.00,5986.00,6728.00,6819.00,7311.00,3987.00,4324.00,4707.00,5005.00,5154.00,5051.00,5394.00,
企业数:工业:浙江:湖州市,个,2203.526316,771168.4854,878.1619927,-0.394159016,-1.022719599,0.398525757,748,3561,2428,19,,748.00,768.00,983.00,1118.00,1323.00,1589.00,1895.00,2339.00,2567.00,3069.00,3371.00,3561.00,2309.00,2428.00,2577.00,2719.00,2752.00,2806.00,2945.00,
企业数:工业:浙江:绍兴市,个,3719.631579,1442174.246,1200.905594,-0.47739005,-0.772998302,0.322856059,1618,5545,4032,19,,1618.00,1776.00,1975.00,2125.00,2448.00,3876.00,3676.00,4032.00,4428.00,5213.00,5266.00,5545.00,3427.00,3682.00,4079.00,4231.00,4352.00,4430.00,4494.00,
企业数:工业:浙江:金华市,个,3297.578947,2290223.48,1513.348433,-0.260705597,-0.568987448,0.458927127,765,5965,3691,19,,765.00,813.00,891.00,1727.00,2082.00,2805.00,2968.00,3730.00,4503.00,5138.00,5312.00,5965.00,2968.00,3248.00,3871.00,4065.00,4144.00,3968.00,3691.00,
企业数:工业:浙江:衢州市,个,811.5,97779.84211,312.6976848,-0.293122647,-0.354733684,0.385332945,259,1411,867,20,,259.00,264.00,376.00,433.00,518.00,650.00,722.00,838.00,933.00,1114.00,1230.00,1411.00,861.00,940.00,1005.00,1025.00,1003.00,933.00,842.00,873.00
企业数:工业:浙江:舟山市,个,394.4210526,17049.36842,130.5732301,0.38078604,-0.160670347,0.331050357,186,659,383,19,,186.00,194.00,228.00,300.00,314.00,339.00,442.00,451.00,531.00,590.00,596.00,659.00,358.00,383.00,414.00,393.00,390.00,375.00,351.00,
企业数:工业:浙江:台州市,个,3825.894737,2492706.766,1578.830823,0.630807599,0.128947534,0.412669697,1384,7308,3689,19,,1384.00,1564.00,2413.00,2257.00,2634.00,3689.00,3945.00,4547.00,5474.00,6262.00,6210.00,7308.00,3040.00,3378.00,3733.00,3804.00,3672.00,3618.00,3760.00,
企业数:工业:浙江:丽水市,个,930.5,149302.9706,386.3974257,-0.069816064,-0.648281107,0.415257846,295,1654,968.5,18,,,295.00,342.00,408.00,521.00,617.00,757.00,868.00,1021.00,1357.00,1451.00,1654.00,916.00,1100.00,1202.00,1161.00,1115.00,1115.00,849.00,
企业数:工业:安徽:合肥市,个,1418.736842,781807.9825,884.1990627,-0.026599279,-1.933268149,0.623229789,365,2535,1365,19,,368.00,365.00,365.00,447.00,436.00,492.00,668.00,852.00,1083.00,1365.00,1917.00,2229.00,2054.00,2296.00,2334.00,2419.00,2474.00,2535.00,2257.00,
企业数:工业:安徽:芜湖市,个,1165.526316,537693.8187,733.2760863,-0.078031697,-1.848139616,0.629137306,230,2101,1266,19,,231.00,230.00,262.00,308.00,360.00,522.00,552.00,748.00,874.00,1266.00,1587.00,1786.00,1666.00,1792.00,1836.00,1973.00,2101.00,2089.00,1962.00,
企业数:工业:安徽:蚌埠市,个,530.6842105,123970.7836,352.0948503,0.556974327,-1.168908662,0.663473387,176,1160,443,19,,192.00,176.00,181.00,207.00,207.00,202.00,204.00,244.00,347.00,443.00,600.00,864.00,582.00,685.00,738.00,880.00,1056.00,1160.00,1115.00,
企业数:工业:安徽:淮南市,个,339,41988.22222,204.9102785,0.340612126,-1.799978623,0.604455099,129,621,248,19,,144.00,131.00,131.00,129.00,141.00,153.00,164.00,184.00,192.00,248.00,420.00,589.00,348.00,465.00,609.00,561.00,621.00,602.00,609.00,
企业数:工业:安徽:马鞍山市,个,579.5263158,142160.152,377.0413134,0.214896461,-1.302301453,0.650602575,120,1214,605,19,,126.00,120.00,122.00,148.00,184.00,190.00,341.00,426.00,516.00,605.00,705.00,791.00,639.00,750.00,895.00,1035.00,1150.00,1214.00,1054.00,
企业数:工业:安徽:淮北市,个,413.4210526,84547.92398,290.7712571,0.05609498,-1.972747917,0.703329584,101,779,478,19,,107.00,101.00,101.00,101.00,110.00,110.00,123.00,162.00,228.00,478.00,588.00,673.00,527.00,657.00,732.00,766.00,779.00,774.00,738.00,
企业数:工业:安徽:铜陵市,个,232.5789474,21610.81287,147.0061661,1.167705786,0.527969553,0.632069961,84,541,204,19,,88.00,84.00,90.00,92.00,98.00,130.00,159.00,177.00,213.00,257.00,295.00,281.00,174.00,204.00,245.00,260.00,491.00,541.00,540.00,
企业数:工业:安徽:安庆市,个,1066.526316,312582.152,559.0904686,-0.017251041,-1.908417605,0.52421629,433,1791,1190,19,,448.00,448.00,448.00,433.00,438.00,462.00,492.00,614.00,916.00,1190.00,1414.00,1527.00,1344.00,1474.00,1674.00,1791.00,1667.00,1768.00,1716.00,
企业数:工业:安徽:黄山市,个,351.3684211,28485.91228,168.7777008,-0.189682763,-1.863352746,0.480343966,129,563,408,19,,147.00,149.00,129.00,134.00,153.00,186.00,205.00,256.00,331.00,446.00,492.00,517.00,408.00,474.00,503.00,516.00,539.00,563.00,528.00,
企业数:工业:安徽:滁州市,个,861.0526316,211534.6082,459.9289165,0.261776231,-1.571582508,0.534147275,349,1578,849,19,,376.00,367.00,349.00,350.00,376.00,405.00,452.00,568.00,656.00,926.00,1104.00,1238.00,849.00,1091.00,1253.00,1382.00,1503.00,1578.00,1537.00,
企业数:工业:安徽:阜阳市,个,703.6842105,273053.6725,522.5453784,1.025684223,-0.309318086,0.742585055,228,1743,502,19,,448.00,298.00,289.00,299.00,300.00,228.00,232.00,257.00,301.00,502.00,681.00,686.00,628.00,836.00,1070.00,1316.00,1547.00,1709.00,1743.00,
企业数:工业:安徽:宿州市,个,622.8421053,184602.3626,429.6537706,0.375876212,-1.511116704,0.689827754,185,1315,578,19,,208.00,202.00,207.00,212.00,185.00,198.00,212.00,238.00,344.00,578.00,723.00,856.00,869.00,847.00,982.00,1129.00,1257.00,1315.00,1272.00,
企业数:工业:安徽:巢湖市,个,430.4166667,30597.35606,174.9209995,1.215020033,0.531873833,0.406399224,285,812,372,12,,294.00,285.00,287.00,286.00,303.00,361.00,383.00,413.00,477.00,595.00,669.00,812.00,,,,,,,,
企业数:工业:安徽:六安市,个,652.3157895,108621.5614,329.5778533,-0.11385588,-1.860206463,0.505242796,233,1086,765,19,,246.00,233.00,250.00,264.00,285.00,306.00,370.00,482.00,554.00,771.00,947.00,1028.00,765.00,930.00,1018.00,1086.00,997.00,948.00,914.00,
企业数:工业:安徽:亳州市,个,422.5,92054.85294,303.4054267,0.631326363,-1.086781803,0.718119353,118,975,360.5,18,,,161.00,140.00,118.00,123.00,127.00,151.00,179.00,203.00,298.00,464.00,423.00,449.00,581.00,657.00,775.00,901.00,975.00,880.00,
企业数:工业:安徽:池州市,个,332,41455.05882,203.6051542,0.043592312,-1.696449319,0.613268537,80,614,350.5,18,,,84.00,80.00,85.00,100.00,124.00,146.00,177.00,235.00,351.00,449.00,614.00,350.00,431.00,466.00,524.00,575.00,605.00,580.00,
企业数:工业:安徽:宣城市,个,850.1111111,208371.8693,456.4776767,0.027918788,-1.667496837,0.53696237,246,1462,862.5,18,,,246.00,268.00,304.00,345.00,393.00,434.00,549.00,696.00,945.00,1111.00,1381.00,780.00,1001.00,1181.00,1349.00,1419.00,1462.00,1438.00,
企业数:工业:福建:福州市,个,2156.263158,285472.7602,534.2965097,-0.544599768,-0.342607658,0.247788174,1154,2900,2220,19,,1154.00,1231.00,1283.00,1562.00,1901.00,2345.00,2359.00,2470.00,2656.00,2900.00,2889.00,2877.00,2050.00,2077.00,2205.00,2275.00,2302.00,2220.00,2213.00,
企业数:工业:福建:厦门市,个,1568,199853.3684,447.0496264,-0.466329128,-0.718991214,0.28510818,810,2266,1691.5,20,,810.00,863.00,966.00,903.00,943.00,1879.00,1549.00,1684.00,1750.00,2077.00,2266.00,2213.00,1502.00,1503.00,1664.00,1701.00,1766.00,1699.00,1726.00,1896.00
企业数:工业:福建:莆田市,个,815,136037.5556,368.8326932,-0.118727001,-1.55951161,0.452555452,287,1347,859,19,,287.00,318.00,342.00,358.00,431.00,493.00,579.00,658.00,810.00,1002.00,1125.00,1347.00,859.00,942.00,1029.00,1175.00,1248.00,1261.00,1221.00,
企业数:工业:福建:三明市,个,1189.578947,281985.3684,531.0229453,-0.255525069,-1.756103806,0.446395715,444,1796,1386,19,,444.00,460.00,486.00,542.00,602.00,714.00,786.00,950.00,1146.00,1386.00,1469.00,1640.00,1521.00,1662.00,1690.00,1753.00,1785.00,1796.00,1770.00,
企业数:工业:福建:泉州市,个,3822.684211,1511511.006,1229.435239,-1.173429808,0.042592508,0.321615695,1280,5186,4338,19,,1280.00,1485.00,1725.00,2210.00,3183.00,3924.00,4095.00,4338.00,4583.00,4892.00,5044.00,5186.00,4004.00,4270.00,4405.00,4438.00,4420.00,4514.00,4635.00,
企业数:工业:福建:漳州市,个,1595.05,392054.05,626.1421963,-0.386995007,-1.430563237,0.392553335,585,2360,1777,20,,585.00,634.00,727.00,797.00,909.00,1081.00,1190.00,1392.00,1582.00,1862.00,2026.00,2273.00,2360.00,1692.00,1867.00,2006.00,2147.00,2228.00,2274.00,2269.00
企业数:工业:福建:南平市,个,841.3684211,89707.46784,299.5120496,-0.255484509,-1.424976976,0.355982043,403,1261,910,19,,404.00,403.00,440.00,443.00,532.00,576.00,683.00,836.00,1002.00,1191.00,1221.00,1261.00,824.00,910.00,941.00,997.00,1109.00,1124.00,1089.00,
企业数:工业:福建:龙岩市,个,860.8421053,147138.807,383.586766,-0.238388653,-1.4759102,0.4455948,343,1405,976,19,,355.00,352.00,343.00,352.00,369.00,481.00,644.00,809.00,976.00,1142.00,1257.00,1399.00,1405.00,965.00,987.00,1034.00,1095.00,1205.00,1186.00,
企业数:工业:福建:宁德市,个,815.2222222,154152.8889,392.6230876,-0.141801256,-1.517060593,0.4816148,265,1368,866,18,,,265.00,271.00,295.00,338.00,419.00,524.00,631.00,687.00,830.00,902.00,1034.00,1142.00,1115.00,1207.00,1365.00,1368.00,1195.00,1086.00,
企业数:工业:江西:南昌市,个,902.6315789,87607.57895,295.9857749,0.05033312,-0.917494634,0.32791427,492,1473,939,19,,586.00,543.00,492.00,504.00,500.00,632.00,769.00,902.00,939.00,936.00,1115.00,1154.00,939.00,1016.00,1034.00,1086.00,1227.00,1303.00,1473.00,
企业数:工业:江西:景德镇市,个,277.6842105,7440.894737,86.26062101,-0.042685048,-0.941829534,0.310642873,142,415,302,19,,142.00,157.00,171.00,167.00,183.00,218.00,249.00,260.00,302.00,402.00,415.00,413.00,318.00,292.00,304.00,305.00,320.00,321.00,337.00,
企业数:工业:江西:萍乡市,个,473.4210526,71120.81287,266.6848568,-0.398837278,-1.625602047,0.563314317,98,811,597,19,,99.00,98.00,104.00,131.00,155.00,216.00,245.00,481.00,634.00,754.00,794.00,811.00,567.00,597.00,642.00,660.00,652.00,648.00,707.00,
企业数:工业:江西:九江市,个,769.8421053,134004.3626,366.0660631,0.997163372,0.072208606,0.475507978,379,1607,641,19,,449.00,456.00,434.00,453.00,379.00,440.00,495.00,578.00,607.00,641.00,757.00,904.00,762.00,846.00,1009.00,1121.00,1259.00,1430.00,1607.00,
企业数:工业:江西:新余市,个,263.4736842,13699.15205,117.0433768,-0.330100621,-1.294182379,0.444231754,95,452,290,19,,99.00,95.00,117.00,104.00,106.00,140.00,245.00,306.00,333.00,374.00,367.00,369.00,274.00,283.00,290.00,307.00,353.00,392.00,452.00,
企业数:工业:江西:鹰潭市,个,152.6842105,4903.22807,70.02305385,0.668187378,-0.447459156,0.458613589,77,305,139,19,,78.00,87.00,80.00,78.00,77.00,89.00,94.00,121.00,128.00,139.00,172.00,187.00,163.00,184.00,197.00,217.00,235.00,270.00,305.00,
企业数:工业:江西:赣州市,个,805,115444,339.7705108,1.304142755,1.491738889,0.422075169,458,1721,676,19,,591.00,569.00,545.00,519.00,470.00,458.00,510.00,571.00,660.00,676.00,808.00,895.00,773.00,890.00,1019.00,1095.00,1188.00,1337.00,1721.00,
企业数:工业:江西:吉安市,个,672.0588235,111553.0588,333.995597,0.316797688,-0.676347124,0.496973755,243,1318,668,17,,,252.00,243.00,243.00,251.00,,417.00,526.00,579.00,728.00,744.00,768.00,631.00,668.00,836.00,963.00,1095.00,1163.00,1318.00,
企业数:工业:江西:宜春市,个,731.2222222,107799.7124,328.3286652,0.916819865,0.604994159,0.449013522,350,1529,688.5,18,,,466.00,434.00,353.00,350.00,350.00,492.00,545.00,663.00,672.00,805.00,860.00,705.00,770.00,857.00,953.00,1097.00,1261.00,1529.00,
企业数:工业:江西:抚州市,个,605.7222222,57148.68301,239.0579072,0.130826693,-1.47672967,0.394665902,296,994,594.5,18,,,356.00,356.00,349.00,296.00,310.00,348.00,445.00,564.00,582.00,784.00,813.00,607.00,669.00,761.00,823.00,903.00,943.00,994.00,
企业数:工业:江西:上饶市,个,625,70463.29412,265.4492308,0.897511122,1.040575277,0.424718769,269,1291,600,18,,,493.00,317.00,269.00,296.00,347.00,489.00,579.00,621.00,644.00,756.00,750.00,512.00,558.00,652.00,741.00,897.00,1038.00,1291.00,
企业数:工业:山东:济南市,个,1661.526316,151076.2632,388.6853009,-0.583543137,-1.183747056,0.233932678,1015,2156,1856,19,,1064.00,1038.00,1015.00,1125.00,1319.00,1510.00,1670.00,1856.00,1871.00,1929.00,2156.00,2021.00,1417.00,1647.00,1902.00,1985.00,2022.00,1968.00,2054.00,
企业数:工业:山东:青岛市,个,3927.157895,2194852.363,1481.503413,-0.533906998,-1.157749722,0.377245696,1504,5895,4567,19,,1517.00,1504.00,1673.00,2065.00,2393.00,2878.00,3697.00,4567.00,5032.00,5594.00,5895.00,5674.00,4727.00,4817.00,4917.00,4790.00,4876.00,4431.00,3569.00,
企业数:工业:山东:淄博市,个,2406.473684,810279.152,900.1550711,-0.662304295,-1.178386846,0.374055647,914,3505,2832,19,,914.00,986.00,1034.00,1125.00,1412.00,1754.00,2256.00,2559.00,2832.00,2930.00,3505.00,3413.00,3133.00,3177.00,3131.00,2981.00,2981.00,2976.00,2624.00,
企业数:工业:山东:枣庄市,个,1165.578947,185427.0351,430.6123954,-0.309004915,-1.40019775,0.36944078,530,1795,1264,19,,587.00,530.00,548.00,563.00,700.00,788.00,958.00,1086.00,1252.00,1500.00,1708.00,1795.00,1635.00,1430.00,1507.00,1464.00,1468.00,1363.00,1264.00,
企业数:工业:山东:东营市,个,653.1578947,104300.5848,322.9560106,-0.477745995,-1.579171417,0.494453199,137,996,815,19,,137.00,187.00,209.00,237.00,291.00,357.00,459.00,580.00,737.00,870.00,915.00,895.00,815.00,860.00,940.00,984.00,996.00,954.00,987.00,
企业数:工业:山东:烟台市,个,2608.263158,491499.3158,701.0701219,0.101119518,-0.806498114,0.268788109,1623,3827,2722,19,,1662.00,1624.00,1623.00,1725.00,1876.00,2136.00,2820.00,3073.00,3255.00,3805.00,3827.00,3447.00,2861.00,2725.00,2767.00,2722.00,2657.00,2575.00,2377.00,
企业数:工业:山东:潍坊市,个,3461.842105,1829768.029,1352.689184,-0.783308126,-0.740764435,0.3907426,1151,5231,4000,19,,1151.00,1157.00,1310.00,1435.00,1970.00,3406.00,3833.00,4119.00,4310.00,4835.00,5231.00,5089.00,4130.00,4160.00,4281.00,4000.00,4050.00,3812.00,3496.00,
企业数:工业:山东:济宁市,个,1905.315789,1229525.561,1108.839737,0.269616482,-1.012974201,0.58197163,500,3907,1954,19,,500.00,521.00,502.00,550.00,769.00,1118.00,1564.00,1999.00,2590.00,3416.00,3696.00,3907.00,1260.00,1551.00,1954.00,2333.00,2631.00,2599.00,2741.00,
企业数:工业:山东:泰安市,个,1263.578947,329133.1462,573.7012691,-0.328476781,-1.403498426,0.454028828,416,2017,1402,19,,449.00,430.00,416.00,510.00,623.00,749.00,1066.00,1168.00,1322.00,1501.00,1693.00,1665.00,1608.00,1788.00,1958.00,2017.00,2003.00,1640.00,1402.00,
企业数:工业:山东:威海市,个,1562.210526,151738.3977,389.5361314,-0.474283181,-1.237070012,0.249349319,920,2118,1640,19,,1099.00,1120.00,1069.00,920.00,962.00,1087.00,1640.00,1762.00,1990.00,2017.00,2118.00,1812.00,1636.00,1602.00,1631.00,1670.00,1817.00,1883.00,1847.00,
企业数:工业:山东:日照市,个,559.2631579,64315.76023,253.6055209,-0.20520847,-1.066975379,0.453463664,179,995,596,19,,179.00,183.00,210.00,233.00,283.00,334.00,542.00,725.00,796.00,870.00,995.00,854.00,580.00,557.00,596.00,629.00,668.00,657.00,735.00,
企业数:工业:山东:莱芜市,个,333.1578947,33490.25146,183.0034193,0.304362856,-1.449418144,0.549299363,126,635,318,19,,130.00,126.00,129.00,131.00,145.00,155.00,187.00,238.00,318.00,362.00,449.00,466.00,253.00,382.00,489.00,609.00,635.00,548.00,578.00,
企业数:工业:山东:临沂市,个,2770.263158,1914057.982,1383.494844,-0.466106809,-1.478298376,0.499409177,656,4386,3086,19,,656.00,729.00,782.00,875.00,1185.00,1606.00,2286.00,2542.00,3013.00,3086.00,4151.00,4027.00,3374.00,3754.00,4137.00,3934.00,4053.00,4059.00,4386.00,
企业数:工业:山东:德州市,个,2327.315789,1286682.339,1134.32021,-0.569761086,-1.430425169,0.487394197,444,3728,2991,19,,444.00,610.00,752.00,862.00,1022.00,1283.00,1778.00,2320.00,2721.00,3129.00,3371.00,3248.00,3144.00,3226.00,3728.00,3387.00,3156.00,2991.00,3047.00,
企业数:工业:山东:聊城市,个,1603,933345.5556,966.0981087,-0.203127439,-1.705130301,0.60268129,308,2852,1756,19,,308.00,346.00,362.00,416.00,468.00,548.00,956.00,1268.00,1591.00,1756.00,2282.00,2403.00,2148.00,2332.00,2620.00,2830.00,2852.00,2646.00,2325.00,
企业数:工业:山东:滨州市,个,1014.111111,175363.281,418.7639921,-0.641948098,-1.081077842,0.412936992,338,1595,1161.5,18,,,338.00,354.00,385.00,415.00,556.00,1013.00,1106.00,1254.00,1358.00,1595.00,1246.00,883.00,1122.00,1367.00,1422.00,1379.00,1201.00,1260.00,
企业数:工业:山东:菏泽市,个,1687.277778,1240972.918,1113.98964,0.104851022,-1.422776308,0.660228953,249,3455,1706.5,18,,,249.00,279.00,310.00,358.00,571.00,821.00,1068.00,1320.00,1481.00,1932.00,2088.00,2205.00,2491.00,2538.00,2796.00,3145.00,3264.00,3455.00,
企业数:工业:河南:郑州市,个,2237.578947,268168.924,517.8502911,-0.105905024,-1.827969116,0.231433305,1569,2897,2247,19,,1621.00,1621.00,1584.00,1609.00,1569.00,1801.00,1839.00,1860.00,2216.00,2247.00,2510.00,2720.00,2515.00,2741.00,2736.00,2763.00,2820.00,2897.00,2845.00,
企业数:工业:河南:开封市,个,862.2105263,145915.8421,381.989322,-0.058441025,-1.962250164,0.443034863,390,1343,968,19,,466.00,466.00,464.00,456.00,406.00,390.00,448.00,556.00,717.00,968.00,1177.00,1183.00,1084.00,1150.00,1254.00,1311.00,1322.00,1343.00,1221.00,
企业数:工业:河南:洛阳市,个,1312.210526,267514.6199,517.218155,-0.22857751,-1.751280322,0.394157907,602,1975,1424,19,,680.00,680.00,602.00,639.00,660.00,787.00,945.00,1100.00,1302.00,1424.00,1677.00,1821.00,1629.00,1684.00,1770.00,1779.00,1858.00,1920.00,1975.00,
企业数:工业:河南:平顶山市,个,645,54412,233.2637992,-0.13320679,-1.746464691,0.361649301,330,1001,708,19,,395.00,395.00,378.00,367.00,330.00,363.00,411.00,502.00,701.00,739.00,864.00,1001.00,802.00,708.00,799.00,854.00,862.00,899.00,885.00,
企业数:工业:河南:安阳市,个,742,61891.55556,248.780135,0.111402961,-1.685893702,0.335283201,429,1120,727,19,,507.00,507.00,486.00,469.00,429.00,435.00,505.00,550.00,684.00,727.00,980.00,1016.00,824.00,876.00,937.00,998.00,1104.00,1120.00,944.00,
企业数:工业:河南:鹤壁市,个,407.0526316,17100.16374,130.7675944,-0.04887833,-1.86090643,0.321254757,249,583,456,19,,261.00,263.00,276.00,276.00,249.00,250.00,264.00,293.00,397.00,456.00,456.00,524.00,494.00,523.00,555.00,583.00,568.00,562.00,484.00,
企业数:工业:河南:新乡市,个,962.5789474,72619.59064,269.4802231,-0.103389049,-2.026492342,0.27995649,644,1285,1110,19,,679.00,679.00,683.00,683.00,644.00,657.00,662.00,683.00,881.00,1110.00,1122.00,1261.00,1140.00,1154.00,1243.00,1285.00,1226.00,1257.00,1240.00,
企业数:工业:河南:焦作市,个,981.2105263,48747.50877,220.7883801,-0.008291566,-1.27220596,0.225016318,643,1336,981,19,,857.00,857.00,757.00,709.00,643.00,645.00,795.00,867.00,892.00,981.00,1053.00,1108.00,1061.00,1155.00,1211.00,1214.00,1213.00,1336.00,1289.00,
企业数:工业:河南:濮阳市,个,640.4736842,51983.7076,227.9993588,0.419660268,-1.231446557,0.355985522,357,1010,638,19,,357.00,357.00,414.00,440.00,396.00,449.00,514.00,492.00,529.00,638.00,656.00,703.00,660.00,795.00,875.00,988.00,1006.00,1010.00,890.00,
企业数:工业:河南:许昌市,个,1090.263158,143416.9825,378.704347,0.154124071,-1.46517903,0.34735132,648,1718,1198,19,,648.00,648.00,654.00,655.00,650.00,705.00,807.00,872.00,999.00,1198.00,1198.00,1286.00,1259.00,1280.00,1433.00,1499.00,1632.00,1718.00,1574.00,
企业数:工业:河南:漯河市,个,516.4210526,15508.1462,124.5317076,-0.055196233,-1.667571933,0.241143747,350,700,549,19,,398.00,398.00,382.00,392.00,350.00,363.00,356.00,429.00,549.00,586.00,625.00,656.00,539.00,563.00,599.00,665.00,700.00,677.00,585.00,
企业数:工业:河南:三门峡市,个,515.3684211,21476.57895,146.5488961,-0.412341027,-1.656523528,0.284357539,297,694,605,19,,297.00,298.00,322.00,344.00,349.00,351.00,425.00,505.00,660.00,636.00,658.00,694.00,605.00,609.00,637.00,637.00,646.00,618.00,501.00,
企业数:工业:河南:南阳市,个,1348.210526,239053.8421,488.9313266,1.039296127,0.245353086,0.362652061,854,2470,1260,19,,880.00,880.00,881.00,889.00,854.00,940.00,1039.00,1120.00,1228.00,1260.00,1358.00,1474.00,1264.00,1381.00,1568.00,1899.00,2262.00,2470.00,1969.00,
企业数:工业:河南:商丘市,个,685.3157895,142648.5614,377.6884449,0.615057956,-0.906720732,0.551115924,244,1358,674,19,,404.00,401.00,399.00,298.00,264.00,244.00,334.00,367.00,485.00,674.00,696.00,782.00,769.00,855.00,979.00,1078.00,1284.00,1358.00,1350.00,
企业数:工业:河南:信阳市,个,781.4736842,166560.0409,408.1176803,0.035872772,-1.910217744,0.522241105,296,1294,804,19,,363.00,363.00,340.00,338.00,296.00,323.00,366.00,462.00,619.00,804.00,1073.00,1204.00,978.00,1037.00,1154.00,1264.00,1286.00,1294.00,1284.00,
企业数:工业:河南:周口市,个,831.3333333,129434.8235,359.7705151,-0.11676947,-1.855866773,0.43276325,345,1282,976.5,18,,,473.00,438.00,433.00,345.00,390.00,444.00,506.00,629.00,994.00,959.00,1080.00,1015.00,1097.00,1128.00,1200.00,1277.00,1282.00,1274.00,
企业数:工业:河南:驻马店市,个,1050.222222,208333.1242,456.4352355,-0.05756232,-1.970048163,0.434608244,528,1666,1136,18,,,528.00,545.00,565.00,538.00,556.00,552.00,563.00,789.00,1011.00,1261.00,1470.00,1387.00,1422.00,1476.00,1498.00,1594.00,1666.00,1483.00,
企业数:工业:湖北:武汉市,个,1939.894737,332007.9883,576.2013435,0.210729904,-1.553205701,0.297027118,1224,2968,1856,19,,1303.00,1224.00,1309.00,1360.00,1313.00,1403.00,1459.00,1539.00,1695.00,2281.00,2517.00,2968.00,1856.00,2103.00,2353.00,2442.00,2558.00,2529.00,2646.00,
企业数:工业:湖北:黄石市,个,499.7894737,37350.06433,193.2616473,0.174388148,-1.777490695,0.38668611,273,762,477,19,,299.00,295.00,273.00,284.00,298.00,360.00,297.00,341.00,415.00,576.00,620.00,732.00,477.00,553.00,688.00,730.00,761.00,762.00,735.00,
企业数:工业:湖北:十堰市,个,572.5789474,75831.70175,275.3755649,0.261376079,-1.724540345,0.480939032,258,976,505,19,,299.00,268.00,258.00,266.00,293.00,332.00,333.00,380.00,443.00,622.00,829.00,872.00,505.00,617.00,856.00,973.00,976.00,911.00,846.00,
企业数:工业:湖北:宜昌市,个,878.8947368,182810.8772,427.5638867,0.215629986,-1.569195864,0.486479061,352,1543,911,19,,495.00,352.00,364.00,382.00,430.00,515.00,523.00,580.00,661.00,948.00,1095.00,1251.00,911.00,1135.00,1387.00,1464.00,1543.00,1487.00,1176.00,
企业数:工业:湖北:襄阳市,个,1039.631579,333667.0234,577.639181,0.187719667,-1.755388761,0.555619118,371,1884,1066,19,,623.00,450.00,419.00,399.00,371.00,455.00,441.00,547.00,709.00,1066.00,1300.00,1592.00,1154.00,1398.00,1714.00,1773.00,1826.00,1884.00,1632.00,
企业数:工业:湖北:鄂州市,个,358.1052632,16463.87719,128.3116409,-0.105120199,-1.894355219,0.358307051,184,525,404,19,,260.00,249.00,244.00,233.00,202.00,184.00,188.00,225.00,302.00,404.00,466.00,500.00,414.00,462.00,484.00,492.00,489.00,525.00,481.00,
企业数:工业:湖北:荆门市,个,709,113561,336.9881304,0.093807552,-1.775674267,0.475300607,314,1173,709,19,,316.00,329.00,329.00,314.00,348.00,365.00,424.00,482.00,607.00,793.00,1007.00,1173.00,709.00,863.00,971.00,1097.00,1132.00,1155.00,1057.00,
企业数:工业:湖北:孝感市,个,863.7368421,97074.31579,311.567514,0.123786744,-1.774297831,0.360720417,456,1306,915,19,,595.00,579.00,567.00,537.00,565.00,456.00,505.00,574.00,706.00,915.00,1068.00,1197.00,922.00,1035.00,1150.00,1242.00,1306.00,1297.00,1195.00,
企业数:工业:湖北:荆州市,个,820.1578947,94933.69591,308.1131219,0.280608668,-1.609037676,0.375675372,453,1271,752,19,,499.00,480.00,453.00,490.00,516.00,515.00,572.00,624.00,752.00,903.00,1139.00,1269.00,713.00,846.00,1001.00,1149.00,1258.00,1271.00,1133.00,
企业数:工业:湖北:黄冈市,个,979.7368421,145473.6491,381.41008,0.248207564,-1.677598494,0.389298497,448,1559,840,19,,678.00,677.00,659.00,649.00,651.00,448.00,550.00,598.00,787.00,1164.00,1367.00,1559.00,840.00,979.00,1248.00,1413.00,1493.00,1460.00,1395.00,
企业数:工业:湖北:咸宁市,个,575,55729.11111,236.0701402,-0.020342268,-1.804752242,0.410556766,287,896,620,19,,318.00,303.00,313.00,304.00,287.00,296.00,356.00,441.00,532.00,641.00,719.00,805.00,620.00,724.00,829.00,896.00,867.00,845.00,829.00,
企业数:工业:湖北:随州市,个,488.3888889,18943.19281,137.6342719,0.145052009,-1.529511568,0.281812865,298,688,471,18,,,314.00,338.00,338.00,361.00,298.00,374.00,402.00,451.00,509.00,491.00,592.00,447.00,570.00,631.00,679.00,688.00,677.00,631.00,
企业数:工业:湖南:长沙市,个,1891.842105,639688.3626,799.8052029,-0.476898649,-1.395980765,0.422765304,657,2889,2091,19,,672.00,657.00,744.00,895.00,912.00,1149.00,1691.00,1920.00,2047.00,2091.00,2527.00,2615.00,2218.00,2281.00,2540.00,2593.00,2710.00,2794.00,2889.00,
企业数:工业:湖南:株洲市,个,1081.894737,203798.655,451.4406439,-0.339610648,-1.623484196,0.417268546,437,1658,1261,19,,437.00,442.00,455.00,509.00,521.00,763.00,799.00,885.00,1111.00,1357.00,1486.00,1471.00,1261.00,1314.00,1486.00,1499.00,1540.00,1562.00,1658.00,
