指标名称（亿元）,频率,1993,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
内蒙古:巴彦淖尔:消费品零售,年,,,,,,32.24,,,41.0,48.77,52.43,60.97,72.7,90.73,108.79,124.26,151.61,173.0,194.47,216.09,234.49,257.68,278.14,296.2
内蒙古:乌兰察布:消费品零售,年,,,,,,25.75,,,40.6,49.02,66.46,77.56,92.29,114.37,136.3,157.68,187.02,216.4,239.46,269.19,290.41,317.11,341.66,365.5
内蒙古:锡林郭勒:消费品零售,年,,,19.6,21.5,23.37,26.26,29.1,32.3,35.1,42.24,49.46,57.51,68.84,85.94,102.88,119.11,141.35,163.9,183.8,204.89,223.31,244.7,262.83,280.18
内蒙古:阿拉善:消费品零售,年,1.95,,,,,,4.9,5.42,9.1,10.8,14.66,17.95,21.42,26.17,30.86,36.9,44.36,51.14,56.19,62.35,68.06,74.44,79.44,
辽宁:鞍山:消费品零售,年,,85.28,96.11,105.99,113.51,125.51,139.19,156.04,171.15,194.78,221.46,254.04,298.81,368.29,435.95,514.2,605.2,703.68,800.08,897.34,968.72,992.1,938.11,960.5
辽宁:抚顺:消费品零售,年,,83.63,94.05,99.0,103.61,112.1,123.11,136.03,140.28,157.41,177.78,202.25,235.62,286.28,338.09,333.9,392.68,455.24,518.42,580.98,624.65,669.5,685.67,627.6
辽宁:本溪:消费品零售,年,,43.96,45.34,40.64,42.73,50.13,57.0,63.03,69.81,78.26,87.56,98.96,115.98,141.57,167.42,192.35,226.26,261.16,297.36,333.83,361.42,377.4,372.14,365.2
辽宁:丹东:消费品零售,年,,50.55,56.54,61.31,65.5,69.98,77.0,85.37,91.47,105.37,121.02,138.19,161.93,198.07,234.02,277.5,324.94,375.9,427.01,478.43,505.58,542.0,572.41,601.1
辽宁:锦州:消费品零售,年,,72.94,79.58,82.86,86.05,88.99,98.55,108.71,105.67,121.09,137.91,157.85,185.24,228.09,269.88,318.29,374.61,434.46,493.98,555.0,598.37,610.7,634.63,631.4
辽宁:营口:消费品零售,年,,44.1,46.19,48.9,51.96,57.03,63.21,71.04,81.53,93.38,107.01,122.64,144.1,178.4,211.44,249.75,294.21,341.41,389.21,436.51,471.51,502.7,530.54,580.7
辽宁:阜新:消费品零售,年,,35.79,38.03,37.71,38.37,40.08,43.67,47.57,49.91,57.3,65.59,75.1,87.59,107.07,126.57,149.03,175.2,202.64,230.6,258.85,274.32,282.1,289.48,
辽宁:辽阳:消费品零售,年,,39.18,29.84,44.54,47.9,51.51,56.45,62.68,69.32,79.43,90.47,103.6,121.72,149.65,177.11,208.61,245.1,283.82,322.43,361.64,388.76,320.02,288.12,299.2
辽宁:盘锦:消费品零售,年,,30.13,33.22,39.52,42.54,45.01,50.5,54.49,61.55,70.76,80.12,91.71,107.65,132.56,156.9,185.11,217.88,252.03,286.71,320.96,347.0,372.7,393.25,419.8
辽宁:铁岭:消费品零售,年,,46.9,49.96,52.65,53.95,57.43,63.07,67.95,73.74,85.39,96.9,111.48,131.66,163.12,193.22,227.26,267.03,307.94,350.15,391.42,407.92,428.8,438.02,
辽宁:朝阳:消费品零售,年,,34.17,36.34,36.08,36.66,37.32,40.74,44.39,47.81,56.14,64.08,74.1,87.59,108.48,182.71,216.56,254.66,294.4,335.03,376.06,427.94,448.7,454.59,478.8
辽宁:葫芦岛:消费品零售,年,,44.65,48.57,51.57,54.22,58.0,64.75,71.46,78.56,89.51,102.0,116.67,137.11,167.77,198.38,233.16,274.2,317.65,360.85,403.59,434.12,471.4,497.95,513.0
吉林:吉林市:消费品零售,年,,117.06,129.94,143.8,157.48,171.5,194.96,220.31,250.03,285.31,283.94,327.46,385.11,474.67,578.77,684.02,803.87,935.64,1066.68,1197.11,1313.23,1446.51,1534.77,
吉林:四平:消费品零售,年,,50.58,56.02,58.53,58.64,58.85,63.08,68.72,76.5,86.92,109.8,128.36,159.27,199.41,242.52,287.71,337.66,394.79,449.98,503.82,551.48,605.83,649.25,
吉林:辽源:消费品零售,年,,18.9,20.16,21.34,22.01,22.86,24.45,26.02,27.58,30.89,44.07,50.84,59.9,74.72,90.5,107.51,126.83,147.23,167.55,189.05,206.74,226.19,239.18,
吉林:通化:消费品零售,年,,41.63,44.43,46.68,49.5,54.94,61.16,67.26,74.06,81.57,91.08,110.85,139.76,185.83,207.81,247.08,290.73,339.37,388.92,439.74,483.28,532.37,560.14,
吉林:白山:消费品零售,年,,28.26,30.05,32.14,34.41,38.01,40.01,42.59,45.6,49.66,56.88,66.26,78.22,96.86,117.83,139.08,163.14,190.28,217.62,244.21,266.19,292.74,310.38,294.38
吉林:松原:消费品零售,年,,32.29,34.67,37.59,42.16,46.23,50.96,55.95,65.02,78.05,105.2,136.92,177.92,244.09,275.98,329.74,388.62,453.08,514.8,556.46,610.03,669.21,705.77,
吉林:白城:消费品零售,年,,34.97,36.95,37.78,38.74,40.44,45.11,49.75,56.59,65.66,67.28,77.95,94.52,112.65,136.74,162.24,190.18,221.45,251.46,283.88,310.49,340.24,356.5,
黑龙江:齐齐哈尔:消费品零售,年,,94.04,104.15,110.46,115.56,120.59,126.66,123.46,135.7,144.13,159.81,185.13,215.99,257.31,306.98,306.98,417.23,480.17,544.71,618.42,618.42,749.1,814.8,
黑龙江:鸡西:消费品零售,年,,36.08,40.57,40.31,45.56,43.75,47.35,46.72,54.09,51.98,56.71,63.05,83.05,86.15,116.78,118.84,140.0,162.27,209.97,204.3,289.81,242.9,263.9,
黑龙江:鹤岗:消费品零售,年,,21.53,23.98,25.98,27.17,21.6,31.21,31.01,23.54,35.9,33.08,50.49,59.48,50.96,60.61,71.43,83.95,97.12,106.85,108.47,116.18,125.5,136.2,
黑龙江:双鸭山:消费品零售,年,,22.61,25.17,28.49,28.4,22.68,28.44,29.98,31.15,35.45,30.66,34.19,39.65,47.71,56.64,65.17,76.5,88.52,100.65,109.73,119.2,128.8,139.3,
黑龙江:大庆:消费品零售,年,,67.03,64.13,69.91,74.81,78.81,87.95,97.95,108.02,130.02,206.82,252.19,301.97,371.46,502.61,589.49,694.44,803.1,909.39,1010.91,1037.61,1092.6,1159.7,
