"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
户籍人口数:河北:沧州市,千人,7101.5913040000005,217168.6736,466.01359800000006,0.267933243,-1.3303129009999999,0.06562101099999999,6421.5,7831.3,7002.0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6421.5,6482.5,6536.2,6591.2,6689.7,6735.5,6774.2,6801.7,6793.6,6847.5,6908.5,7002.0,7101.0,7175.0,7308.9,7348.2,7443.6,7543.2,7684.0,7743.6,7795.4,7778.3,7831.3
户籍人口数:河北:廊坊市,千人,4112.913043,132072.5694,363.41789910000006,0.5757704220000001,-0.909705929,0.088360219,3632.7,4795.0,4018.6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3632.7,3676.1,3716.8,3747.6,3783.6,3815.9,3841.1,3872.4,3898.2,3915.7,3957.0,4018.6,4082.8,4133.3,4190.2,4249.0,4332.0,4394.0,4504.0,4601.0,4699.0,4741.0,4795.0
户籍人口数:河北:衡水市,千人,4296.483261,31196.10802,176.6242,0.226303022,-1.648904396,0.041109016,4073.2,4556.0,4271.8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4073.2,4097.7,4126.0,4150.3,4114.7,4105.0,4107.9,4133.45,4142.71,4176.3,4225.9,4271.8,4325.14,4362.68,4401.98,4415.76,4424.0,4475.0,4526.0,4522.6,4549.0,4536.0,4556.0
户籍人口数:山西:太原市,千人,3427.075,89447.23145,299.0773001,-0.816634757,-0.971132233,0.087268968,2874.1,3700.0,3577.7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2874.1,2932.8,2956.9,2999.2,3087.5,,,3274.0,3319.4,3403.9,3488.2,3553.1,3602.3,3651.2,3655.0,3650.0,3658.0,3675.0,3697.0,3673.9,3700.0,3690.0,
户籍人口数:山西:大同市,千人,2996.885,33622.07713,183.3632382,-0.589149639,-1.051743429,0.061184609,2659.0,3194.0,3027.65,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659.0,2696.8,2721.8,2756.1,2839.0,2878.6,2926.5,2959.2,2996.8,2994.9,3058.5,3094.2,3120.0,3156.0,3175.1,3189.0,3194.0,,,3162.2,3180.0,3180.0,
户籍人口数:山西:阳泉市,千人,1279.209091,1542.682771,39.27700053,-0.14458135,-1.3826223309999999,0.030704129,1209.5,1332.0,1277.25,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209.5,1222.8,1229.2,1234.7,1242.6,1248.3,1252.7,1256.8,1263.2,1258.8,1272.1,1282.4,1293.4,1302.7,1307.8,1314.0,1321.0,1327.0,1332.0,1321.6,1330.0,1320.0,
户籍人口数:山西:长治市,千人,3238.029591,14501.82556,120.4235258,-0.064547703,-1.41467387,0.037190372,3041.8,3404.4,3219.5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3041.8,3060.2,3076.3,3099.1,3122.1,3161.6,3183.0,3167.8,3181.9,3164.2,3201.0,3238.0,3274.0,3296.3,3315.4,3353.63,3369.67,3387.75,3404.4,3368.5,3390.0,3380.0,
户籍人口数:山西:晋城市,千人,2138.771429,2909.593143,53.94064463,-0.20532510399999998,-1.18588693,0.025220388,2039.3,2215.9,2122.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2039.3,2055.0,2069.4,2083.9,2100.3,2102.6,2106.3,2111.6,2118.3,2122.0,2118.6,,,2215.9,2165.3,2162.3,2175.0,2182.0,2193.0,2189.0,2194.4,2200.0,2210.0,
户籍人口数:山西:朔州市,千人,1488.526176,12030.20562,109.682294,-0.333671302,-1.178539313,0.073685163,1317.5,1640.0,1507.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.5,1325.9,1335.9,1348.9,1389.4,1463.6,1474.65,,1497.0,1507.0,1517.3,1526.6,1551.7,1573.7,1590.7,,,,,1615.1,1630.0,1640.0,
户籍人口数:山西:晋中市,千人,3166.176471,12010.040659999999,109.5903311,0.09871939,-1.594432094,0.034612831000000004,3022.8,3320.0,3179.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3022.8,3033.0,3042.4,3047.3,3061.2,3066.3,3100.0,3138.8,3179.0,3200.0,3209.6,3233.0,3250.0,,3305.0,3296.6,3320.0,3320.0,
户籍人口数:山西:运城市,千人,4990.361538,18033.78256,134.2899198,1.09182888,1.325343435,0.026909858,4821.1,5310.0,4972.1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4821.1,,4863.5,4877.8,4913.3,4885.9,4932.0,4972.1,4994.0,5036.2,5036.8,,,,,5102.0,5310.0,5130.0,
户籍人口数:山西:忻州市,千人,3018.01875,4793.2949579999995,69.23362592,-0.139869375,-1.3471669169999998,0.022940091,2904.8,3125.0,3015.45,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904.8,2938.3,2924.0,2949.3,2968.2,2978.9,2998.3,2998.1,3032.6,3069.1,3075.5,3101.0,,,3125.0,3065.2,3080.0,3080.0,
户籍人口数:山西:临汾市,千人,4235.211111,14474.935159999999,120.3118247,-0.442978205,-1.103680856,0.028407515,4011.6,4401.0,4270.55,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4011.6,4050.9,4090.9,4114.0,4151.0,4123.1,4169.5,4269.1,4319.2,4370.4,4373.2,4401.0,4252.0,4272.0,4290.0,4305.9,4340.0,4330.0,
