"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
固定资产投资:河北:沧州市,百万人民币,112162.9595,15040841782,122641.1097,0.990531823,-0.384895657,1.093418988,7289.55,371025.13,53844.6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7350.41,9779.20,7817.10,13315.31,7408.57,7289.55,14430.00,17845.08,24531.73,35451.52,45820.35,61868.85,79243.29,110281.52,144808.82,153038.96,189186.59,235767.38,272892.76,310325.64,348107.35,371025.13,
固定资产投资:河北:廊坊市,百万人民币,85132.21045,6986370319,83584.51004,0.877340466,-0.407165388,0.981820037,3729.77,263183.41,57299.47,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3729.77,10271.14,7668.58,8304.76,9313.33,9935.76,12075.29,22431.01,26653.66,34161.03,46008.16,68590.78,92633.58,127968.78,90903.42,105631.72,128211.72,157777.92,188221.95,213381.17,245851.69,263183.41,
固定资产投资:河北:衡水市,百万人民币,44110.52714,1660300511,40746.78529,0.995517072,-0.253555653,0.923742878,4196.57,130033.3,26798.4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.99,8224.78,4196.57,4560.31,5377.36,,14834.84,19467.06,23906.78,31846.08,26798.40,19728.31,24106.00,36121.44,47641.03,51999.38,63994.96,83012.44,94516.87,108550.73,123083.44,130033.30,
固定资产投资:山西:太原市,百万人民币,74734.04565,4247191991,65170.48404,0.751526524,-0.623467051,0.872032064,7796.46,202771.23,57673.55,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7796.46,9721.44,10936.38,9171.61,10477.02,12270.84,14759.55,20445.42,33511.66,43850.75,50112.73,57673.55,70263.35,78201.57,89930.56,102414.44,132062.57,167073.90,174608.68,202561.00,202771.23,96486.32,121782.02
固定资产投资:山西:大同市,百万人民币,40125.8713,1666649808,40824.62257,0.856728683,-0.664239914,1.017413984,1874.65,121282.08,21479.43,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874.65,2841.65,3314.90,3047.73,3364.57,4007.29,5912.56,8639.08,11158.21,15196.07,16005.93,21479.43,27653.27,43945.70,54248.90,66491.05,83178.75,103627.11,107240.80,114540.00,121282.08,48925.73,54919.58
固定资产投资:山西:阳泉市,百万人民币,20238.29087,403901182.9,20097.29292,0.902289826,-0.468080867,0.99303311,1350.03,61713.79,12408.73,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2987.54,3806.54,3203.47,1350.03,1860.33,1844.71,2451.45,3780.00,4917.80,6500.29,9246.59,12408.73,15584.73,24246.32,29837.17,34187.25,39128.79,48554.50,51736.85,60070.00,61713.79,24573.55,21490.26
固定资产投资:山西:长治市,百万人民币,45912.00043,2308042329,48042.08914,1.0334965,-0.090901969,1.046395032,1440.11,151442.47,22444.57,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.11,2313.65,3068.32,2930.67,4631.72,5084.55,6815.95,12786.29,16307.00,18326.83,18401.50,22444.57,27343.53,44369.83,56104.73,68690.07,86695.85,108682.80,124564.66,144150.00,151442.47,61418.74,67962.17
固定资产投资:山西:晋城市,百万人民币,35587.99826,1314510056,36256.17266,1.071457589,0.022203332,1.018775273,1585.87,115036.57,21549.11,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1585.87,3130.07,3577.00,5622.89,4663.04,4285.19,5674.75,8237.01,10797.41,13089.89,16475.34,21549.11,26753.97,36661.19,43263.82,50412.07,65495.37,83769.76,97478.18,110510.00,115036.57,43070.64,47384.82
固定资产投资:山西:朔州市,百万人民币,26841.10826,875411774.6,29587.35836,1.055833489,-0.155224484,1.102315078,489.07,93710,15293.96,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.07,749.83,2018.78,1595.91,2048.61,2531.32,3140.16,5029.90,6605.76,7337.83,9509.62,15293.96,22188.04,30152.48,37395.08,47479.64,61061.61,77471.11,81529.83,93710.00,63768.04,21424.10,24814.81
固定资产投资:山西:晋中市,百万人民币,50563.96053,1864224417,43176.66519,0.766034119,-0.474506222,0.853901964,3518.42,137583.6,39593.83,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3518.42,3987.11,4738.66,9517.39,12294.55,15088.81,20132.97,28374.47,33121.93,39593.83,49496.48,58021.05,74410.63,94592.49,110600.72,131245.30,137583.60,64123.39,70273.45
固定资产投资:山西:运城市,百万人民币,53586.06,2090780031,45725.04818,0.828186391,-0.368006542,0.853301179,4337.74,148372.12,48149.97,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4337.74,5266.09,6851.47,10243.31,13800.00,16048.37,22243.45,27183.41,34353.44,48149.97,58658.41,66421.41,82684.54,100886.90,120273.49,137070.00,148372.12,61613.67,53677.35
固定资产投资:山西:忻州市,百万人民币,39895.11053,1493684330,38648.2125,0.823815666,-0.543349578,0.968745593,2032.77,116765.98,35266.72,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032.77,2410.00,3566.38,5054.41,6666.01,8996.36,9711.95,9804.53,14043.22,35266.72,42438.38,51604.45,65332.60,81516.44,96542.25,111960.00,116765.98,44988.87,49305.78
固定资产投资:山西:临汾市,百万人民币,51044.92421,2117628982,46017.70292,0.90597836,-0.441866782,0.901513787,4081.16,140122,40400.43,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4081.16,5188.32,6558.46,10848.71,12614.23,15305.58,19206.46,23424.29,26529.93,41895.68,53047.83,64495.77,82245.03,103627.04,122942.84,140122.00,139425.34,57894.46,40400.43
固定资产投资:山西:吕梁市,百万人民币,51449.47688,1286301340,35865.04343,0.685053328,-0.727543436,0.69709248,6581.26,116640,43124.105,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6581.26,10267.14,15371.90,20291.72,30109.95,31254.06,35123.32,43575.87,54374.88,69038.34,87290.71,101696.95,116640.00,111846.08,42672.34,47057.11
固定资产投资:内蒙古:呼和浩特市,百万人民币,70170.795,3932094946,62706.4187,0.512863782,-1.214469004,0.893625599,2112.66,180017.36,57983.765,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112.66,2861.51,4061.55,4475.53,6878.98,9739.25,13125.57,20737.26,31500.00,46000.00,54982.28,60985.25,66770.00,83481.02,88123.59,103196.65,130142.88,149982.58,173645.57,161860.00,180017.36,149078.00,
固定资产投资:内蒙古:包头市,百万人民币,123357.9055,14771923486,121539.8021,0.540224731,-1.353784099,0.985261558,3860.98,344056.27,73750,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4418.84,3860.98,4343.33,4197.15,5394.92,6523.92,10940.54,23790.00,40600.00,56000.00,63000.00,84500.00,113800.00,150025.86,180050.21,216059.81,253424.44,299137.03,344056.27,258290.00,295581.62,295879.00,
固定资产投资:内蒙古:乌海市,百万人民币,14134.84909,194292985.7,13938.90188,0.827692414,-0.69347182,0.986137297,518.87,41697.43,8061,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.87,558.05,621.33,824.00,1211.28,2035.49,3083.13,4674.43,7079.51,9027.00,6164.12,7095.00,11548.00,18116.23,23872.31,28690.04,34667.04,41697.43,35220.30,39860.00,16512.12,17891.00,
固定资产投资:内蒙古:赤峰市,百万人民币,58247.17909,3313019151,57558.83209,0.565022026,-1.352642231,0.988182312,2069.87,156747.13,36828.755,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069.87,3468.75,3891.92,2810.80,3322.10,3703.94,5120.99,10801.23,16207.58,22709.31,31327.51,42330.00,51717.09,65502.56,83550.88,109316.20,132228.92,156747.13,110127.70,127210.00,146578.46,150695.00,
固定资产投资:内蒙古:通辽市,百万人民币,68210.90263,3971280237,63018.09452,0.549267109,-1.276476492,0.923871289,2333.61,186636.19,46900,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2333.61,3132.06,3856.96,4777.85,10760.00,15370.00,20665.95,26778.12,35461.00,46900.00,58600.00,69167.19,101423.07,128157.60,157765.17,186636.19,128870.00,148831.38,146521.00,
固定资产投资:内蒙古:鄂尔多斯市,百万人民币,159171.9218,15084495900,122818.9558,0.086993883,-1.688709244,0.771611943,5417.13,342252.8,156241.4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5417.13,6237.87,13557.00,26273.50,40368.67,61666.89,88574.44,108838.68,156241.40,189839.54,223841.30,257057.60,299604.28,342252.80,273720.00,305857.57,306574.00,
固定资产投资:内蒙古:呼伦贝尔市,百万人民币,51770.61118,1248592491,35335.42828,0.077781883,-1.592450246,0.682538364,5390.83,108003.26,53480,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5390.83,7272.90,9707.04,13541.98,25862.26,20454.23,26889.27,38644.00,53480.00,64554.18,77393.82,89901.92,108003.26,80300.00,92580.00,95218.70,70906.00,
固定资产投资:内蒙古:巴彦淖尔市,百万人民币,49420.00933,766075864.5,27678.07552,-0.210082807,-1.299624052,0.56005808,7401.04,94123.72,56521.38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7401.04,10768.70,15835.72,21015.14,27178.21,33523.00,56217.93,56521.38,63357.98,70100.75,80316.94,94123.72,66450.00,73468.63,65021.00,
固定资产投资:内蒙古:乌兰察布市,百万人民币,39784.43,523335162,22876.51988,0.391109234,-1.490911726,0.57501188,10410,80067.46,27487.69,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10410.00,18100.00,21000.00,22511.65,20153.84,20273.15,23365.88,27487.69,45967.06,65048.74,80067.46,57016.18,65880.00,66137.80,53347.00,
固定资产投资:辽宁:沈阳市,百万人民币,231730.6845,48903731132,221141.8801,0.749998482,-0.849278967,0.954305557,12200.38,656405.96,155782.715,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12200.38,16574.46,18384.98,24015.85,26223.76,28355.81,37741.08,58261.03,97136.44,136321.96,179034.57,236187.26,300865.34,351994.70,413914.98,456059.40,564339.99,639887.25,656405.96,532604.43,163162.12,148403.31,
固定资产投资:辽宁:大连市,百万人民币,217364.4936,49126979807,221646.0688,0.915238781,-0.457281847,1.019697675,11505.88,677363.33,145292.28,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14294.57,16924.08,16147.00,11505.88,12424.95,25305.86,30453.55,50690.32,71621.38,111048.75,146948.99,193075.83,251337.66,311369.50,404789.04,455355.81,565409.65,651110.48,677363.33,455930.00,143635.57,165276.66,
固定资产投资:辽宁:鞍山市,百万人民币,64493.99682,4175891444,64621.13775,0.946451129,-0.610844625,1.001971361,4520.86,190667.01,37396.085,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4520.86,8410.03,9266.78,10642.48,12009.56,8916.15,9920.56,17543.64,21546.04,31453.16,37843.11,47711.98,70019.51,87502.98,119076.48,132903.48,169950.05,187836.43,190667.01,156810.00,47368.58,36949.06,
固定资产投资:辽宁:抚顺市,百万人民币,32934.98609,1179752675,34347.52793,1.088753528,-0.126045535,1.042888794,2931.22,111102.68,18260,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4257.23,3726.31,2931.22,3908.01,4343.94,5340.88,5915.43,7846.36,10246.00,15110.68,20079.85,28148.72,38073.97,49600.93,68152.57,77151.79,96652.33,111102.68,91998.62,59740.00,15712.18,19204.98,18260.00
固定资产投资:辽宁:本溪市,百万人民币,27089.86957,744030423.3,27276.92107,1.166827099,0.18187157,1.006904851,2665.64,88520.3,16530.14,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2665.64,2854.77,3038.59,2747.63,5059.67,5713.98,4948.77,6573.04,12550.28,14219.97,15064.21,16530.14,22406.59,34006.58,45003.35,58081.54,72323.17,84604.76,88520.30,58450.00,23497.74,21046.28,23160.00
固定资产投资:辽宁:丹东市,百万人民币,31615.73043,1042764603,32291.86589,1.004719111,-0.289910508,1.021386046,2156.59,102952.44,20820,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2156.59,4315.94,3931.74,3131.29,3521.26,4996.50,3889.69,6629.67,9104.71,12311.88,16071.79,23366.33,35200.50,49202.25,67388.71,68959.93,87525.00,102952.44,91259.74,58350.00,28020.29,24055.55,20820.00
固定资产投资:辽宁:锦州市,百万人民币,30940.41591,1082978942,32908.64541,0.969210803,-0.499421759,1.063613544,1963.78,97096.23,14463.48,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2331.49,1963.78,3358.72,3331.62,2875.82,4405.54,5220.42,7439.61,7205.52,9331.36,12169.14,16757.82,24873.68,32409.89,55116.43,64935.40,82689.88,95214.08,97096.23,78210.00,37977.53,35775.19,
固定资产投资:辽宁:营口市,百万人民币,45161.21455,1868689738,43228.34415,0.643536546,-1.046213646,0.957200655,1785.77,129118.97,35022.365,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1785.77,1808.62,3053.60,4023.18,3991.63,4264.32,5218.89,10359.93,15797.14,22119.58,29025.62,41782.08,54307.06,76255.89,98286.26,87579.35,111009.02,129118.97,116125.87,90620.00,41019.11,45994.83,
固定资产投资:辽宁:阜新市,百万人民币,16166.035,307191761.6,17526.88682,1.281684029,0.433145327,1.08417969,1719.31,58323.27,9523.36,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1727.03,1962.38,1719.31,1970.16,1968.54,2669.61,3750.70,4794.64,5828.94,7317.56,10148.80,10409.31,14066.13,20145.66,35069.42,39087.83,50602.13,58323.27,43407.33,20780.00,8897.92,11006.10,
固定资产投资:辽宁:辽阳市,百万人民币,23453.26364,551292377.3,23479.61621,0.998007329,-0.262042314,1.001123621,1628.6,72091.85,16108.365,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5069.85,2851.72,1911.93,1628.60,3377.76,3267.41,3281.77,5536.12,7729.13,10677.30,14167.30,18049.43,23482.30,34662.04,42281.95,48099.87,62560.76,72091.85,71483.33,45430.00,19781.42,18549.96,
固定资产投资:辽宁:盘锦市,百万人民币,42613.20409,1452666623,38113.86392,0.803901406,-0.798709739,0.894414413,6963.08,115740.17,23570.575,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6963.08,8526.41,8912.00,9357.54,9145.61,9346.16,10387.32,12931.78,14949.15,17217.87,20120.62,27020.53,36701.85,50403.06,69249.51,78036.86,98222.09,115419.33,115740.17,98310.00,60142.13,60387.42,
固定资产投资:辽宁:铁岭市,百万人民币,32153.31273,1238842589,35197.19576,0.912802368,-0.662808064,1.094667789,1556.68,105941.28,11461.365,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556.68,1840.58,2782.84,3203.39,3251.09,3307.83,3537.57,6383.04,7872.37,10698.44,20276.39,30921.44,50711.80,69607.20,91261.99,74655.12,92521.28,105941.28,64626.06,39750.00,12224.29,10442.20,
固定资产投资:辽宁:朝阳市,百万人民币,27664.44409,804359182,28361.22674,0.854203459,-0.596733573,1.025186938,1093.88,84161.09,18484.79,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093.88,1524.55,2045.45,2443.07,3619.39,3373.08,3844.05,4841.33,6458.87,8595.80,13968.82,23000.76,35300.21,45541.66,54619.54,57811.85,73392.21,84161.09,83500.33,50011.00,24391.02,25079.81,
