,单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
财政收入:山西:阳泉市,百万人民币,3439.128125,2906240.925,1704.77005,-0.324578674,-1.323120458,0.495698325,696.22,5760,3948.535,16,,,,,,,,,,,,,,,,,,,,,,,,,,696.22,934.92,1292.55,1537.56,2162.03,2617.01,2977.40,3769.31,4663.57,5687.86,4679.03,4704.77,4416.45,4127.76,4999.61,5760.00
财政收入:山西:长治市,百万人民币,8495.399375,22307510.62,4723.082745,-0.091194192,-1.324036742,0.555957706,1315.95,15067,8716.755,16,,,,,,,,,,,,,,,,,,,,,,,,,,1315.95,1705.49,2387.47,4452.16,4975.06,6262.59,6957.30,7790.01,10440.71,13349.31,14866.23,13632.51,9643.50,9852.78,13228.32,15067.00
财政收入:山西:晋城市,百万人民币,6271.838125,13053491.4,3612.961583,0.023347434,-1.312392042,0.576061038,1027.79,12530,6170.56,16,,,,,,,,,,,,,,,,,,,,,,,,,,1027.79,1384.79,2004.54,2649.25,3407.83,4186.41,4807.42,5548.90,6792.22,8290.56,9457.55,9803.05,9390.26,8932.29,10136.55,12530.00
财政收入:山西:朔州市,百万人民币,5089.7225,9486337.207,3079.989806,-0.110836796,-1.302431389,0.605139044,528.35,9530,5171.145,16,,,,,,,,,,,,,,,,,,,,,,,,,,528.35,667.02,1131.27,1701.11,3020.23,3779.89,4622.13,5575.35,7091.89,8425.00,9530.00,8658.98,5430.00,4912.29,7322.05,9040.00
财政收入:山西:晋中市,百万人民币,7223.824375,19336870.09,4397.370816,0.045164256,-1.190039057,0.608731689,947.68,15080,7139.365,16,,,,,,,,,,,,,,,,,,,,,,,,,,947.68,1297.90,1921.31,2389.32,4101.53,4691.07,5775.68,6475.18,7803.55,9922.96,11513.05,11751.58,10024.30,10080.05,11806.03,15080.00
财政收入:山西:运城市,百万人民币,3944.176875,3982361.864,1995.585594,0.44334036,-0.429310223,0.50595743,1194.97,8070,3817.795,16,,,,,,,,,,,,,,,,,,,,,,,,,,1194.97,1215.48,1840.76,2131.34,2900.91,3264.56,2627.42,3554.03,4081.56,4154.06,4542.11,5278.71,5629.61,5911.00,6710.31,8070.00
财政收入:山西:忻州市,百万人民币,4638.905625,7813354.891,2795.237895,-0.156800967,-1.699958535,0.602564079,640.67,8150,4795.765,16,,,,,,,,,,,,,,,,,,,,,,,,,,640.67,794.70,1177.34,1667.48,2317.68,2945.34,3354.38,4234.25,5357.28,6516.51,7370.18,8081.26,7365.46,6924.27,7325.69,8150.00
财政收入:山西:临汾市,百万人民币,7348.494375,13375937.29,3657.312852,-0.192439606,-1.206463005,0.497695537,1359.85,12600,8071.23,16,,,,,,,,,,,,,,,,,,,,,,,,,,1359.85,1970.09,2926.50,3993.13,4712.59,5422.11,6292.05,7543.88,8910.54,11077.73,11814.96,11826.29,8818.13,8598.58,9709.48,12600.00
财政收入:山西:吕梁市,百万人民币,8257.573125,30514172.79,5523.963504,0.223398413,-1.227599374,0.668957261,798.69,17480,8127.85,16,,,,,,,,,,,,,,,,,,,,,,,,,,798.69,1188.49,1865.00,2567.41,3833.17,5510.70,5971.96,7295.82,10050.58,14194.91,16397.80,13060.88,9067.98,8959.88,13877.90,17480.00
财政收入:内蒙古:呼和浩特市,百万人民币,13445.3825,68074166.04,8250.707002,0.038277027,-1.389601001,0.613646135,2057.79,26965.3,13909.345,16,,,,,,,,,,,,,,,,,,,,,,,,,,2057.79,2856.38,3593.19,4552.02,5796.18,8224.59,10679.47,12676.17,15142.52,17864.47,18201.77,21153.89,24740.21,26965.30,20150.20,20471.97
