,单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
财政收入:江苏:徐州市,百万人民币,27940.94875,385665628.9,19638.37134,0.065796025,-1.827023807,0.702852702,3392.67,53068,27028.68,16,,,,,,,,,,,,,,,,,,,,,,,,,,3392.67,4270.88,5522.16,7103.18,10037.91,12585.05,16434.40,22215.58,31841.78,36675.83,42284.40,47232.79,53068.00,51606.00,50163.55,52621.00
财政收入:江苏:常州市,百万人民币,29884.66313,295432933.5,17188.1626,-0.031573044,-1.527535124,0.575149953,5667.29,56033,31852.94,16,,,,,,,,,,,,,,,,,,,,,,,,,,5667.29,6734.07,9499.05,11888.18,15806.88,18518.88,21588.88,28617.88,35088.00,37899.00,40888.00,43388.00,46628.00,48029.00,51880.50,56033.00
财政收入:江苏:苏州市,百万人民币,102265.5063,3863159850,62154.32286,0.230878661,-1.133558198,0.607774069,17049.77,211999,100071.675,16,,,,,,,,,,,,,,,,,,,,,,,,,,17049.77,21956.67,31678.41,40022.84,54181.77,66890.63,74518.00,90055.27,110088.08,120433.36,133102.54,144381.74,156076.00,173004.00,190810.02,211999.00
财政收入:江苏:南通市,百万人民币,33030.6375,499734528,22354.74285,0.048322819,-1.783968371,0.676788114,4880.63,62564,33224.595,16,,,,,,,,,,,,,,,,,,,,,,,,,,4880.63,5258.93,7199.03,9253.30,12769.56,15958.95,19898.73,29080.61,37368.58,41972.25,48588.18,55000.19,62564.00,59018.00,59060.26,60619.00
财政收入:江苏:连云港市,百万人民币,14224.29125,95641382.73,9779.641237,-0.04579661,-1.689501606,0.687531003,1566.91,29177,16073.44,16,,,,,,,,,,,,,,,,,,,,,,,,,,1566.91,1857.62,2459.20,3395.93,4878.51,6621.15,9021.33,14138.88,18008.00,20893.96,23330.30,26177.23,29177.00,21147.00,21484.64,23431.00
财政收入:江苏:淮安市,百万人民币,16419.98813,140309111.5,11845.21471,0.103680174,-1.627144107,0.721389968,1867.27,35031,17302.735,16,,,,,,,,,,,,,,,,,,,,,,,,,,1867.27,2230.57,2677.48,3694.15,5139.56,7135.65,9645.04,14142.64,20462.83,23361.12,27141.95,30851.30,35031.00,31551.00,23060.78,24727.47
财政收入:江苏:盐城市,百万人民币,22610.24063,271496502.8,16477.15093,0.067560655,-1.76427618,0.728747261,2655.23,47750,23019.36,16,,,,,,,,,,,,,,,,,,,,,,,,,,2655.23,3011.17,3789.36,4884.02,6545.39,9030.00,12682.90,19135.14,26903.58,31278.15,36676.72,41802.31,47750.00,41518.00,36001.88,38100.00
财政收入:江苏:扬州市,百万人民币,18796.43563,139811861.6,11824.2066,0.044048546,-1.66856551,0.629066427,3055.17,34530,19293.18,16,,,,,,,,,,,,,,,,,,,,,,,,,,3055.17,3813.68,4954.86,6301.88,8569.00,10483.17,12807.88,16778.18,21808.18,22499.86,25926.06,29519.18,33675.00,34530.00,32017.87,34003.00
财政收入:江苏:镇江市,百万人民币,16804.38813,113376503,10647.8403,0.052268519,-1.818800213,0.633634514,2860.38,30285,16000.14,16,,,,,,,,,,,,,,,,,,,,,,,,,,2860.38,3589.61,4713.52,6011.99,8025.65,8566.00,10156.93,13810.12,18190.16,21547.90,25451.58,27776.48,30285.00,29301.00,28433.78,30150.11
财政收入:江苏:泰州市,百万人民币,18643.03875,140983443.6,11873.64491,0.065563792,-1.523050888,0.636894289,2656.81,36664,19440.26,16,,,,,,,,,,,,,,,,,,,,,,,,,,2656.81,3406.73,4690.55,6147.33,8415.19,10108.00,13862.44,17080.32,21800.20,22362.43,25128.12,27795.43,31656.00,32118.00,34397.07,36664.00
财政收入:江苏:宿迁市,百万人民币,11510.29063,78067873.05,8835.602586,0.115533943,-1.790049382,0.767626368,982.01,23808,10527.56,16,,,,,,,,,,,,,,,,,,,,,,,,,,982.01,1107.38,1377.43,2005.04,3291.54,4652.29,6307.10,8957.44,12097.68,15812.56,18511.54,21009.75,23567.00,23808.00,20057.89,20620.00
财政收入:浙江:杭州市,百万人民币,78657.44063,2653482518,51511.96481,0.606969659,-0.614772146,0.654889918,15038.88,182506,72824.685,16,,,,,,,,,,,,,,,,,,,,,,,,,,15038.88,19745.23,25045.65,30138.88,39161.95,45535.31,52078.99,67134.13,78515.24,85998.75,94520.20,102731.69,123388.20,140238.26,156741.69,182506.00
财政收入:浙江:宁波市,百万人民币,63916.06125,1589739762,39871.54075,0.446736046,-0.963946313,0.623810979,13941.62,137970,59424.045,16,,,,,,,,,,,,,,,,,,,,,,,,,,13941.62,15174.90,21237.97,25737.99,32912.18,39038.74,43280.03,53092.78,65755.31,72550.03,79280.80,86061.09,100640.65,111454.09,124528.80,137970.00
财政收入:浙江:温州市,百万人民币,26607.83688,210585126.4,14511.55148,0.441898732,-0.866181764,0.545386367,7896.49,54760,24967.985,16,,,,,,,,,,,,,,,,,,,,,,,,,,7896.49,8568.11,10961.16,12877.87,15702.71,18014.56,19564.45,22849.27,27086.70,28964.19,32397.52,35252.53,40307.35,43987.44,46535.04,54760.00
财政收入:浙江:嘉兴市,百万人民币,22307.94313,219278352.1,14808.05025,0.547990473,-0.749102538,0.663801686,4121.75,51860,20161.6,16,,,,,,,,,,,,,,,,,,,,,,,,,,4121.75,5489.23,6679.18,8154.70,10523.52,12686.94,14170.39,17682.97,22640.23,25773.19,28230.92,30706.75,35034.50,38793.41,44379.41,51860.00
财政收入:浙江:湖州市,百万人民币,12305.71125,63008441.91,7937.785706,0.600966603,-0.595267349,0.645048916,2526.38,28710,10969.275,16,,,,,,,,,,,,,,,,,,,,,,,,,,2526.38,3336.42,3973.08,4979.23,6167.80,7161.16,8001.06,9726.55,12212.00,13855.08,15466.46,16784.00,19131.16,21117.92,23743.08,28710.00
财政收入:浙江:绍兴市,百万人民币,23081.89,201384382.2,14190.99652,0.396596112,-0.947510399,0.614810855,5048.49,50130,21646.105,16,,,,,,,,,,,,,,,,,,,,,,,,,,5048.49,5092.08,7613.26,9454.65,12211.69,14359.54,16043.10,19323.05,23969.16,26575.55,29307.21,31727.05,36289.35,39030.10,43135.96,50130.00
财政收入:浙江:金华市,百万人民币,19130.33313,133367973.3,11548.50524,0.377933793,-1.208770663,0.603675073,4313.03,39260,17084.695,16,,,,,,,,,,,,,,,,,,,,,,,,,,4313.03,5122.94,6804.16,8144.62,10196.84,11970.47,12927.55,15592.55,18576.84,21488.87,24247.21,26886.73,30968.85,33813.94,35770.73,39260.00
财政收入:浙江:衢州市,百万人民币,5832.808125,13282245.92,3644.481571,0.519948619,-0.948278696,0.624824526,1403.82,12810,5227.545,16,,,,,,,,,,,,,,,,,,,,,,,,,,1403.82,1707.61,2001.77,2352.50,2935.30,3438.93,3785.21,4697.80,5757.29,6341.54,7275.35,8032.39,9401.51,10255.53,11128.38,12810.00
财政收入:浙江:舟山市,百万人民币,6974.805625,19244662.89,4386.873931,0.177956946,-1.289081123,0.628960027,1138.64,14600,6876.2,16,,,,,,,,,,,,,,,,,,,,,,,,,,1138.64,1357.46,1820.82,2425.78,3506.36,4315.34,4877.86,6103.96,7648.44,8556.27,9262.80,10102.03,11272.21,12032.48,12576.44,14600.00
财政收入:浙江:台州市,百万人民币,19944.59375,143035429.4,11959.74203,0.527080107,-0.79914932,0.599648315,5269.64,43118,18249.975,16,,,,,,,,,,,,,,,,,,,,,,,,,,5269.64,5597.26,7233.24,8611.15,10885.51,12604.98,13602.27,16488.45,20011.50,22042.30,24773.41,26520.92,29801.70,34328.35,38224.82,43118.00
财政收入:浙江:丽水市,百万人民币,5904.50875,13516320.11,3676.454829,0.540447743,-0.901903432,0.622652109,1478.41,13001.06,5115.215,16,,,,,,,,,,,,,,,,,,,,,,,,,,1478.41,1619.40,2000.81,2494.11,3266.40,3614.76,3741.98,4494.23,5736.20,6461.21,7369.97,8095.73,9450.64,10356.68,11290.55,13001.06
财政收入:安徽:合肥市,百万人民币,32563.68063,548323977.1,23416.31861,0.283531738,-1.390989338,0.719093117,3586.94,71249,29896.98,16,,,,,,,,,,,,,,,,,,,,,,,,,,3586.94,4493.20,5763.72,7940.46,16931.75,16094.00,18089.77,25942.83,33851.13,38949.91,43862.26,50034.20,57154.40,61484.93,65590.39,71249.00
财政收入:安徽:芜湖市,百万人民币,14503.74313,128962250.1,11356.15473,0.354450762,-1.578811999,0.782980961,1734.16,31812,11740.38,16,,,,,,,,,,,,,,,,,,,,,,,,,,1734.16,2077.89,2782.91,3414.89,4391.38,5438.94,6941.23,9483.72,13997.04,17891.53,21399.17,23353.57,26346.82,29871.67,31122.97,31812.00
财政收入:安徽:蚌埠市,百万人民币,6635.58625,26290915.25,5127.466748,0.445485748,-1.417369944,0.772722493,1054.96,15265.23,5213.045,16,,,,,,,,,,,,,,,,,,,,,,,,,,1054.96,1149.94,1283.37,1683.30,2261.82,2750.41,3171.95,4290.09,6136.00,7841.57,9283.92,10534.15,11968.01,13387.91,14106.75,15265.23
财政收入:安徽:淮南市,百万人民币,5847.036788,14170431.05,3764.3633,0.033090331,-1.736965385,0.643807015,895.54,11073.41,6159.58,16,,,,,,,,,,,,,,,,,,,,,,,,,,895.54,1160.43,1544.93,1965.54,2329.99,2992.44,3728.47,5181.07,7138.09,9860.96,11073.41,7536.23,7731.33,9744.55,10131.69,10537.92
财政收入:安徽:马鞍山市,百万人民币,8258.653333,23272265.35,4824.133637,-0.031425953,-1.636904377,0.584130783,1489.33,14618.23,6988.01,15,,,,,,,,,,,,,,,,,,,,,,,,,,1489.33,1815.34,2600.92,3127.49,5726.19,6163.33,6372.81,6988.01,9143.94,12781.57,14618.23,12105.16,13080.00,14031.92,13835.56,
财政收入:安徽:淮北市,百万人民币,3567.238125,4848625.458,2201.959459,0.106027435,-1.710665201,0.61727291,765.28,7033.07,3383.375,16,,,,,,,,,,,,,,,,,,,,,,,,,,765.28,890.43,1130.30,1331.28,1564.81,1852.08,2212.26,2959.56,3807.19,5185.39,5068.12,5281.34,6023.13,5917.62,6053.95,7033.07
财政收入:安徽:铜陵市,百万人民币,4275.709375,7549785.747,2747.687345,-0.028230883,-1.72249255,0.642627247,552.53,8072.11,4004.585,16,,,,,,,,,,,,,,,,,,,,,,,,,,552.53,728.66,986.45,1392.03,1790.52,2378.54,3304.50,3473.36,4535.81,6359.83,6417.58,6627.28,6680.92,8072.11,7734.41,7376.82
财政收入:安徽:安庆市,百万人民币,6802.029375,18529395.5,4304.578434,0.189248266,-1.623144935,0.632837378,1251.76,13320,6148.45,16,,,,,,,,,,,,,,,,,,,,,,,,,,1251.76,1802.61,1954.59,2453.82,3219.64,3846.13,4155.53,5057.42,7239.48,8562.02,9845.73,10565.37,10657.08,12799.45,12101.84,13320.00
财政收入:安徽:黄山市,百万人民币,4016.559375,8149543.888,2854.740599,0.095693441,-1.874646448,0.710742786,601.96,7761.46,3814.305,16,,,,,,,,,,,,,,,,,,,,,,,,,,601.96,677.45,855.78,1045.09,1313.95,1675.47,2078.09,3078.60,4550.01,5632.04,5938.28,6799.03,7159.55,7579.48,7518.71,7761.46
财政收入:安徽:滁州市,百万人民币,8053.6725,44646201.12,6681.781284,0.518659756,-1.230562168,0.829656444,1007.1,19927.72,6219.325,16,,,,,,,,,,,,,,,,,,,,,,,,,,1007.10,1062.38,1199.80,1581.35,2217.39,2863.67,3706.55,5052.81,7385.84,9694.19,11442.31,12362.95,14373.04,16730.62,18251.04,19927.72
财政收入:安徽:阜阳市,百万人民币,6691.589375,33546398.39,5791.925275,0.798157088,-0.566970604,0.865553002,1048.16,18710,4845.715,16,,,,,,,,,,,,,,,,,,,,,,,,,,1048.16,1189.23,1139.80,1388.30,1703.33,2264.46,2992.26,4118.10,5573.33,6931.25,8545.66,10350.94,12004.25,13344.41,15761.95,18710.00
财政收入:安徽:宿州市,百万人民币,4580.359375,14526607.66,3811.378709,0.496925942,-1.425528811,0.832113465,700.65,11156,3255.83,16,,,,,,,,,,,,,,,,,,,,,,,,,,810.54,795.39,700.65,903.01,1188.97,1530.74,1853.22,2615.43,3896.23,5329.58,6635.12,7694.44,8601.52,9562.48,10012.43,11156.00
财政收入:安徽:巢湖市,百万人民币,2222.32125,1044004.483,1021.765376,0.260821943,-0.380626486,0.45977393,917.7,3927.18,2208.735,8,,,,,,,,,,,,,,,,,,,,,,,,,,917.70,977.06,1927.32,2490.15,1883.69,2561.00,3094.47,3927.18,,,,,,,,
财政收入:安徽:六安市,百万人民币,5684.48625,16426336.5,4052.94171,0.27866189,-1.575593147,0.712982938,1038.52,12240,4972.86,16,,,,,,,,,,,,,,,,,,,,,,,,,,1038.52,1099.13,1158.18,1495.73,2031.42,2602.94,3307.59,4270.11,5675.61,6926.78,8183.38,9484.26,10333.45,9826.13,11278.55,12240.00
财政收入:安徽:亳州市,百万人民币,4278.27875,13702460.76,3701.683504,0.568975411,-1.24486877,0.865227284,573.17,11200,2867.105,16,,,,,,,,,,,,,,,,,,,,,,,,,,718.64,674.46,573.17,785.88,990.80,1269.46,1731.85,2329.80,3404.41,4768.78,6438.13,7269.63,8140.00,8702.39,9455.06,11200.00
财政收入:安徽:池州市,百万人民币,3852.588125,7040425.537,2653.380021,0.011772092,-1.840215027,0.688726626,397.1,7145.3,3609.87,16,,,,,,,,,,,,,,,,,,,,,,,,,,397.10,475.12,703.19,1540.71,1276.60,1780.02,2409.77,3120.66,4099.08,5237.46,6513.93,6843.60,7130.00,7145.30,6518.87,6450.00
财政收入:安徽:宣城市,百万人民币,7051.961875,29860760.32,5464.500007,0.266938685,-1.690984076,0.774890747,732.79,15307.02,5909.555,16,,,,,,,,,,,,,,,,,,,,,,,,,,732.79,896.98,1125.32,1590.57,2186.34,2763.25,3542.25,4983.10,6836.01,8693.60,10766.82,12022.21,13155.71,13932.37,14297.05,15307.02
财政收入:福建:福州市,百万人民币,32844.03313,473311207.3,21755.71666,0.323346979,-1.509917023,0.662394797,6745.22,68038,28392.81,16,,,,,,,,,,,,,,,,,,,,,,,,,,6745.22,7521.42,9745.02,11561.84,14656.41,16885.59,19526.12,24782.06,32003.56,38201.51,45396.90,51087.07,56046.35,59891.13,63416.33,68038.00
财政收入:福建:厦门市,百万人民币,36683.28188,552819912.3,23512.12267,0.244712317,-1.389725863,0.640949268,6501.53,75453,33483.58,16,,,,,,,,,,,,,,,,,,,,,,,,,,7014.56,6501.53,9894.74,13616.53,18652.62,22023.43,24056.08,28917.48,38049.68,43227.48,50055.59,54379.86,60609.67,64793.66,69686.60,75453.00
财政收入:福建:莆田市,百万人民币,6543.9125,22583206.02,4752.179081,0.309547218,-1.532824205,0.726198445,955.26,14097,5578.04,16,,,,,,,,,,,,,,,,,,,,,,,,,,955.26,1020.80,1456.43,1848.61,2381.81,2955.50,3790.66,4763.36,6392.72,7744.65,9492.05,11029.82,11564.73,11572.55,13636.65,14097.00
财政收入:福建:三明市,百万人民币,5884.005625,11817206.97,3437.616467,0.043825233,-1.819578241,0.584230656,1513.48,10764,5708.915,16,,,,,,,,,,,,,,,,,,,,,,,,,,1513.48,1737.76,1933.28,2202.68,2748.67,3295.80,3796.48,4964.15,6453.68,7743.53,8984.50,9092.10,9368.21,9469.78,10075.99,10764.00
财政收入:福建:泉州市,百万人民币,24078.68813,227188269.7,15072.76583,0.212605016,-1.621350327,0.625979528,5003,47416,21180.9,16,,,,,,,,,,,,,,,,,,,,,,,,,,5003.00,5865.40,7611.39,9303.30,11460.92,13717.13,15005.38,18153.24,24208.56,29345.60,34690.79,38010.56,38830.36,42407.59,44229.79,47416.00
财政收入:福建:漳州市,百万人民币,10774.76438,49940863.38,7066.884984,0.167087896,-1.549173598,0.655873738,1724.66,21875,10032.96,16,,,,,,,,,,,,,,,,,,,,,,,,,,1724.66,2010.46,2696.00,3505.50,4740.86,6048.59,7094.64,8856.56,11209.36,13170.78,15486.28,16899.11,17910.25,18764.10,20404.08,21875.00
财政收入:福建:南平市,百万人民币,4949.638125,9297377.181,3049.160078,0.186547127,-1.715897185,0.616036971,1189.84,9451.55,4363.445,16,,,,,,,,,,,,,,,,,,,,,,,,,,1189.84,1316.41,1508.29,1841.95,2389.04,2804.61,3138.52,3858.86,4868.03,5917.77,7162.43,8099.38,8642.66,8297.18,8707.69,9451.55
财政收入:福建:龙岩市,百万人民币,7834.6375,23240205.71,4820.809653,0.048305223,-1.639854032,0.615320065,1433.43,15127,7551.565,16,,,,,,,,,,,,,,,,,,,,,,,,,,1433.43,1698.40,2082.97,2848.99,3665.63,4628.10,5433.78,6674.81,8428.32,10150.78,11720.67,11984.24,12460.63,13141.44,13875.01,15127.00
财政收入:福建:宁德市,百万人民币,5680.26,17154608.37,4141.812208,0.253860288,-1.743391083,0.729158913,909.17,12042,4740.495,16,,,,,,,,,,,,,,,,,,,,,,,,,,909.17,1019.09,1264.86,1573.80,2018.49,2421.53,2754.14,4050.56,5430.43,7063.78,8869.49,9892.22,10438.94,10097.31,11038.35,12042.00
财政收入:江西:南昌市,百万人民币,21145.85375,229171023.1,15138.39566,0.397640372,-1.489466171,0.715903734,3140.94,46175,16674.615,16,,,,,,,,,,,,,,,,,,,,,,,,,,3140.94,4219.11,5827.83,6810.75,8721.99,10214.77,11587.98,14646.50,18702.73,24014.27,29190.97,34220.65,38934.12,40218.31,41707.74,46175.00
财政收入:江西:景德镇市,百万人民币,4722.0425,12055837.4,3472.151697,0.074436792,-1.907630722,0.735307168,660.93,9058.85,4492.415,16,,,,,,,,,,,,,,,,,,,,,,,,,,660.93,774.44,843.78,970.66,1189.66,1851.43,2433.28,3875.67,5109.16,6663.97,7377.00,8215.39,9058.85,8872.12,8670.34,8986.00
财政收入:江西:萍乡市,百万人民币,5493.62875,15650662.94,3956.091877,0.126964584,-1.876019494,0.72012363,737.31,10606.54,4979.895,16,,,,,,,,,,,,,,,,,,,,,,,,,,737.31,947.13,1191.53,1405.46,1802.96,2342.88,2730.57,4111.09,5848.70,7409.16,8552.00,9419.66,10606.54,10549.26,10272.81,9971.00
财政收入:江西:九江市,百万人民币,12159.40875,101329189.4,10066.24008,0.419848729,-1.653044529,0.827856049,1529.26,26789,8604.665,16,,,,,,,,,,,,,,,,,,,,,,,,,,1529.26,1880.59,2245.42,2603.77,3207.49,3842.10,5050.23,7106.34,10102.99,14187.09,17615.00,21366.08,24720.22,26051.90,26253.06,26789.00
财政收入:江西:新余市,百万人民币,5357.595,12946888.54,3598.178503,-0.112923316,-1.868327885,0.671603304,626.28,9880.4,5971.13,16,,,,,,,,,,,,,,,,,,,,,,,,,,626.28,754.13,1052.67,1395.21,1925.95,2609.50,3302.98,4999.47,6942.79,8323.39,8446.00,8992.42,9880.40,9574.04,9260.29,7636.00
财政收入:江西:鹰潭市,百万人民币,4120.06,10049036.7,3170.021562,0.166773935,-1.889765498,0.769411504,448.1,8301.1,3416.515,16,,,,,,,,,,,,,,,,,,,,,,,,,,448.10,529.19,670.56,854.33,1254.17,1633.76,1811.48,2950.84,3882.19,5882.61,6613.00,7339.31,8301.10,8161.85,7525.47,8063.00
财政收入:江西:赣州市,百万人民币,12504.04625,89732040.61,9472.699753,0.340268125,-1.707809245,0.757570755,1967.65,26521,9452.935,16,,,,,,,,,,,,,,,,,,,,,,,,,,1967.65,2283.58,2590.12,3046.25,3893.31,5546.52,6808.58,7900.79,11005.08,14127.73,18437.00,22531.18,24551.24,24318.08,24536.63,26521.00
财政收入:江西:吉安市,百万人民币,8170.5525,37307289.19,6107.969318,0.261224087,-1.781481266,0.74755891,1221.87,16773,6695.4,16,,,,,,,,,,,,,,,,,,,,,,,,,,1221.87,1479.10,1783.56,2051.30,2532.21,3243.79,3974.08,5709.67,7681.13,10349.53,12144.00,14256.81,16172.37,15702.17,15654.25,16773.00
财政收入:江西:宜春市,百万人民币,10741.32813,76260090.71,8732.702371,0.35388214,-1.7093175,0.813000243,1316.07,23637,7931.905,16,,,,,,,,,,,,,,,,,,,,,,,,,,1316.07,1546.04,1816.04,2183.04,2836.30,3647.40,4765.70,6629.57,9234.24,13243.10,15939.00,19032.38,21503.77,22004.47,22527.13,23637.00
财政收入:江西:抚州市,百万人民币,6680.04875,21992435.32,4689.609293,0.083969588,-1.871624353,0.702032196,872.02,12681.95,6570.905,16,,,,,,,,,,,,,,,,,,,,,,,,,,872.02,1289.55,1536.60,2053.59,2015.31,2599.63,3559.50,5542.71,7599.10,8724.78,10048.00,11637.84,12681.95,12280.00,12019.20,12421.00
财政收入:江西:上饶市,百万人民币,10889.05563,73586526.42,8578.258939,0.312733556,-1.76806171,0.787787227,1371.1,22754.47,8406.96,16,,,,,,,,,,,,,,,,,,,,,,,,,,1371.10,1700.16,2168.87,2539.36,3205.95,3665.10,4807.91,7256.28,9557.64,13416.19,16443.16,19420.99,22236.87,22754.47,21397.84,22283.00
财政收入:山东:济南市,百万人民币,35222.56813,548416294.2,23418.28974,0.40918322,-1.400591958,0.66486605,7610.54,75282,29553.145,16,,,,,,,,,,,,,,,,,,,,,,,,,,7610.54,8903.64,10615.47,12843.88,15701.92,18601.55,21019.23,26613.14,32493.15,38082.18,48207.22,54312.78,61431.72,64121.67,67721.00,75282.00
财政收入:山东:青岛市,百万人民币,59586.91938,1503836291,38779.32814,0.359971544,-1.380567398,0.650802702,12013.98,123190,50937.69,16,,,,,,,,,,,,,,,,,,,,,,,,,,12013.98,13051.36,17641.18,22599.04,29280.37,34243.59,37700.86,45261.38,56614.00,67018.20,78893.13,89524.50,100632.20,110003.03,115723.89,123190.00
财政收入:山东:淄博市,百万人民币,19715.16188,143644807.7,11985.19118,0.203659696,-1.519253786,0.607917463,4025.36,38523,18299.035,16,,,,,,,,,,,,,,,,,,,,,,,,,,4025.36,5003.45,6412.83,8069.69,9785.54,11468.75,12876.99,16239.55,20358.52,23628.25,27306.88,29254.96,31792.75,34537.76,36158.31,38523.00
财政收入:山东:枣庄市,百万人民币,8822.093125,26021448.28,5101.122257,-0.074969428,-1.779068797,0.578221311,1649.42,14931.49,8841.33,16,,,,,,,,,,,,,,,,,,,,,,,,,,1649.42,2070.68,2816.16,3700.44,4522.55,5273.29,6080.37,7670.69,10011.97,11636.69,13072.06,13787.70,14931.49,14739.95,14520.03,14670.00
财政收入:山东:东营市,百万人民币,13066.98063,61533128.63,7844.305491,0.164643655,-1.70076763,0.600315078,2304.29,24459,12007.545,16,,,,,,,,,,,,,,,,,,,,,,,,,,2304.29,4742.81,5189.66,4809.75,6012.23,7095.31,8087.19,10488.21,13526.88,15870.51,18379.43,20623.50,22008.29,22186.59,23288.04,24459.00
财政收入:山东:烟台市,百万人民币,31232.6025,433748583.9,20826.6316,0.288891944,-1.545598808,0.666823445,5517.44,63662,27049.4,16,,,,,,,,,,,,,,,,,,,,,,,,,,5517.44,6402.14,8704.13,11242.17,14081.90,16616.63,18911.66,23779.58,30319.22,35735.89,43722.95,49016.46,54265.70,57711.30,60032.47,63662.00
财政收入:山东:潍坊市,百万人民币,27184.99938,362350158.9,19035.49734,0.342360414,-1.535115978,0.700220628,4573.81,56980,22817.46,16,,,,,,,,,,,,,,,,,,,,,,,,,,4573.81,5258.08,7072.03,8854.97,11057.32,13195.79,15795.18,20243.16,25391.76,30612.28,38391.58,43017.89,48450.57,52153.69,53911.88,56980.00
财政收入:山东:济宁市,百万人民币,21309.30063,176826278.9,13297.60425,0.222948894,-1.666435749,0.624028188,4777.48,40002,18817.68,16,,,,,,,,,,,,,,,,,,,,,,,,,,4777.48,5405.56,6650.85,8155.26,10121.58,11944.66,13466.06,16925.40,20709.96,24562.66,30223.66,33419.68,36861.66,39151.68,38570.66,40002.00
财政收入:山东:泰安市,百万人民币,12449.84375,49309140.57,7022.046751,-0.039573,-1.66505564,0.564026898,2758.96,21953,12753.275,16,,,,,,,,,,,,,,,,,,,,,,,,,,2758.96,3121.32,4063.45,5168.79,6419.50,7640.13,9143.54,11694.89,13811.66,15885.16,16881.36,18739.36,20531.36,20671.06,20713.96,21953.00
财政收入:山东:威海市,百万人民币,14879.72625,75440469.84,8685.647347,0.332309914,-1.441864199,0.583723598,3716.97,28444,12735.525,16,,,,,,,,,,,,,,,,,,,,,,,,,,3716.97,4264.09,5754.52,7010.79,8021.70,9366.65,10252.11,11827.07,13643.98,15839.94,19522.42,22079.24,24974.70,26049.69,27307.75,28444.00
财政收入:山东:日照市,百万人民币,7076.894375,25365262.81,5036.39383,0.365311288,-1.3043376,0.711667232,1114.5,15977,6205.675,16,,,,,,,,,,,,,,,,,,,,,,,,,,1114.50,1122.98,1475.62,2076.09,2897.89,3633.27,4348.37,5561.28,6850.07,7885.69,10009.23,11107.22,12165.12,12873.00,14132.98,15977.00
财政收入:山东:莱芜市,百万人民币,3596.245,2863210.979,1692.102532,-0.261987205,-1.012594564,0.470519259,758.27,6257,3727.615,16,,,,,,,,,,,,,,,,,,,,,,,,,,758.27,1029.50,1456.24,1925.72,2606.88,3024.88,3270.09,3532.07,3923.16,4201.78,4676.16,4960.17,5017.17,5300.05,5600.78,6257.00
财政收入:山东:临沂市,百万人民币,15539.62375,105982678.3,10294.78889,0.340005581,-1.60577895,0.662486367,3198.72,31184,12837.085,16,,,,,,,,,,,,,,,,,,,,,,,,,,3198.72,3757.70,4910.78,5827.19,6874.97,8023.10,9150.66,11548.16,14126.01,17007.33,21610.16,25100.67,28388.87,29391.67,28533.99,31184.00
财政收入:山东:德州市,百万人民币,10147.55688,46329742.18,6806.595491,0.274951787,-1.752468937,0.670761995,2271.35,20252,8398.6,16,,,,,,,,,,,,,,,,,,,,,,,,,,2271.35,2432.30,3070.25,3572.91,4200.74,4709.73,5527.72,7290.86,9506.34,12023.56,15001.69,17125.88,18278.00,18350.81,18746.77,20252.00
财政收入:山东:聊城市,百万人民币,9729.825,43426012.76,6589.841634,0.329396757,-1.610652972,0.677282647,2023.56,19427,8353.26,16,,,,,,,,,,,,,,,,,,,,,,,,,,2023.56,2243.28,2624.66,3364.19,4239.60,4893.24,5537.62,7050.22,9656.30,10448.88,13555.03,15619.44,17593.18,18749.83,18651.17,19427.00
财政收入:山东:滨州市,百万人民币,12250.87188,61518302.27,7843.360394,0.123862103,-1.548418229,0.640228751,1756.91,24054,11737.4,16,,,,,,,,,,,,,,,,,,,,,,,,,,1756.91,2200.66,3211.02,4512.16,5937.07,7036.67,8017.07,10398.79,13076.01,15046.01,17009.01,18714.56,20414.81,22000.82,22628.38,24054.00
财政收入:山东:菏泽市,百万人民币,10316.75688,49045284.45,7003.233857,0.080786005,-1.757727038,0.678821256,1596.53,20603,9814.09,16,,,,,,,,,,,,,,,,,,,,,,,,,,1596.53,1722.45,2115.47,3003.55,4211.22,5048.47,6057.31,8468.73,11159.45,14030.04,15930.01,16196.58,17765.71,18504.47,18655.12,20603.00
财政收入:河南:郑州市,百万人民币,53004.58875,1414038256,37603.70004,0.368863985,-1.437479386,0.709442351,6587.37,115205.49,44455.565,16,,,,,,,,,,,,,,,,,,,,,,,,,,6587.37,10482.32,13612.61,17602.66,21951.83,26038.99,30192.48,38680.40,50230.73,60664.88,72360.91,83387.61,94289.68,101118.33,105667.13,115205.49
财政收入:河南:开封市,百万人民币,5850.931875,20426089.75,4519.523177,0.540320713,-1.265448805,0.772445018,875.01,14068.07,4303.9,16,,,,,,,,,,,,,,,,,,,,,,,,,,875.01,1132.57,1398.30,1626.38,2031.60,2612.58,2954.95,3703.06,4904.74,6191.75,8074.19,9618.69,10827.50,11321.25,12274.27,14068.07
