"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
商品房销售价格:住宅:浙江:宁波市,人民币/平方米,7292.097467,18588936.15,4311.488855,-0.02413721,-1.694655477,0.591254968,1781,14144.92093,6843,19,,,,,,,1813.00,1781.00,1864.00,2357.00,2541.00,3026.00,4516.55,5105.08,6097.17,6843.00,9068.00,11669.35,11284.04,11386.29,11403.78,10889.67,11022.13,11737.88,14144.92
商品房销售价格:住宅:浙江:温州市,人民币/平方米,12248.41008,17901103.82,4230.969607,-0.733558731,-0.749646132,0.345430107,4662,17497.83947,13842.5502,13,,,,,,,,,,,,,4662.00,5589.00,7550.00,8615.00,14086.00,13818.18,16861.96,17497.84,15941.53,13842.55,12632.07,14149.23,13983.97
商品房销售价格:住宅:浙江:嘉兴市,人民币/平方米,6124.756989,4877475.063,2208.500637,0.647668784,0.950898212,0.360585839,3183,11182.60523,6777.700516,13,,,,,,,,,,,,,3183.00,3291.00,3933.00,4284.00,4918.00,6105.71,6777.70,6914.79,7039.50,6997.80,7183.23,7811.51,11182.61
商品房销售价格:住宅:浙江:湖州市,人民币/平方米,5649.181982,3089228.086,1757.620006,-0.462532928,-0.776461487,0.311128233,2617,8457.362328,6307.461538,13,,,,,,,,,,,,,2617.00,3076.00,3760.00,4107.00,5087.00,6199.94,6477.27,6737.96,6982.86,6307.46,6849.56,6779.95,8457.36
商品房销售价格:住宅:浙江:绍兴市,人民币/平方米,7069.480929,4529285.981,2128.211921,-0.62463851,-1.13012325,0.301042176,3392,9494.770081,8080.745089,13,,,,,,,,,,,,,3392.00,3869.00,4835.00,5061.00,6278.00,7622.16,8621.38,8909.60,9494.77,8080.75,8194.70,8116.60,9428.30
商品房销售价格:住宅:浙江:金华市,人民币/平方米,7276.25145,8488994.713,2913.587945,-0.228373125,-1.7344911,0.400424307,3092,11032.46732,8010.63965,13,,,,,,,,,,,,,3092.00,3384.00,4065.00,4543.00,5214.00,6453.24,8010.64,9452.15,9348.16,10239.39,10377.00,9380.22,11032.47
商品房销售价格:住宅:浙江:衢州市,人民币/平方米,5517.37572,6736577.186,2595.491704,0.153988301,-0.704292577,0.470421417,2095,10536.30218,6655.302594,13,,,,,,,,,,,,,2095.00,2244.00,2604.00,2908.00,3683.00,5461.99,7159.09,6787.96,7020.31,6655.30,6815.63,7755.30,10536.30
商品房销售价格:住宅:浙江:舟山市,人民币/平方米,8428.608905,9120766.09,3020.06061,-0.475891264,-1.333767713,0.358310683,3554,12257.78378,9483.592401,13,,,,,,,,,,,,,3554.00,4082.00,4809.00,6091.00,6493.00,9483.59,10766.08,10197.11,11832.30,10833.73,9405.47,9766.85,12257.78
商品房销售价格:住宅:浙江:台州市,人民币/平方米,7787.074501,5898778.346,2428.740074,-0.458548361,-1.698653711,0.311893776,3995,10265.9377,9126.801866,13,,,,,,,,,,,,,3995.00,4509.00,4971.00,5304.00,6495.00,7245.26,9126.80,10018.24,9943.56,9675.24,9726.50,9956.43,10265.94
商品房销售价格:住宅:浙江:丽水市,人民币/平方米,7131.776066,5104049.561,2259.214368,-0.405039803,-1.428828808,0.316781451,3355,9806.315789,7384.751515,13,,,,,,,,,,,,,3355.00,4022.00,4731.00,5289.00,6080.00,6546.58,7384.75,9231.44,8985.37,9259.65,8847.76,9174.21,9806.32
商品房销售价格:住宅:安徽:合肥市,人民币/平方米,4470.658253,8178552.737,2859.816906,0.973513483,0.386462067,0.639685868,1499,11441.91952,3425,19,,,,,,,1667.00,1499.00,1522.00,1618.00,1889.00,2271.00,2799.45,2873.78,3153.80,3425.00,4095.00,5500.29,5608.00,5754.31,6083.79,6917.36,7511.89,9311.92,11441.92
商品房销售价格:住宅:安徽:芜湖市,人民币/平方米,4398.738574,1309969.779,1144.539112,-0.219621488,-0.275626877,0.260197121,2472,6501.350183,4738.779804,13,,,,,,,,,,,,,2472.00,2740.00,3074.00,3967.00,3763.00,4738.78,5000.00,4802.58,5148.04,5142.86,4603.26,5230.72,6501.35
商品房销售价格:住宅:安徽:蚌埠市,人民币/平方米,3621.07483,1135064.798,1065.394198,-0.662313924,-1.263110719,0.294220431,1906,4866.001319,4042.416452,13,,,,,,,,,,,,,1906.00,1925.00,2419.00,2576.00,3238.00,4042.42,4384.00,3970.34,4370.55,4559.58,4360.67,4456.42,4866.00
商品房销售价格:住宅:安徽:淮南市,人民币/平方米,3441.303904,1076772.28,1037.676385,-0.554434249,-0.618783901,0.301535817,1473,5015.145797,3852,13,,,,,,,,,,,,,1473.00,2042.00,2415.00,2675.00,2914.00,3633.66,3852.00,4152.11,4220.29,4203.60,4034.11,4107.03,5015.15
商品房销售价格:住宅:安徽:马鞍山市,人民币/平方米,3785.658339,827682.6839,909.7706765,-0.694076439,-0.918809769,0.240320334,2201,4943.381717,4244.207428,13,,,,,,,,,,,,,2480.00,2201.00,2514.00,3176.00,3863.00,4258.85,3669.00,4281.54,4397.14,4244.21,4518.85,4666.59,4943.38
商品房销售价格:住宅:安徽:淮北市,人民币/平方米,3394.914694,1562718.881,1250.087549,-0.159450439,-1.520190093,0.368223553,1578,5268.672993,3729,13,,,,,,,,,,,,,1578.00,1746.00,1905.00,2435.00,2680.00,2832.03,3729.00,4056.16,4452.55,4421.73,4410.17,4619.57,5268.67
商品房销售价格:住宅:安徽:铜陵市,人民币/平方米,3835.243315,982142.4417,991.0309994,-1.047047237,0.144229881,0.258401076,1795,4954.114018,4200,13,,,,,,,,,,,,,1795.00,2164.00,3234.00,3158.00,3645.00,4200.00,4508.00,4470.63,4721.16,4578.54,4446.07,3983.64,4954.11
商品房销售价格:住宅:安徽:安庆市,人民币/平方米,3157.134859,1849544.458,1359.97958,-0.071306081,-1.587572892,0.430763854,1226,5179.041585,3233,13,,,,,,,,,,,,,1226.00,1489.00,1699.00,1739.00,2329.00,2817.64,3233.00,3674.43,4231.04,4370.46,4503.46,4551.68,5179.04
商品房销售价格:住宅:安徽:黄山市,人民币/平方米,3312.370612,1699839.667,1303.778995,-0.074315755,-0.999186162,0.393609033,1388,5589.538619,3846.535061,13,,,,,,,,,,,,,1388.00,1543.00,1888.00,2098.00,2599.00,3203.15,3852.00,3846.54,4144.05,4059.18,4264.40,4585.97,5589.54
商品房销售价格:住宅:安徽:滁州市,人民币/平方米,3298.668976,1605005.576,1266.888147,0.064063512,-0.61100812,0.384060406,1396,5710.905335,3785,13,,,,,,,,,,,,,1396.00,1682.00,1926.00,2133.00,2611.00,3196.73,3785.00,3903.69,4041.73,4042.47,4070.12,4384.05,5710.91
商品房销售价格:住宅:安徽:阜阳市,人民币/平方米,3587.598258,2410096.286,1552.448481,-0.054152561,-1.426881586,0.432726401,1447,6026.039998,4001,13,,,,,,,,,,,,,1447.00,1502.00,1888.00,2215.00,2505.00,3202.04,4001.00,4168.25,4629.72,4785.77,4875.06,5393.89,6026.04
商品房销售价格:住宅:安徽:宿州市,人民币/平方米,2847.467678,880166.4553,938.1718688,-0.307469925,-1.319061892,0.329475862,1302,4230.922656,3287.552819,13,,,,,,,,,,,,,1302.00,1610.00,1933.00,1980.00,2239.00,2688.34,3423.00,3500.85,3287.55,3604.83,3436.59,3780.99,4230.92
商品房销售价格:住宅:安徽:巢湖市,人民币/平方米,2283.095177,425038.7721,651.9499767,0.287664613,-0.833402118,0.285555321,1449,3230.571061,2220,6,,,,,,,,,,,,,1449.00,1812.00,2036.00,2404.00,2767.00,3230.57,,,,,,,
商品房销售价格:住宅:安徽:六安市,人民币/平方米,3415.933375,1879603.702,1370.986397,-0.221518194,-1.19261631,0.40135045,1356,5646.952188,4053,13,,,,,,,,,,,,,1428.00,1356.00,1968.00,2245.00,2565.00,3220.75,4053.00,4341.14,4324.94,4498.13,4249.27,4510.95,5646.95
商品房销售价格:住宅:安徽:亳州市,人民币/平方米,3158.65541,1813115.05,1346.519606,0.199208351,-0.861123833,0.426295189,1286,5711.287759,3625.806324,13,,,,,,,,,,,,,1286.00,1686.00,1563.00,2018.00,2242.00,2622.79,3641.00,3625.81,3963.46,4122.53,4256.48,4324.17,5711.29
商品房销售价格:住宅:安徽:池州市,人民币/平方米,3268.853172,1453808.587,1205.73985,-0.325566413,-1.506609922,0.368857146,1386,4897.513439,3615.482124,13,,,,,,,,,,,,,1386.00,1605.00,1949.00,2226.00,2492.00,3105.34,3910.00,3615.48,4251.99,4346.97,4374.17,4335.62,4897.51
商品房销售价格:住宅:安徽:宣城市,人民币/平方米,3291.701737,1517625.277,1231.919347,-0.235679785,-1.320311919,0.374249991,1407,5179.498901,3726,13,,,,,,,,,,,,,1407.00,1605.00,1828.00,2404.00,2552.00,2985.05,3726.00,3915.50,4349.41,4458.47,4150.07,4232.13,5179.50
商品房销售价格:住宅:福建:福州市,人民币/平方米,4933.421135,10546094.99,3247.475171,0.721350087,-1.005907987,0.658260279,1773,10643.86921,3976.265186,15,,,,,,,1773.00,1850.00,2002.00,1960.00,2178.00,2463.00,2981.13,3976.27,4899.65,5244.00,6441.00,7876.67,9557.15,10643.87,10155.59,,,,
商品房销售价格:住宅:福建:厦门市,人民币/平方米,7165.728828,19094683.27,4369.746362,0.388755669,-1.424953166,0.609811851,2505,14551.52015,6600.72593,15,,,,,,,2826.00,2505.00,2559.00,2595.00,3077.00,3768.00,4744.01,6600.73,8907.02,8940.00,8935.00,11589.02,12936.10,12952.53,14551.52,,,,
商品房销售价格:住宅:福建:莆田市,人民币/平方米,5479.973618,4661455.84,2159.040491,-0.360340345,-1.28996797,0.393987388,1888,8485.896595,6064.901193,12,,,,,,,,,,,,,1888.00,,2726.00,3193.00,4087.00,4371.20,5591.74,6538.06,7462.62,7088.68,7035.76,7291.72,8485.90
商品房销售价格:住宅:福建:三明市,人民币/平方米,3878.47429,2267280.4,1505.749116,-0.087618425,-0.807449011,0.388232331,1571,6060.861147,3782.853422,8,,,,,,,,,,,,,1571.00,,2390.00,3316.00,3413.00,4152.71,4781.13,5343.10,6060.86,,,,
商品房销售价格:住宅:福建:泉州市,人民币/平方米,4768.155483,2608242.95,1615.005557,-0.245995295,-1.249727595,0.338706563,2255,6598.596043,4736.565327,8,,,,,,,,,,,,,2255.00,,3224.00,3839.00,4554.00,4919.13,6593.62,6161.90,6598.60,,,,
商品房销售价格:住宅:福建:漳州市,人民币/平方米,3922.913574,1876302.554,1369.781936,0.060221441,-1.077609055,0.34917464,1882,5909.514925,3756.643519,8,,,,,,,,,,,,,1882.00,,2900.00,2979.00,3445.00,4068.29,4918.86,5280.64,5909.51,,,,
商品房销售价格:住宅:福建:南平市,人民币/平方米,3816.882037,1876915.76,1370.005752,-0.316914546,-0.842838846,0.358933218,1505,5723.94304,3969.476744,9,,,,,,,,,,,,,1505.00,,2591.00,2787.00,3294.00,3969.48,4572.15,4871.33,5038.04,,,,5723.94
商品房销售价格:住宅:福建:龙岩市,人民币/平方米,3953.281728,2501080.937,1581.480616,0.168213269,-0.549644331,0.400042477,1585,6406.854616,3870.400834,8,,,,,,,,,,,,,1585.00,,2673.00,2995.00,3675.00,4065.80,4592.08,5633.52,6406.85,,,,
商品房销售价格:住宅:福建:宁德市,人民币/平方米,4500.015501,3980500.346,1995.119131,-0.012918663,-1.455899113,0.44335828,1579,6947.355812,4262.139442,8,,,,,,,,,,,,,1579.00,,2756.00,3281.00,3694.00,4830.28,6008.08,6904.41,6947.36,,,,
商品房销售价格:住宅:江西:南昌市,人民币/平方米,4070.590676,5211415.629,2282.85252,0.404497912,-1.208412597,0.560816034,1168,8106.43973,3508.695136,19,,,,,,,1168.00,1298.00,1491.00,1632.00,2079.00,2429.00,2518.52,3053.13,3508.70,3361.00,3637.00,4330.68,5322.66,5879.99,6639.31,6224.61,6955.39,7706.80,8106.44
商品房销售价格:住宅:江西:景德镇市,人民币/平方米,3159.055865,1491426.676,1221.239811,-0.589656228,-1.103654595,0.386583797,1053,4640.687163,3593.486471,11,,,,,,,,,,,,,1053.00,,1521.00,,2084.00,2302.12,3249.37,3593.49,3798.78,4162.54,4024.41,4320.23,4640.69
商品房销售价格:住宅:江西:萍乡市,人民币/平方米,3236.672402,1611597.833,1269.487232,-0.520942503,-1.270419374,0.392219871,1102,4613.506215,3585.225595,11,,,,,,,,,,,,,1102.00,,1526.00,,2108.00,2463.24,2988.78,3585.23,4106.02,4294.03,4231.04,4613.51,4585.55
商品房销售价格:住宅:江西:九江市,人民币/平方米,3423.693032,1366347.306,1168.908596,-0.94949102,0.292676686,0.341417465,1047,4738.469069,3652.143217,11,,,,,,,,,,,,,1047.00,,1808.00,,2964.00,2884.02,3538.94,3652.14,4738.47,3982.61,4042.12,4290.95,4712.37
商品房销售价格:住宅:江西:新余市,人民币/平方米,2992.398207,1210229.393,1100.104264,-0.696886519,-0.823528381,0.367632978,990,4265.725514,3287.659129,11,,,,,,,,,,,,,990.00,,1514.00,,2089.00,2329.89,3090.50,3287.66,3624.56,4265.73,4004.79,3901.03,3819.23
商品房销售价格:住宅:江西:鹰潭市,人民币/平方米,3352.980647,1266411.1,1125.349324,-0.870517391,0.101076742,0.335626549,1116,4804.33259,3790.061446,11,,,,,,,,,,,,,1116.00,,1810.00,,2607.00,3059.00,3364.17,3790.06,4390.12,3919.48,4804.33,3817.21,4205.42
商品房销售价格:住宅:江西:赣州市,人民币/平方米,3900.959316,2791115.515,1670.663196,-0.667045533,-0.864121616,0.428269833,899,6015.051534,4659.808791,11,,,,,,,,,,,,,899.00,,1717.00,,2306.00,2972.55,4037.17,4659.81,4872.62,5371.95,4984.90,5074.50,6015.05
商品房销售价格:住宅:江西:吉安市,人民币/平方米,3145.442812,1755025.131,1324.773615,-0.655070499,-1.111351787,0.421172373,856,4658.798633,3446.010706,11,,,,,,,,,,,,,856.00,,1359.00,,1813.00,2371.65,3402.03,3446.01,3990.49,4104.41,4283.35,4315.13,4658.80
商品房销售价格:住宅:江西:宜春市,人民币/平方米,3144.694611,1624354.732,1274.501758,-0.581201974,-1.235767309,0.405286337,999,4674.88539,3595.096016,11,,,,,,,,,,,,,999.00,,1440.00,,1887.00,2296.47,3209.28,3595.10,3952.74,4077.37,4177.04,4282.76,4674.89
商品房销售价格:住宅:江西:抚州市,人民币/平方米,3263.161839,1753993.854,1324.38433,-0.65702297,-0.866043103,0.405859223,842,4791.763163,3495.091541,11,,,,,,,,,,,,,842.00,,1605.00,,2076.00,2443.10,3490.31,3495.09,3914.40,4325.29,4396.63,4515.19,4791.76
商品房销售价格:住宅:江西:上饶市,人民币/平方米,3330.293454,2186450.48,1478.665101,-0.425671924,-1.254210487,0.444004446,956,5197.328887,3578.597813,11,,,,,,,,,,,,,956.00,,1295.00,,1894.00,2519.47,3191.74,3578.60,4092.30,4894.34,4523.68,4490.77,5197.33
商品房销售价格:住宅:山东:济南市,人民币/平方米,4853.018508,6830550.319,2613.532154,0.339379177,-1.33094867,0.538537438,1685,9718.222825,4155,19,,,,,,,1685.00,1800.00,1858.00,2068.00,2307.00,2831.00,2992.83,3318.90,3719.62,4155.00,4790.00,6099.73,6676.21,8061.97,7026.18,7159.71,7531.01,8408.97,9718.22
商品房销售价格:住宅:山东:青岛市,人民币/平方米,5328.973457,8201160.585,2863.766852,0.146883559,-1.47085448,0.537395593,1684,10051.65756,5104.940421,19,,,,,,,1684.00,1743.00,1831.00,2066.00,2297.00,2747.00,3593.70,4000.92,5104.94,4788.00,5383.00,6420.61,7171.37,9092.82,7986.86,7855.21,8436.59,8996.81,10051.66
商品房销售价格:住宅:山东:淄博市,人民币/平方米,3975.046224,2289544.523,1513.124094,-0.185979234,-1.735244777,0.380655723,1833,6035.842479,4308.056872,13,,,,,,,,,,,,,1833.00,2112.00,2201.00,2488.00,2848.00,3646.16,4308.06,4900.97,5000.00,5347.05,5394.21,5561.31,6035.84
商品房销售价格:住宅:山东:枣庄市,人民币/平方米,3114.167489,1066505.795,1032.717674,-0.499140769,-1.054139532,0.331619182,1322,4473.11917,3519.237557,13,,,,,,,,,,,,,1322.00,1587.00,2079.00,2275.00,2680.00,3061.05,3840.29,4287.14,3519.24,3756.31,3717.45,3886.57,4473.12
商品房销售价格:住宅:山东:东营市,人民币/平方米,3811.021903,1884036.518,1372.602098,-0.301333909,-1.747541429,0.360166415,1832,5379.675018,4086.340551,13,,,,,,,,,,,,,1832.00,1989.00,2224.00,2396.00,2905.00,3661.89,4086.34,4919.27,4796.37,4819.66,5379.68,5179.98,5354.11
商品房销售价格:住宅:山东:烟台市,人民币/平方米,4491.733519,1900182.403,1378.471038,-0.264435779,-1.659165209,0.306890654,2397,6241.60016,4833.713754,13,,,,,,,,,,,,,2397.00,2682.00,2942.00,3242.00,3748.00,3954.09,4833.71,5999.17,5358.62,5688.51,5624.32,5681.51,6241.60
商品房销售价格:住宅:山东:潍坊市,人民币/平方米,3235.380564,1190857.793,1091.264309,-0.138434413,-1.558711917,0.337290865,1634,4806.281366,3449.147012,13,,,,,,,,,,,,,1634.00,1816.00,2009.00,2310.00,2591.00,2803.81,3449.15,4480.08,3803.65,4008.53,4134.46,4214.00,4806.28
商品房销售价格:住宅:山东:济宁市,人民币/平方米,3173.921621,1036025.991,1017.85362,-0.284382996,-1.325358418,0.320692739,1517,4654.818982,3596.935585,13,,,,,,,,,,,,,1517.00,1786.00,2262.00,2183.00,2677.00,2823.58,3596.94,3971.75,3621.98,3949.90,4010.85,4206.16,4654.82
商品房销售价格:住宅:山东:泰安市,人民币/平方米,3665.372967,1773121.028,1331.585907,-0.25083945,-1.595806416,0.363287971,1789,5457.237592,4079.211603,13,,,,,,,,,,,,,1789.00,1850.00,2085.00,2298.00,2995.00,3411.74,4079.21,4827.32,4237.75,4829.68,4629.47,5160.43,5457.24
商品房销售价格:住宅:山东:威海市,人民币/平方米,3798.998336,1104063.35,1050.744189,-0.467778097,-0.88391597,0.276584535,1924,5293.886228,3971.131159,13,,,,,,,,,,,,,1924.00,2267.00,2834.00,2948.00,3422.00,3753.12,3971.13,4845.55,4381.41,4483.72,4504.20,4758.95,5293.89
商品房销售价格:住宅:山东:日照市,人民币/平方米,3858.103545,1413522.688,1188.916602,-0.26534826,-1.563067801,0.308160885,2001,5473.521664,4145.645646,13,,,,,,,,,,,,,2001.00,2320.00,2733.00,2606.00,3072.00,3626.72,4145.65,4522.28,5048.48,4811.46,4792.51,5002.74,5473.52
商品房销售价格:住宅:山东:莱芜市,人民币/平方米,3356.464705,2125229.849,1457.816809,-0.078479867,-1.725481242,0.434331041,1216,5262.184874,3020.20202,13,,,,,,,,,,,,,1216.00,1591.00,1975.00,1851.00,2476.00,3020.20,2942.77,5262.18,4157.97,4648.58,4703.57,4697.25,5092.51
商品房销售价格:住宅:山东:临沂市,人民币/平方米,3083.400224,1201070.214,1095.93349,-0.055859198,-1.585434869,0.355430178,1635,4769.892123,3154.955254,13,,,,,,,,,,,,,1659.00,1635.00,1824.00,2026.00,2385.00,2745.69,3154.96,3885.36,3740.10,4035.57,3980.69,4242.95,4769.89
商品房销售价格:住宅:山东:德州市,人民币/平方米,3005.014494,1313395.718,1146.03478,-0.090632455,-1.835600401,0.381374127,1522,4623.48702,3193.979933,13,,,,,,,,,,,,,1522.00,1620.00,1651.00,1962.00,2003.00,2579.34,3193.98,4147.04,3841.45,3889.45,3857.53,4174.91,4623.49
商品房销售价格:住宅:山东:聊城市,人民币/平方米,3121.397569,1352721.233,1163.065446,-0.357363943,-1.39590981,0.37261048,1277,4724.203782,3461.967344,13,,,,,,,,,,,,,1277.00,1488.00,1904.00,1985.00,2527.00,3018.50,3461.97,4106.09,3926.10,3924.15,3903.34,4332.81,4724.20
商品房销售价格:住宅:山东:滨州市,人民币/平方米,2652.205217,1099212.364,1048.43329,0.410139426,-1.114994007,0.395306247,1409,4521.405195,2770,13,,,,,,,,,,,,,1409.00,1579.00,1474.00,1734.00,1919.00,2023.53,2770.00,3027.34,2904.84,3315.41,3727.15,4073.98,4521.41
商品房销售价格:住宅:山东:菏泽市,人民币/平方米,2705.752741,620067.6136,787.4437209,-0.411923835,-1.494697078,0.29102575,1486,3650.53415,2955.785124,13,,,,,,,,,,,,,1615.00,1486.00,1676.00,2125.00,2349.00,2493.03,2955.79,3396.89,3151.89,3356.57,3434.19,3484.90,3650.53
商品房销售价格:住宅:河南:郑州市,人民币/平方米,4152.961995,5281667.379,2298.187847,0.568001952,-1.078864383,0.553385234,1467,8323.151895,3598,19,,,,,,,1467.00,1891.00,1880.00,1914.00,1955.00,2004.00,2386.52,2690.69,3328.18,3598.00,4057.00,4595.76,4691.16,5643.08,6586.83,6579.13,7222.55,8093.23,8323.15
商品房销售价格:住宅:河南:开封市,人民币/平方米,2894.01828,955187.059,977.3367173,-0.021961911,-0.881449821,0.337709241,1399,4625.438389,2986.820428,13,,,,,,,,,,,,,1399.00,1542.00,2153.00,1936.00,2279.00,2761.97,2986.82,3369.63,3621.02,3578.55,3517.77,3852.05,4625.44
商品房销售价格:住宅:河南:洛阳市,人民币/平方米,3203.749472,1059481.736,1029.311292,-0.160496211,-1.01996272,0.321283328,1527,4865.635089,3428.627221,13,,,,,,,,,,,,,1527.00,1800.00,2197.00,2471.00,2547.00,3024.91,3428.63,3729.86,3851.34,3831.61,3987.20,4387.56,4865.64
商品房销售价格:住宅:河南:平顶山市,人民币/平方米,2630.263813,1056950.765,1028.081108,0.016528531,-1.585342163,0.390866157,1196,4098.397403,2786.490683,13,,,,,,,,,,,,,1196.00,1472.00,1446.00,1702.00,1860.00,2268.98,2786.49,3126.67,3140.02,3358.76,3795.82,4098.40,3942.29
商品房销售价格:住宅:河南:安阳市,人民币/平方米,2458.268303,683924.4476,826.9972476,0.04478605,-1.616129339,0.336414559,1385,3670.374539,2661.59601,13,,,,,,,,,,,,,1385.00,1446.00,1519.00,1689.00,1887.00,2112.21,2661.60,2680.35,2938.72,3096.62,3458.69,3412.92,3670.37
商品房销售价格:住宅:河南:鹤壁市,人民币/平方米,2466.388753,886778.7069,941.6892836,0.049218313,-1.101691343,0.381808943,1123,4059.691542,2674.320287,13,,,,,,,,,,,,,1123.00,1222.00,1452.00,1653.00,1907.00,2344.92,2702.40,2937.81,2674.32,2985.12,3483.31,3518.47,4059.69
商品房销售价格:住宅:河南:新乡市,人民币/平方米,2539.57718,1117941.608,1057.327579,0.129170066,-1.608612943,0.416340006,1212,4144.90327,2559.16255,13,,,,,,,,,,,,,1242.00,1212.00,1390.00,1562.00,1824.00,2097.50,2559.16,2756.25,3158.13,3607.10,3722.22,3739.24,4144.90
商品房销售价格:住宅:河南:焦作市,人民币/平方米,2655.738965,1162334.092,1078.115992,-0.062980915,-0.818606508,0.405957064,965,4439.717386,2775.522388,13,,,,,,,,,,,,,965.00,1059.00,1669.00,2201.00,1959.00,2354.06,2775.52,3017.05,3224.46,3153.59,3768.74,3938.47,4439.72
商品房销售价格:住宅:河南:濮阳市,人民币/平方米,2724.410062,1053980.626,1026.635586,0.292883449,-0.996840647,0.376828584,1337,4582.838993,2683.018868,13,,,,,,,,,,,,,1337.00,1465.00,1672.00,2005.00,2065.00,2228.39,2683.02,3066.35,3484.01,3181.33,3656.75,3990.65,4582.84
商品房销售价格:住宅:河南:许昌市,人民币/平方米,2791.083224,1256776.114,1121.060264,0.059233655,-1.342009503,0.40165777,1237,4616.943165,2808.95367,13,,,,,,,,,,,,,1237.00,1324.00,1609.00,1794.00,2183.00,2471.96,2808.95,2985.24,3567.33,3936.16,3790.55,3959.94,4616.94
商品房销售价格:住宅:河南:漯河市,人民币/平方米,2499.23636,1072812.321,1035.766538,0.088529455,-1.583270087,0.414433206,1050,4016.778523,2234.947644,13,,,,,,,,,,,,,1050.00,1221.00,1479.00,1599.00,1922.00,2068.06,2234.95,2854.29,3336.73,3275.71,3758.75,3673.81,4016.78
商品房销售价格:住宅:河南:三门峡市,人民币/平方米,2361.128922,848448.819,921.1128155,-0.325840168,-1.619265474,0.390115426,1005,3491.531012,2443.287037,13,,,,,,,,,,,,,1005.00,1134.00,1221.00,1412.00,2099.00,2122.50,2443.29,2897.71,3150.54,3252.25,3243.99,3221.87,3491.53
商品房销售价格:住宅:河南:南阳市,人民币/平方米,2391.566567,719921.0441,848.4816109,-0.027098451,-1.693019373,0.354780679,1250,3578.838335,2575.30648,13,,,,,,,,,,,,,1250.00,1320.00,1424.00,1737.00,1742.00,1995.75,2575.31,2649.42,3009.77,3175.13,3200.22,3432.93,3578.84
商品房销售价格:住宅:河南:商丘市,人民币/平方米,2357.479776,777068.0238,881.5146192,0.075472879,-1.328369065,0.373922452,1035,3789.359577,2575.345668,13,,,,,,,,,,,,,1035.00,1390.00,1531.00,1499.00,1741.00,2000.00,2731.91,2615.20,2575.35,3106.50,3256.19,3376.73,3789.36
商品房销售价格:住宅:河南:信阳市,人民币/平方米,2481.083938,1002283.629,1001.141164,0.001090146,-1.78494413,0.40350959,1086,3906.01233,2568.8017,13,,,,,,,,,,,,,1086.00,1370.00,1486.00,1489.00,1707.00,1937.67,2568.80,2991.69,3214.31,3378.03,3490.78,3628.81,3906.01
商品房销售价格:住宅:河南:周口市,人民币/平方米,2224.245594,749673.4677,865.8368597,-0.136554836,-1.7488088,0.389272148,1047,3296.378202,2309.958971,13,,,,,,,,,,,,,1047.00,1093.00,1217.00,1371.00,1859.00,1815.15,2309.96,2554.25,2936.23,3082.74,3187.56,3145.93,3296.38
商品房销售价格:住宅:河南:驻马店市,人民币/平方米,2171.459448,711925.1535,843.7565724,0.422390898,-1.12681137,0.38856658,1158,3719.718578,2138.000402,13,,,,,,,,,,,,,1158.00,1318.00,1313.00,1404.00,1529.00,1651.00,2138.00,2412.46,2588.62,2785.36,2995.32,3216.49,3719.72
商品房销售价格:住宅:湖北:武汉市,人民币/平方米,4715.322214,8726572.752,2954.07731,0.914909976,0.194705538,0.626484718,1636,11453.47368,4515.759656,17,,,,,,,1722.00,1636.00,1745.00,1916.00,2023.00,2463.00,2986.20,3535.26,4515.76,4681.00,5199.00,5552.08,6768.20,6895.37,7249.65,,,9819.49,11453.47
商品房销售价格:住宅:湖北:黄石市,人民币/平方米,2484.666091,578239.7954,760.4208015,-0.178084596,-1.600914965,0.30604547,1472,3445.193142,2682,9,,,,,,,,,,,,,1472.00,1491.00,1905.00,2129.00,2682.00,2924.15,2942.06,3445.19,3371.59,,,,
商品房销售价格:住宅:湖北:十堰市,人民币/平方米,2616.233289,1007521.354,1003.753632,0.30694074,-1.272363213,0.383663657,1388,4083.43645,2417.284141,8,,,,,,,,,,,,,1388.00,1494.00,,2135.00,2236.00,2598.57,3179.23,3815.63,4083.44,,,,
商品房销售价格:住宅:湖北:宜昌市,人民币/平方米,3607.380279,1361995.33,1167.045556,-0.088659823,-0.589827634,0.323516088,1602,5606.159989,3816.199858,13,,,,,,,,,,,,,1602.00,2055.00,2529.00,2899.00,3002.00,3380.18,3816.20,4054.84,4197.13,4172.05,4544.92,5037.45,5606.16
商品房销售价格:住宅:湖北:襄阳市,人民币/平方米,2397.241945,979831.3115,989.8642894,0.503661708,-0.52185262,0.412917975,1102,4120.415768,2312,9,,,,,,,,,,,,,1102.00,1389.00,1700.00,2009.00,2312.00,2498.30,2939.79,3504.67,4120.42,,,,
商品房销售价格:住宅:湖北:鄂州市,人民币/平方米,2377.113118,815150.8629,902.8570556,-0.111124123,-1.539016741,0.379812407,1150,3625.85034,2577,9,,,,,,,,,,,,,1150.00,1250.00,1776.00,1843.00,2577.00,2903.59,2940.25,3625.85,3328.32,,,,
