"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
商品房销售价格:住宅:山西:朔州市,人民币/平方米,2301.571127,648545.2805,805.3230908,0.213931142,-1.30920786,0.349901457,1109,3513.6316,2064,13,,,,,,,,,,,,,1109.00,1430.00,1436.00,1754.00,2064.00,1988.15,1971.89,2210.41,2865.60,3447.32,3513.63,2982.39,3148.02
商品房销售价格:住宅:山西:晋中市,人民币/平方米,2923.251651,1319547.144,1148.715432,-0.08354262,-1.916239155,0.392958106,1385,4371.706101,2905.811493,13,,,,,,,,,,,,,1462.00,1385.00,1713.00,1876.00,2076.00,2348.62,2905.81,3897.78,3783.22,4174.59,4132.70,3875.84,4371.71
商品房销售价格:住宅:山西:运城市,人民币/平方米,2179.653542,504407.242,710.2163346,0.167060617,-1.732680175,0.325839094,1286,3206.847527,2008.696768,13,,,,,,,,,,,,,1318.00,1286.00,1450.00,1591.00,1742.00,1752.22,2008.70,2403.50,2663.80,2888.83,3000.38,3024.23,3206.85
商品房销售价格:住宅:山西:忻州市,人民币/平方米,2239.54885,618826.5768,786.65531,0.034345522,-1.543003344,0.351256152,1234,3468.850144,2233.524529,13,,,,,,,,,,,,,1234.00,1326.00,1436.00,1789.00,1261.00,2037.26,2233.52,2427.58,2924.94,2883.02,3032.70,3060.27,3468.85
商品房销售价格:住宅:山西:临汾市,人民币/平方米,2897.136609,871196.8598,933.379269,0.005481859,-1.180453013,0.322173026,1325,4128.004184,2708.265033,13,,,,,,,,,,,,,1325.00,1766.00,2146.00,2409.00,2573.00,2381.03,2708.27,2779.75,3443.29,3983.35,3940.65,4128.00,4079.43
商品房销售价格:住宅:山西:吕梁市,人民币/平方米,2376.535342,721440.8529,849.3767438,-0.000659986,-1.379876519,0.357401268,1140,3599.26299,2339.857651,13,,,,,,,,,,,,,1304.00,1140.00,1439.00,1587.00,2108.00,2339.86,2162.72,2431.99,3077.13,3599.26,3258.99,2946.01,3501.00
商品房销售价格:住宅:内蒙古:呼和浩特市,人民币/平方米,3043.17396,2797704.712,1672.634064,0.282983217,-1.598039358,0.549634719,1187,5661.607393,2511,19,,,,,,,1188.00,1187.00,1330.00,1202.00,1277.00,1430.00,1540.78,2175.71,2458.82,2511.00,3248.00,3649.44,3916.38,4798.11,4631.42,5473.66,4945.57,5195.79,5661.61
商品房销售价格:住宅:内蒙古:包头市,人民币/平方米,3639.875522,1397434.461,1182.131322,-0.606209315,-0.776499166,0.324772458,1551,5144.559256,3997.874892,13,,,,,,,,,,,,,1551.00,1691.00,2635.00,2880.00,3218.00,3426.37,3997.87,4292.67,4707.54,5144.56,4359.57,4563.36,4851.44
商品房销售价格:住宅:内蒙古:乌海市,人民币/平方米,3168.046872,1787218.739,1336.869006,0.153829837,-1.136419893,0.421985236,1350,5443.696264,3529.957397,13,,,,,,,,,,,,,1350.00,1519.00,1939.00,1900.00,1988.00,2981.43,3529.96,3844.15,3857.62,5443.70,4987.37,3616.78,4227.60
商品房销售价格:住宅:内蒙古:赤峰市,人民币/平方米,3095.7907,1561845.243,1249.73807,0.030041427,-1.482072116,0.403689458,1337,4787.730006,3079.834984,13,,,,,,,,,,,,,1337.00,1485.00,1741.00,2186.00,2197.00,2768.90,3079.83,3398.40,3921.37,3964.48,4629.42,4787.73,4749.14
商品房销售价格:住宅:内蒙古:通辽市,人民币/平方米,2409.198084,950278.6879,974.8223879,0.172310819,-1.784316608,0.404625254,1211,3826.573325,2016.572232,13,,,,,,,,,,,,,1211.00,1243.00,1404.00,1679.00,1631.00,1945.22,2016.57,2867.83,3188.86,3826.57,3179.98,3518.61,3607.92
商品房销售价格:住宅:内蒙古:鄂尔多斯市,人民币/平方米,3426.797627,926440.4762,962.5177797,-1.042239445,-0.221692803,0.280879668,1546,4349.879078,3860.33021,13,,,,,,,,,,,,,1546.00,1776.00,2473.00,2861.00,3408.00,3860.33,4320.28,4034.62,4061.68,4349.88,4192.88,4053.55,3611.16
商品房销售价格:住宅:内蒙古:呼伦贝尔市,人民币/平方米,2479.64782,503636.2064,709.6733096,-0.234559552,-0.80542058,0.286199235,1315,3691.359691,2819.294197,13,,,,,,,,,,,,,1315.00,1498.00,1671.00,1954.00,2177.00,2399.70,2819.29,2924.31,2886.58,3691.36,2926.00,2853.83,3119.36
商品房销售价格:住宅:内蒙古:巴彦淖尔市,人民币/平方米,2727.767366,1298828.44,1139.661546,0.196864569,-1.396555264,0.417800125,1215,4593.312757,2451.736497,13,,,,,,,,,,,,,1255.00,1215.00,1777.00,1676.00,2062.00,2238.58,2451.74,2967.04,4593.31,3775.39,3517.55,4095.41,3836.95
商品房销售价格:住宅:内蒙古:乌兰察布市,人民币/平方米,2007.874762,460929.3646,678.9177893,-0.184894411,-1.320466447,0.338127558,909,3018.718357,2305.852125,13,,,,,,,,,,,,,909.00,1129.00,1427.00,1362.00,1651.00,1690.38,2305.85,2428.06,2371.42,3018.72,2657.83,2374.73,2777.38
商品房销售价格:住宅:辽宁:沈阳市,人民币/平方米,4410.241737,3136886.053,1771.125646,0.48521161,-1.189160792,0.401593779,2437,7944.247867,3856,19,,,,,,,2437.00,2549.00,2605.00,2601.00,2753.00,2852.00,3026.64,3184.00,3535.75,3856.00,4196.00,5108.83,5612.10,5989.45,6073.68,6217.13,6416.00,6837.76,7944.25
商品房销售价格:住宅:辽宁:大连市,人民币/平方米,5675.171044,7281320.751,2698.392253,0.110545466,-1.546010637,0.475473291,2199,10019.00621,5617,19,,,,,,,2199.00,2369.00,2679.00,2668.00,2699.00,2973.00,3579.86,4256.42,5417.28,5617.00,6175.00,6759.12,7928.98,7583.97,7859.14,9215.77,8710.86,9118.85,10019.01
商品房销售价格:住宅:辽宁:鞍山市,人民币/平方米,3510.042934,655179.2015,809.4314063,-0.436404447,-0.959949272,0.230604418,2113,4664.126582,3624.057242,13,,,,,,,,,,,,,2113.00,2316.00,2727.00,2812.00,3254.00,3570.09,3624.06,3826.48,4187.66,4664.13,4355.09,3983.60,4197.46
商品房销售价格:住宅:辽宁:抚顺市,人民币/平方米,3499.331718,1056075.948,1027.655559,-0.439755125,-0.992075715,0.293671947,1727,5033.175599,3987.14385,13,,,,,,,,,,,,,1727.00,2086.00,2275.00,2801.00,2995.00,3492.41,3987.14,4069.99,4494.03,5033.18,4093.73,4217.51,4219.33
商品房销售价格:住宅:辽宁:本溪市,人民币/平方米,3081.026229,775090.8322,880.3924308,-0.215265919,-1.796873195,0.28574649,1846,4224.265421,3425.619835,13,,,,,,,,,,,,,1846.00,1958.00,2270.00,2259.00,2117.00,2919.00,3425.62,3559.32,3619.94,3942.36,3901.31,4224.27,4011.53
商品房销售价格:住宅:辽宁:丹东市,人民币/平方米,3336.308035,1000825.164,1000.412497,-0.031380988,-1.490878672,0.299856154,1887,4680.530008,3239.552239,13,,,,,,,,,,,,,1887.00,2032.00,2222.00,2502.00,3029.00,2955.29,3239.55,3495.49,3934.21,4680.53,4488.54,4385.37,4521.01
商品房销售价格:住宅:辽宁:锦州市,人民币/平方米,3011.562474,783342.2541,885.0662428,-0.325193247,-1.152130202,0.293889385,1667,4203.526074,3091.780822,13,,,,,,,,,,,,,1699.00,1667.00,1872.00,2525.00,2556.00,3318.91,3091.78,3086.25,3492.54,4147.96,4203.53,3735.12,3755.22
商品房销售价格:住宅:辽宁:营口市,人民币/平方米,3151.183759,1151942.296,1073.285748,-0.592674933,-1.459745627,0.340597639,1475,4292.174742,3575.329912,13,,,,,,,,,,,,,1475.00,1544.00,1805.00,2145.00,2662.00,3346.37,3575.33,3960.91,4024.78,4292.17,4190.22,3972.22,3972.39
商品房销售价格:住宅:辽宁:阜新市,人民币/平方米,2687.284628,721663.0377,849.5075266,-0.054452148,-1.495588678,0.316121157,1481,3913.209352,2757.513661,13,,,,,,,,,,,,,1481.00,1495.00,1833.00,2011.00,2219.00,2377.47,2757.51,2793.69,3376.27,3913.21,3623.74,3535.18,3518.63
商品房销售价格:住宅:辽宁:辽阳市,人民币/平方米,3218.477551,836560.3943,914.6367554,-0.277573475,-1.391976309,0.284183047,1797,4419.371362,3357.388316,13,,,,,,,,,,,,,1797.00,1915.00,2194.00,2575.00,2666.00,3125.39,3357.39,3475.69,3966.64,4419.37,4048.41,4028.99,4271.32
商品房销售价格:住宅:辽宁:盘锦市,人民币/平方米,3181.766311,783355.1923,885.0735519,-0.90291336,-0.547330042,0.278170508,1695,4252.757256,3481.258061,13,,,,,,,,,,,,,1695.00,1780.00,1764.00,2937.00,3227.00,3392.07,3531.03,3773.25,3903.25,4252.76,4015.85,3481.26,3610.51
商品房销售价格:住宅:辽宁:铁岭市,人民币/平方米,2763.846119,932898.3439,965.8666284,-0.124317709,-1.483587251,0.34946469,1295,4188.294897,2727.462765,13,,,,,,,,,,,,,1295.00,1519.00,1788.00,1934.00,2063.00,2665.86,2727.46,3163.65,3485.03,4188.29,3734.83,3642.13,3723.75
商品房销售价格:住宅:辽宁:朝阳市,人民币/平方米,2344.542537,671805.1683,819.6372175,0.078201571,-1.635149051,0.349593665,1213,3462.660815,2268.504181,13,,,,,,,,,,,,,1213.00,1379.00,1476.00,1642.00,1728.00,2122.04,2268.50,2497.69,2894.16,3374.17,3330.50,3462.66,3091.33
商品房销售价格:住宅:辽宁:葫芦岛市,人民币/平方米,3255.161941,1344384.279,1159.475864,-0.357492772,-1.334454876,0.356196062,1345,4815.15392,3350.618269,13,,,,,,,,,,,,,1345.00,1623.00,2034.00,2390.00,2586.00,3350.62,3110.80,4061.14,4384.09,4055.61,4277.08,4284.62,4815.15
商品房销售价格:住宅:吉林:长春市,人民币/平方米,3901.019074,3423183.117,1850.184617,0.229252579,-1.763597713,0.474282382,1725,6810.680479,3344,19,,,,,,,1818.00,1725.00,2196.00,2064.00,1973.00,2119.00,2271.70,2408.03,3118.30,3344.00,4012.00,5096.92,5968.65,5273.35,5728.52,5846.76,6327.79,6017.66,6810.68
商品房销售价格:住宅:吉林:吉林市,人民币/平方米,3220.044583,1324402.627,1150.826932,-0.283032489,-1.391925,0.35739472,1477,4768.517286,3517.53507,13,,,,,,,,,,,,,1477.00,1570.00,1939.00,2192.00,2634.00,3114.91,3870.81,3517.54,3831.73,3951.73,4515.02,4478.32,4768.52
商品房销售价格:住宅:吉林:四平市,人民币/平方米,2425.286811,958687.1163,979.1256897,0.117712055,-1.46437647,0.403715423,1096,3941.051869,2266.702015,13,,,,,,,,,,,,,1221.00,1096.00,1345.00,1618.00,1825.00,2141.84,2266.70,2659.56,3037.08,3941.05,3598.75,3530.29,3248.45
商品房销售价格:住宅:吉林:辽源市,人民币/平方米,2473.473162,785390.2107,886.2224386,-0.018863594,-1.723440555,0.358290703,1250,3625.094913,2663.573086,13,,,,,,,,,,,,,1250.00,1320.00,1655.00,1843.00,1681.00,1992.51,2668.52,2663.57,3285.42,3335.62,3212.22,3623.18,3625.09
商品房销售价格:住宅:吉林:通化市,人民币/平方米,2547.453331,820662.8045,905.9044124,0.199663089,-1.323371943,0.35561178,1221,3937.243234,2505.181347,13,,,,,,,,,,,,,1221.00,1532.00,1665.00,1842.00,1939.00,2203.65,2505.18,2645.16,2933.74,3765.60,3326.33,3600.98,3937.24
商品房销售价格:住宅:吉林:白山市,人民币/平方米,2102.836961,296770.1218,544.7661166,-0.261242801,-1.30025869,0.25906246,1216,2918.803419,2353.657086,13,,,,,,,,,,,,,1216.00,1407.00,1586.00,1565.00,1714.00,2080.65,2458.56,2406.40,2381.58,2704.90,2544.33,2353.66,2918.80
商品房销售价格:住宅:吉林:松原市,人民币/平方米,2738.362393,1672561.569,1293.275519,-0.123056201,-1.65338361,0.472280631,1071,4726.113241,3173.643411,13,,,,,,,,,,,,,1534.00,1134.00,1071.00,1564.00,1156.00,2513.15,3833.48,3173.64,3533.33,4726.11,3879.74,3899.44,3580.81
商品房销售价格:住宅:吉林:白城市,人民币/平方米,2107.697042,735415.4486,857.5636703,1.023577451,0.319135471,0.40687236,1157,3917.580426,1833.978873,13,,,,,,,,,,,,,1157.00,1239.00,1261.00,1819.00,1512.00,1763.78,2251.26,2005.88,2272.73,2891.93,1833.98,3917.58,3474.93
商品房销售价格:住宅:黑龙江:哈尔滨市,人民币/平方米,3981.149237,3596169.615,1896.356932,0.465822167,-1.10632352,0.476334048,1783,7892.626049,3515,19,,,,,,,1783.00,2033.00,2127.00,2157.00,2183.00,2215.00,2384.04,2502.86,2942.74,3515.00,4146.00,5195.95,5340.50,5081.30,5886.10,5760.33,6147.74,6348.66,7892.63
商品房销售价格:住宅:黑龙江:齐齐哈尔市,人民币/平方米,2873.872115,1126143.593,1061.19913,-0.180326584,-1.444126977,0.369257603,1359,4232.272975,2907.594618,13,,,,,,,,,,,,,1359.00,1404.00,1638.00,1813.00,2659.00,2726.26,2907.59,2989.68,3614.88,3803.83,3993.33,4219.48,4232.27
商品房销售价格:住宅:黑龙江:鸡西市,人民币/平方米,2645.175047,603190.312,776.6532765,-0.623980609,-1.257494489,0.293611297,1323,3479.062206,2930.74438,13,,,,,,,,,,,,,1323.00,1567.00,1648.00,1939.00,2480.00,2644.96,3160.94,3248.62,3248.92,3263.50,2930.74,3453.53,3479.06
商品房销售价格:住宅:黑龙江:鹤岗市,人民币/平方米,2345.59258,563956.5774,750.9704238,-0.233163146,-1.880244865,0.320162346,1227,3252.172463,2659.646871,13,,,,,,,,,,,,,1227.00,1440.00,1534.00,1682.00,1733.00,1979.67,3114.40,2942.61,3252.17,3060.08,3025.81,2659.65,2842.31
商品房销售价格:住宅:黑龙江:双鸭山市,人民币/平方米,2086.931965,297524.8612,545.4583955,-0.835768301,-0.718101224,0.261368557,1090,2690.62098,2298.192771,13,,,,,,,,,,,,,1090.00,1204.00,1478.00,1684.00,2015.00,2298.19,2690.62,2638.55,2365.78,2524.06,2279.09,2399.14,2463.68
商品房销售价格:住宅:黑龙江:大庆市,人民币/平方米,3659.751194,802604.698,895.8820782,-0.584200709,-1.016830796,0.244793165,2047,4795.157153,3830.674728,13,,,,,,,,,,,,,2047.00,2479.00,2549.00,2938.00,3425.00,3749.74,4150.81,4225.72,3830.67,4478.45,4795.16,4509.42,4398.80
商品房销售价格:住宅:黑龙江:伊春市,人民币/平方米,1905.581026,590105.1626,768.1830268,-0.078138728,-1.331737048,0.403122731,794,3115.39144,1906.54986,13,,,,,,,,,,,,,794.00,870.00,1010.00,1319.00,1515.00,1691.99,1906.55,2239.52,2632.37,2564.69,2411.50,2702.54,3115.39
商品房销售价格:住宅:黑龙江:佳木斯市,人民币/平方米,2492.340258,731228.7456,855.1191412,-0.200669105,-1.137891414,0.343098876,1191,3782.123412,2675.923995,13,,,,,,,,,,,,,1191.00,1298.00,1482.00,1743.00,2238.00,2434.09,2675.92,2745.47,3033.68,2943.94,3279.44,3553.75,3782.12
商品房销售价格:住宅:黑龙江:七台河市,人民币/平方米,2583.155392,592888.9414,769.9928191,-0.321258004,-1.563102325,0.298082268,1377,3514.250747,2804.691684,13,,,,,,,,,,,,,1566.00,1377.00,1749.00,1895.00,1986.00,2649.72,3328.90,3514.25,3479.18,3251.16,3135.80,2804.69,2844.33
商品房销售价格:住宅:黑龙江:牡丹江市,人民币/平方米,2677.907184,760591.6543,872.1190597,-0.535036106,-1.463311174,0.325671877,1351,3623.007439,3030.611977,13,,,,,,,,,,,,,1389.00,1351.00,1540.00,1882.00,2316.00,2767.33,3030.61,3063.65,3498.11,3504.03,3386.33,3461.73,3623.01
