"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售额:住宅:山西:朔州市,百万人民币,1605.612308,1155723.951,1075.046023,1.106894368,-0.047044868,0.669555171,454,3749.68,1190.19,13,,,,,,,,,,,,,,,454.00,637.00,1027.00,767.00,1185.00,839.00,1370.86,1716.33,3017.28,3329.44,1190.19,1590.18,3749.68,
商品房销售额:住宅:山西:晋中市,百万人民币,3975.932857,7393081.356,2719.022132,1.526609593,3.070320732,0.683870234,1016,11290,3368.56,14,,,,,,,,,,,,,,,1016.00,1635.00,2036.00,2519.00,1522.00,2560.00,2241.45,4177.12,4574.59,4913.33,5231.07,5418.44,6529.06,11290.00
商品房销售额:住宅:山西:运城市,百万人民币,4239.786154,7648142.747,2765.527571,0.889708154,0.583407806,0.652279967,890,10443.58,3286.71,13,,,,,,,,,,,,,,,890.00,1120.00,1690.00,2445.00,2989.00,2758.00,3286.71,5778.61,5546.07,5197.09,5291.09,7682.07,10443.58,
商品房销售额:住宅:山西:忻州市,百万人民币,1596.097143,875784.3631,935.8335125,0.58358658,-0.380761048,0.586326162,173,3297.37,1436.935,14,,,,,,,,,,,,,,,173.00,543.00,757.00,1224.00,987.00,1367.00,2082.88,1550.75,1559.42,1506.87,1358.00,3297.37,2889.07,3050.00
商品房销售额:住宅:山西:临汾市,百万人民币,3207.846429,5318077.97,2306.095828,0.557041495,-0.586546835,0.718892216,347,7930,2793.02,14,,,,,,,,,,,,,,,347.00,614.00,935.00,1466.00,1621.00,1431.00,2726.08,2859.96,4493.23,4864.51,4399.02,6014.37,5208.68,7930.00
商品房销售额:住宅:山西:吕梁市,百万人民币,1279.192308,585842.3491,765.4033898,0.028174767,-1.254092202,0.598348962,123,2405.57,1190.82,13,,,,,,,,,,,,,,,123.00,287.00,670.00,502.00,917.00,1315.00,1178.53,1190.82,2326.20,1763.49,1890.89,2405.57,2060.00,
商品房销售额:住宅:内蒙古:呼和浩特市,百万人民币,9476.103333,52693319.14,7259.016403,0.111790724,-1.713094256,0.766033901,653.07,20298.62,8945.9,18,,,,,,,,,,653.07,774.01,1270.74,1442.93,1984.00,3000.72,4217.72,5245.28,7738.21,10153.59,14387.50,20298.62,19879.06,15744.96,15814.99,15897.05,17915.09,14152.32,
商品房销售额:住宅:内蒙古:包头市,百万人民币,13645.26385,37265093.73,6104.514209,-0.526646284,-0.302407368,0.447372383,2812,23666.22,15258.17,13,,,,,,,,,,,,,,,2812.00,3875.00,6999.00,10086.00,16658.00,16241.00,23666.22,13485.41,16584.66,15258.17,14509.10,18467.92,18745.95,
商品房销售额:住宅:内蒙古:乌海市,百万人民币,2789.575714,1420694.573,1191.92893,0.037734821,-1.528188523,0.427279648,998,4478.16,2691,14,,,,,,,,,,,,,,,998.00,1518.00,2881.00,2501.00,1594.00,2248.00,3645.74,3849.15,4340.59,4181.39,4478.16,3385.31,1963.72,1470.00
商品房销售额:住宅:内蒙古:赤峰市,百万人民币,7744.741538,19262902.72,4388.952349,0.049525674,-0.813822781,0.566700945,1168,15787.05,8974,13,,,,,,,,,,,,,,,1168.00,2317.00,3115.00,3797.00,4486.00,8974.00,12467.48,9617.80,15787.05,8526.80,9361.62,10668.02,10395.87,
商品房销售额:住宅:内蒙古:通辽市,百万人民币,3264.376923,3783128.07,1945.026496,0.293039813,-0.170434361,0.595833919,333,7166.05,3367.12,13,,,,,,,,,,,,,,,333.00,686.00,2192.00,1775.00,1556.00,3196.00,4591.13,3367.12,4725.26,3637.33,3899.61,5312.40,7166.05,
商品房销售额:住宅:内蒙古:鄂尔多斯市,百万人民币,8654.590769,19704608.96,4438.987381,0.522567397,0.174630882,0.51290552,1555,17302,8038.9,13,,,,,,,,,,,,,,,1555.00,3804.00,8112.00,10578.00,12144.00,17302.00,15582.38,7319.21,8163.57,8038.90,7756.40,7959.14,4195.08,
商品房销售额:住宅:内蒙古:呼伦贝尔市,百万人民币,6513.463846,12754503.91,3571.344832,-0.226845992,-1.343139992,0.548301935,994,11551.85,7153.32,13,,,,,,,,,,,,,,,994.00,1408.00,2566.00,4390.00,4921.00,4725.00,8308.46,9556.93,9974.56,11551.85,10522.19,8603.72,7153.32,
商品房销售额:住宅:内蒙古:巴彦淖尔市,百万人民币,3118.824286,1381053.294,1175.182239,-0.764559964,-0.590744785,0.376802965,990,4550.41,3443.915,14,,,,,,,,,,,,,,,990.00,1111.00,1679.00,2315.00,3585.00,3725.00,3967.40,2813.35,4464.70,3302.83,3290.67,4550.41,4029.18,3840.00
商品房销售额:住宅:内蒙古:乌兰察布市,百万人民币,1541.286154,942625.9953,970.8892807,0.90524856,1.180750679,0.629921497,387,3814.11,1566.81,13,,,,,,,,,,,,,,,387.00,439.00,1748.00,1931.00,2138.00,2566.00,3814.11,1539.15,1037.02,1566.81,1626.06,469.96,774.61,
商品房销售额:住宅:辽宁:沈阳市,百万人民币,58519.17632,1742747862,41746.23171,0.193071165,-1.123593439,0.713376953,4380.43,131855.06,57458.82,19,,,,,,,,,,4706.55,4380.43,4788.70,8026.93,13945.00,28183.53,36636.67,48019.30,50407.46,57458.82,77454.78,109595.71,131855.06,122528.51,78733.08,60944.56,75173.59,94635.67,104390.00
商品房销售额:住宅:辽宁:大连市,百万人民币,46202.49421,796166874.3,28216.42916,-0.182570974,-1.60099001,0.610712249,5670.82,86766.51,51975.09,19,,,,,,,,,,5670.82,9475.13,10007.71,12057.60,13241.00,19777.45,24270.36,42466.73,43298.06,67513.24,76155.16,66082.00,73328.94,86766.51,59836.72,51975.09,59693.43,75961.44,80270.00
商品房销售额:住宅:辽宁:鞍山市,百万人民币,12132.72231,66963829.14,8183.142987,0.588159217,-0.151016621,0.674468827,1793,28917.4,11144,13,,,,,,,,,,,,,,,1793.00,2239.00,3028.00,6389.00,11144.00,18286.00,18740.00,22378.91,28917.40,8938.57,11914.43,10678.55,13278.53,
商品房销售额:住宅:辽宁:抚顺市,百万人民币,5794.838571,13998401.71,3741.4438,0.741933979,-0.441823912,0.645651083,1231,12990.38,5036.315,14,,,,,,,,,,,,,,,1231.00,1599.00,2195.00,2608.00,4266.00,6901.00,11475.00,10903.39,12990.38,7117.83,3850.48,5918.03,4902.63,5170.00
商品房销售额:住宅:辽宁:本溪市,百万人民币,5331.130769,17896008.97,4230.367474,1.067113534,-0.478794502,0.793521611,1357,12981.84,3156,13,,,,,,,,,,,,,,,1357.00,1750.00,2509.00,2487.00,3156.00,3748.00,8290.00,12887.19,12981.84,10250.77,4401.10,2736.42,2750.38,
商品房销售额:住宅:辽宁:丹东市,百万人民币,8459.300769,23367137.79,4833.956743,0.363679288,-0.427147544,0.571436916,1682,17488.58,8659,13,,,,,,,,,,,,,,,1682.00,1930.00,3954.00,4583.00,7033.00,8659.00,13023.00,15307.15,17488.58,10237.54,7738.78,8661.48,9673.38,
商品房销售额:住宅:辽宁:锦州市,百万人民币,7676.960769,27278251.3,5222.858537,0.556546823,-0.83257666,0.680328934,832,17462.15,5377,13,,,,,,,,,,,,,,,832.00,1658.00,3090.00,4770.00,5377.00,10511.00,11285.00,14305.63,17462.15,13619.51,6385.03,5245.25,5259.92,
商品房销售额:住宅:辽宁:营口市,百万人民币,9915.371429,49502530.04,7035.80344,0.784025116,-0.826405648,0.709585464,2156,21996.07,8201.545,14,,,,,,,,,,,,,,,2156.00,2381.00,3121.00,4605.00,8656.00,16434.00,19507.00,21996.07,21596.35,9547.43,6281.42,6130.84,7893.09,8510.00
商品房销售额:住宅:辽宁:阜新市,百万人民币,2666.520769,2680777.857,1637.308113,0.731677459,-0.731556691,0.614024137,804,5616.52,2406,13,,,,,,,,,,,,,,,1232.00,804.00,1080.00,1142.00,1570.00,2406.00,4037.00,4165.03,5616.52,5360.18,2754.17,2033.78,2464.09,
商品房销售额:住宅:辽宁:辽阳市,百万人民币,4263.319231,6575219.063,2564.218997,0.89152876,0.352373786,0.601460707,1107,9692.14,3828.31,13,,,,,,,,,,,,,,,1154.00,1107.00,2294.00,2760.00,3117.00,4985.00,5862.00,8226.66,9692.14,5539.91,3828.31,3009.72,3847.41,
商品房销售额:住宅:辽宁:盘锦市,百万人民币,7307.861538,22803517.74,4775.302895,-0.364263317,-1.611412872,0.653447369,590,12707.67,8124,13,,,,,,,,,,,,,,,590.00,780.00,889.00,2761.00,4705.00,8124.00,11151.00,12311.25,12528.99,12707.67,11303.06,7805.83,9345.40,
商品房销售额:住宅:辽宁:铁岭市,百万人民币,6947.479231,25303059.81,5030.214689,0.221641172,-1.820421147,0.724034505,866,13950.58,4914,13,,,,,,,,,,,,,,,866.00,1245.00,2123.00,2661.00,4914.00,11050.00,10438.00,13950.58,13870.48,12533.34,9639.45,3917.24,3109.14,
商品房销售额:住宅:辽宁:朝阳市,百万人民币,5709.835714,25846610.35,5083.956171,1.51093982,2.19147251,0.890385718,492,18758.76,3907.955,14,,,,,,,,,,,,,,,492.00,1288.00,1718.00,1814.00,3284.00,5651.00,7325.00,11818.79,18758.76,11068.62,5724.70,3178.92,3455.91,4360.00
商品房销售额:住宅:辽宁:葫芦岛市,百万人民币,5459.343846,11602891.38,3406.301717,0.693657208,0.487225486,0.623939765,714,12987.81,4619.45,13,,,,,,,,,,,,,,,714.00,1410.00,2453.00,3104.00,6153.00,8400.00,4380.00,7686.24,12987.81,6395.94,4022.06,4619.45,8645.97,
商品房销售额:住宅:吉林:长春市,百万人民币,25523.02889,429890740.2,20733.8067,0.279057231,-1.399081138,0.812356824,1638.83,64826.1,21755.935,18,,,,,,,,,,1638.83,2427.81,3551.68,3299.74,3707.00,7081.91,8908.93,14749.37,17275.71,26236.16,40072.10,46950.45,40879.00,43680.00,38784.48,45128.52,50216.73,64826.10,
商品房销售额:住宅:吉林:吉林市,百万人民币,10614.73615,32671046.87,5715.859242,0.340717843,-0.630168741,0.538483403,2804,21063,10520.48,13,,,,,,,,,,,,,,,2804.00,3233.00,4096.00,7531.00,10531.00,13852.00,18456.00,21063.00,16350.00,8123.18,9252.64,10520.48,12179.27,
商品房销售额:住宅:吉林:四平市,百万人民币,2359.092308,2921473.965,1709.231981,0.160900327,-1.765986027,0.724529505,282,4750,2258,13,,,,,,,,,,,,,,,329.00,282.00,657.00,1164.00,2258.00,3307.00,4275.00,4367.00,4750.00,4353.68,1377.24,2856.36,691.92,
商品房销售额:住宅:吉林:辽源市,百万人民币,975.5246154,145521.9964,381.4734544,0.041893188,-0.164689388,0.391044417,321,1600,1001,13,,,,,,,,,,,,,,,453.00,321.00,695.00,1001.00,1041.00,1596.00,958.00,1148.00,1600.00,661.12,1051.04,1201.81,954.85,
商品房销售额:住宅:吉林:通化市,百万人民币,3389.819231,3040644.228,1743.744313,-0.317406675,-1.356047008,0.514406284,594,5922.17,3830.94,13,,,,,,,,,,,,,,,594.00,1155.00,1324.00,1861.00,2269.00,3744.00,3868.00,5002.00,4760.00,4907.33,3830.94,5922.17,4830.21,
商品房销售额:住宅:吉林:白山市,百万人民币,1051.999231,425182.0379,652.0598423,0.600917586,-0.67835973,0.619829201,290,2225,977,13,,,,,,,,,,,,,,,290.00,292.00,453.00,822.00,1140.00,2064.00,2225.00,977.00,1810.00,784.42,401.75,1187.42,1229.40,
商品房销售额:住宅:吉林:松原市,百万人民币,1846.977692,1718279.758,1310.831705,0.531493324,-0.71916622,0.709717129,96,4351,1410,13,,,,,,,,,,,,,,,96.00,297.00,725.00,1410.00,1164.00,3345.00,4351.00,2047.00,3180.00,3205.25,1871.20,1397.56,921.70,
商品房销售额:住宅:吉林:白城市,百万人民币,400.4930769,81152.84089,284.8733769,0.544701237,-0.744136627,0.71130662,30,864.61,341,13,,,,,,,,,,,,,,,30.00,34.00,192.00,448.00,337.00,448.00,448.00,341.00,800.00,211.40,208.34,864.61,844.06,
商品房销售额:住宅:黑龙江:哈尔滨市,百万人民币,34471.89053,724898596.4,26923.94095,0.519256075,-1.026249493,0.781040452,4722.5,84328.25,26031.65,19,,,,,,,,,,4722.50,5492.71,6191.72,7106.81,7759.00,11361.88,14397.10,19652.05,17737.45,26031.65,41907.19,47284.43,51084.36,71022.05,51881.70,48407.13,56787.94,84328.25,81810.00
商品房销售额:住宅:黑龙江:齐齐哈尔市,百万人民币,5140.022857,5483837.685,2341.759528,-0.291084844,-1.17736921,0.455593213,1758,8778.51,5772.48,14,,,,,,,,,,,,,,,1758.00,1798.00,2241.00,2279.00,3902.00,5398.00,6403.73,6322.17,8778.51,6952.06,6623.50,7959.39,5654.96,5890.00
商品房销售额:住宅:黑龙江:鸡西市,百万人民币,1311.551538,800816.1001,894.8832885,0.963786987,0.766763198,0.682308901,301,3370.64,1259,13,,,,,,,,,,,,,,,301.00,400.00,577.00,439.00,875.00,1259.00,2273.99,3370.64,1953.58,1879.25,783.81,1337.18,1600.72,
商品房销售额:住宅:黑龙江:鹤岗市,百万人民币,684.27,141351.6896,375.967671,1.377075814,1.217122072,0.549443452,273.55,1461,577.96,13,,,,,,,,,,,,,,,470.00,642.00,677.00,508.00,845.00,1461.00,1439.23,741.97,546.03,384.23,577.96,273.55,329.54,
