"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1952,1957,1962,1965,1970,1975,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
平均工资:在岗职工:河北:廊坊市,人民币,28579.905,531865261.2,23062.20417,0.816585934,-0.540631515,0.806937748,4866,77665,19737.085,22,,,,,,,,,,,,,,,,,,,,,,,,,,4866.00,5375.00,6459.00,7349.00,7815.00,8896.82,10293.38,11327.35,12813.54,14913.77,17445.88,22028.29,28636.04,31474.80,37225.91,39979.13,44886.00,48994.00,55536.00,63426.00,71352.00,77665.00
平均工资:在岗职工:河北:衡水市,人民币,21855.44095,277330784.7,16653.25148,0.809993992,-0.508769898,0.761972797,4330,58014,15878.15,21,,,,,,,,,,,,,,,,,,,,,,,,,,4330.00,4706.00,5174.00,5958.00,6677.00,,8272.21,9428.80,10757.61,12038.19,13362.81,15878.15,19379.62,22760.30,25696.97,28999.60,32800.00,36498.00,41011.00,47088.00,50134.00,58014.00
平均工资:在岗职工:山西:太原市,人民币,29409.99136,468421176.9,21643.03992,0.585505621,-1.038757427,0.735907728,5964,72114,23055.225,22,,,,,,,,,,,,,,,,,,,,,,,,,,5964.00,6479.00,6837.00,7378.00,8394.00,9600.84,10994.93,12678.90,15399.73,18546.90,21422.46,24687.99,29588.57,33140.33,38838.91,44868.25,46831.00,51035.00,56885.00,60515.00,64820.00,72114.00
平均工资:在岗职工:山西:大同市,人民币,26601.505,408765158.6,20217.9415,0.495084261,-1.42411283,0.760029987,5598,59415,20883.915,22,,,,,,,,,,,,,,,,,,,,,,,,,,5904.00,5598.00,5753.00,5742.00,6658.00,7543.60,8965.00,10303.90,12590.40,15724.22,19318.11,22449.72,25382.96,28172.02,34431.23,43869.95,47646.00,50847.00,55487.00,57982.00,55450.00,59415.00
平均工资:在岗职工:山西:阳泉市,人民币,26705.58,360493403.3,18986.66383,0.199480947,-1.683345603,0.710962422,4617,56255,23364.945,22,,,,,,,,,,,,,,,,,,,,,,,,,,5487.00,5724.00,4617.00,4786.00,5823.00,7440.23,8826.61,10920.92,14170.06,18319.06,21543.53,25186.36,30458.07,34730.87,42408.42,47345.63,53972.00,47992.00,46728.00,46594.00,48195.00,56255.00
平均工资:在岗职工:山西:长治市,人民币,25068.19909,320781564.1,17910.37588,0.424738015,-1.359400173,0.714465998,4738,57750,20656.935,22,,,,,,,,,,,,,,,,,,,,,,,,,,4738.00,5037.00,5778.00,6286.00,6999.00,8213.44,9347.40,11008.64,13630.25,16221.68,19399.68,21914.19,26523.88,28775.33,33413.32,39294.57,44304.00,44600.00,48064.00,49463.00,50739.00,57750.00
平均工资:在岗职工:山西:晋城市,人民币,28567.275,433416157.9,20818.64928,0.301693126,-1.609491319,0.728758668,5036,62008,23836.045,22,,,,,,,,,,,,,,,,,,,,,,,,,,5036.00,5345.00,5770.00,5767.00,5767.00,8788.87,10322.93,11736.69,14471.83,18739.20,21270.63,26401.46,30996.20,34197.11,40031.65,48705.48,54163.00,54500.00,55262.00,54218.00,54982.00,62008.00
平均工资:在岗职工:山西:朔州市,人民币,25179.09818,356530184.7,18882.0069,0.476482621,-1.328425578,0.74990799,4508,59831,20955.485,22,,,,,,,,,,,,,,,,,,,,,,,,,,4508.00,4984.00,5540.00,6076.00,6909.00,7834.86,7955.62,9558.86,11603.60,14770.53,18453.75,23457.22,27043.65,27931.92,32532.88,38683.27,44777.00,47181.00,50919.00,52012.00,51377.00,59831.00
平均工资:在岗职工:山西:晋中市,人民币,27577.72167,333095317.2,18250.89908,0.379011395,-1.395843653,0.661798654,5443,60094,23003.795,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5443.00,6686.14,7826.28,9387.13,11104.99,13346.19,14529.97,17444.70,22300.97,23706.62,29027.46,37720.54,42099.00,45458.00,47234.00,50432.00,52558.00,60094.00
平均工资:在岗职工:山西:运城市,人民币,24369.57111,238109799.8,15430.80684,0.674475272,-0.816738293,0.633199771,6732,54570,19951.17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6732.00,7780.65,9047.48,9819.18,11336.74,12306.87,13911.40,16238.26,19770.76,20131.58,23692.60,30490.76,31912.00,34964.00,39815.00,46588.00,49545.00,54570.00
