"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
国内生产总值:河北:沧州市,十亿人民币,153.2266319,16178.18599,127.1934982,0.528792717,-1.331895057,0.830100464,1.941,367.64,113.222,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,,,16.98,25.10,31.62,36.95,40.30,42.25,46.13,48.72,53.13,62.89,77.41,105.55,120.89,138.67,162.02,180.12,220.31,258.52,281.24,301.30,313.34,332.06,354.47,364.34,367.64
国内生产总值:河北:廊坊市,十亿人民币,109.3858675,8884.604852,94.25818189,0.882646127,-0.52228797,0.861703472,6.392,310.82,66.2775,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39,,,15.08,20.17,24.56,28.21,31.02,33.25,36.88,41.34,46.00,52.85,60.48,60.96,71.60,88.39,106.15,114.75,135.11,161.14,179.43,194.31,217.60,247.39,272.05,288.10,310.82
国内生产总值:河北:衡水市,十亿人民币,69.61384654,2058.16714,45.36702701,0.572058332,-0.795064253,0.65169545,0.752,155.87,53.60923728,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,20.72,24.24,26.62,27.92,29.86,,34.89,39.68,47.38,51.09,52.42,53.61,60.38,65.21,78.18,92.91,101.10,107.02,114.91,122.00,142.02,152.32,155.87
国内生产总值:山西:太原市,十亿人民币,132.1320515,12795.65374,113.1178754,0.759005764,-0.613946325,0.85609717,9.659,388.45,95.34051,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66,,,19.06,24.01,29.18,31.04,32.31,33.27,34.75,38.63,43.29,51.57,64.05,89.32,101.36,125.49,146.81,154.52,177.81,208.01,231.14,241.29,253.11,273.53,295.56,338.22,388.45
国内生产总值:山西:大同市,十亿人民币,51.49021654,1506.438047,38.8128593,0.535328855,-1.241830308,0.753790951,4.838,127.18,38.8104,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84,,,10.66,12.31,14.55,15.57,17.09,15.70,17.02,19.02,21.84,25.15,30.47,37.03,40.60,49.08,56.96,59.63,69.59,84.36,93.14,96.74,100.17,105.34,102.58,112.13,127.18
国内生产总值:山西:阳泉市,十亿人民币,30.20361852,575.1922518,23.98316601,0.521783107,-1.404122444,0.794049428,2.648,73.36944,21.88449,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,,,4.88,6.18,7.87,8.81,9.39,9.09,9.47,10.04,10.92,12.59,15.15,20.03,23.74,27.32,31.07,34.87,42.94,52.81,60.20,61.18,61.66,59.57,62.29,67.20,73.37
国内生产总值:山西:长治市,十亿人民币,63.49974846,2883.768514,53.70073103,0.533963863,-1.358374491,0.845684154,4.35,164.56,42.957295,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,,,7.82,9.76,12.37,13.84,15.16,15.35,17.02,18.46,20.60,25.57,31.85,39.87,46.04,55.06,68.21,77.53,92.02,121.86,132.86,133.37,133.11,119.53,127.05,147.75,164.56
国内生产总值:山西:晋城市,十亿人民币,50.6327358,1792.474429,42.33762428,0.582928527,-1.250281073,0.836170979,2.769,135.19,34.0204,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,,7.53,9.45,11.55,12.71,14.00,13.36,14.45,15.80,17.20,19.85,24.45,31.60,36.44,42.00,52.75,60.60,73.05,89.50,101.28,103.19,103.58,104.02,104.93,115.15,135.19
国内生产总值:山西:朔州市,十亿人民币,42.70310808,1616.938484,40.21117362,0.539279233,-1.549370929,0.941645127,1.288,106.56,20.78884,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,4.72,5.31,6.46,7.50,8.30,7.69,8.35,8.54,10.04,11.86,14.52,18.17,23.41,33.22,42.04,56.13,67.01,85.52,100.71,102.64,100.34,90.11,91.81,98.02,106.56
国内生产总值:山西:晋中市,十亿人民币,67.79097316,1756.549897,41.91121445,0.196085429,-1.276461944,0.618241817,13.83729,144.76,63.68106,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.84,14.90,17.01,20.34,25.39,33.10,38.57,47.02,56.78,63.68,76.38,89.02,98.66,102.22,104.13,104.61,109.11,128.49,144.76
