City,2010,2011,2012,2013,2014,2015
北京,,0.13774934136243888,0.02497519020840233,0.03453283847022748,0.217750740914054,0.18739592673241967
湖州,,0.11283497884344151,0.07477820025348536,0.030070754716981174,0.005151688609044136,0.021640091116173155
青岛,,0.014397905759162333,0.0,0.002580645161290418,0.007722007722007707,0.0
济南,,0.02126851500189897,0.010412792859799236,0.015090172984909778,0.021029731689630182,0.015625
重庆,,0.008451957295373624,0.005734450816056391,-0.001315789473684159,-0.003513394817742599,0.009255178492728167
烟台,,-0.003501400560224077,0.0007027406886859211,0.030898876404494402,0.023841961852861138,0.007984031936127733
南昌,,0.028823529411764692,0.021726700971983925,0.020705092333519914,0.018092105263157965,0.01830910070005376
南充,,0.11228287841191076,0.05633017289458997,0.06758183738120382,0.02571711177052416,0.017839922854387735
宜宾,,-0.004716981132075526,0.0011848341232227888,0.0035502958579882726,0.0,0.0
合肥,,0.0,0.0,0.0,0.0,0.0
宜昌,,0.017793594306049876,0.0174825174825175,0.02405498281786933,0.012751677852349097,0.01722995361166335
保定,,0.013861386138613874,0.0380859375,0.0235183443085607,0.04365808823529416,0.0748568912373404
大同,,-0.014312977099236623,0.0009680542110357404,0.0,0.0,0.0
新乡,,0.12222222222222223,0.05304101838755315,0.05372733378106109,0.0497131931166348,0.04310868245294475
沈阳,,0.054684188215345486,0.009646302250803762,0.027070063694267565,0.037596899224806135,0.01568920433320886
天津,,0.02791792801883619,0.0163612565445026,0.023180940115904658,0.025173064820641855,0.022406384284837433
中山,,0.06255924170616112,0.038804638715432604,0.07256333190210396,0.062049639711769355,0.0316622691292876
泰安,,0.024529844644317178,0.011173184357541999,0.011049723756906049,-0.01795472287275568,0.0
宁波,,0.14736519607843146,0.07690253671562086,0.09124721051326556,0.042035900931606474,0.2464020933275186
岳阳,,0.041389504804139055,-0.02058197303051812,0.034057971014492816,0.02592852137351076,0.031420765027322384
唐山,,0.062366737739872,0.025589563472152577,0.03180039138943247,0.01327643432906589,0.004211511464670137
衡阳,,0.0290929834569309,0.03159645232815955,0.03868887694787748,0.04138644593895502,0.04123199205166417
潍坊,,0.048855905998763216,0.008254716981132004,0.012865497076023358,0.033487297921477976,0.013407821229050265
淮北,,0.060436137071651075,0.048766157461809456,0.005042016806722671,0.004180602006689016,0.06661115736885925
济宁,,0.0074428495481126955,0.0005277044854881119,0.00421940928270037,0.0031512605042016695,-0.0020942408376963817
广州,,0.06198547215496375,0.03100775193798455,0.07076514816452906,0.1805039239983477,0.10461861441567533
珠海,,0.02089136490250687,0.032742155525238736,0.029502421840598814,0.02480752780153983,0.026293823038397335
嘉兴,,0.0115254237288136,0.046916890080428875,0.13636363636363646,0.13014084507042245,0.04436689930209381
九江,,0.009615384615384581,0.013852813852813783,0.009393680614859123,0.013536379018612488,0.00918196994991649
淄博,,0.04884157795867261,0.016716417910447756,0.0005871990604815469,0.0005868544600939885,0.006451612903225712
佛山,,0.05080935251798557,0.02267864783910989,0.06861924686192467,0.0927956147220046,0.07918308849874589
柳州,,-0.022036926742108442,-0.03714981729598055,0.0328905755850728,0.03429271279853041,0.030195381882770933
西宁,,0.01081730769230771,0.13317479191438752,0.009443861490031402,0.006237006237006293,0.012396694214876103
太原,,0.05740818910932877,0.04471057884231544,0.11272449369507065,0.16243131868131866,0.06410635155096012
廊坊,,0.01187335092348274,0.0052151238591917615,0.08625162127107644,0.022089552238806043,0.04789719626168232
株洲,,0.02258852258852251,-0.012537313432835817,0.007859733978234473,0.03539292141571693,0.037079953650057895
