City,2010,2011,2012,2013,2014,2015
北京,,-0.13853036898925408,0.4332907230320755,-0.08069300256168266,-0.16308572266627552,-0.01226671339700347
湖州,,-0.1617319325055715,-0.12875047474363843,0.0937227550130777,0.03626943005181338,0.33115384615384613
青岛,,-0.24162037377600387,-0.08178390042940908,0.24700296735905036,-0.026960784313725505,0.21199285906434184
济南,,0.12461319606376575,0.04007541152186711,0.25882142217445825,0.029393853158793393,0.2764818413784904
重庆,,0.019344195838158162,0.010258835898001362,0.0618938347571687,0.014793800042255612,0.012213812934027679
烟台,,0.13849855630413854,-0.1854763716290473,0.02885313959522584,-0.30115202259659035,-0.03084438080280849
南昌,,-0.10890819984385924,0.36540194902445555,0.2629452760051936,-0.0005280147046109462,0.08584971442867095
南充,,0.18324308062575212,-0.010805725763392782,0.16676091091348377,-0.061726219324139686,-0.290946656649136
宜宾,,-0.013595041322314039,0.14838088056637777,0.11188122423667601,-0.35180446194225723,0.518550387204535
合肥,,0.22519983099015484,0.05567959032308356,0.2992555440399669,-0.08643500136392568,-0.030400048257635426
宜昌,,0.49230414746543794,-0.13287836210357296,0.4477920227920229,0.08053328085797218,0.08750682935712972
保定,,0.17812599258867134,-0.16761777234574116,-0.1426570217819645,0.47077638940047906,0.15040680861265554
大同,,0.1712806539509537,0.15480621597729494,-0.010435027850243195,-0.2748943966614077,0.6690249585895169
新乡,,0.25213549337260677,-0.0072453540343448974,0.23041562011279093,0.06478450102068312,-0.1338578404774824
沈阳,,0.2876390116486156,0.1277148439300908,-0.0836196969731382,-0.33458859802614305,-0.29238792861341145
天津,,0.009685725882350393,0.1066771130034927,0.1382446738123595,-0.13759058513331357,0.12438327357040779
中山,,-0.049281239696669865,0.029944200337780336,0.17572120038722172,-0.0406630495640431,0.37587319688574694
泰安,,0.02516202821197111,0.07251766455931574,0.26005547850208055,-0.43620253164556955,0.09563948380547038
宁波,,-0.3115847411663085,0.3384884738838634,0.2688031393067365,0.02268041237113394,0.422883064516129
岳阳,,0.42126121870571565,0.21512159292211885,-0.23380843364596415,0.051826863007585766,0.3298500218908986
