"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
存款:内蒙古:呼和浩特市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,47800.90,63561.99,80389.94,97528.01,131775.68,164983.03,212571.39,267892.00,312446.08,380576.00,428905.00,472375.18,,,,
存款:内蒙古:包头市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,43083.00,52831.94,67892.13,85569.75,102101.39,120197.65,149620.84,170561.50,199296.80,207980.00,232659.00,249359.56,,,,
存款:内蒙古:乌海市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,7506.61,9484.49,12201.22,13565.00,16194.00,24853.00,33123.86,41197.97,49413.33,55995.00,58733.00,60043.30,,,,
存款:内蒙古:赤峰市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,21551.07,25427.29,31986.86,38634.23,49535.54,58411.00,72041.97,87941.97,103700.02,115862.00,126764.00,136647.21,,,,
存款:内蒙古:通辽市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,12900.00,14854.01,18150.14,20372.61,23116.27,28924.59,38075.75,47937.72,56400.42,62782.00,69935.00,71111.56,81419.00,,,
存款:内蒙古:鄂尔多斯市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,14003.59,18836.83,30592.24,39188.87,48216.28,78667.29,139420.00,176090.00,201260.04,219492.00,232569.00,249430.00,270090.00,311820.00,337430.00,
存款:内蒙古:呼伦贝尔市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,22944.07,26053.00,32613.00,38318.00,42589.00,51517.00,65024.19,76231.32,87528.62,99583.00,111107.00,115653.50,126885.00,,,
存款:内蒙古:巴彦淖尔市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,12291.38,14520.70,17723.49,21741.30,25045.00,31510.15,39436.00,45928.00,52085.80,60550.00,58918.00,74582.42,81480.00,,,
存款:内蒙古:乌兰察布市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,11132.07,13128.36,15421.42,18527.17,21569.72,27461.90,35090.33,42630.34,50139.79,59762.00,65467.00,72021.00,87190.00,,,
存款:辽宁:沈阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,269174.21,320642.75,369661.53,410089.33,454971.17,527591.89,665744.55,809198.86,904067.79,1044155.03,1157658.16,1245800.00,1403540.00,1444630.00,1575290.00,1774620.00
