"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
房地产开发投资:住宅:山西:大同市,百万人民币,5113.383636,32324512.06,5685.464981,1.050998183,0.116647222,1.111879215,153.88,19276.96,1541.19,22,,,,,,,153.88,421.95,924.85,1120.10,959.80,824.29,482.41,523.35,606.05,1273.14,1544.14,2013.12,1538.24,7461.57,6969.90,10335.24,11506.57,19276.96,15160.49,10239.54,11243.48,7915.37,
房地产开发投资:住宅:山西:阳泉市,百万人民币,2124.664348,3113746.923,1764.581232,0.580303192,-1.14295585,0.830522352,249.63,5347.13,1729.22,23,,,,,,,249.63,419.94,566.17,545.39,514.75,287.94,318.30,479.99,709.60,941.68,1530.95,1729.22,2047.73,2539.47,3482.88,4625.49,4495.36,5347.13,4339.68,3747.10,5183.05,2325.83,2440.00
房地产开发投资:住宅:山西:长治市,百万人民币,2607.420435,6374419.957,2524.761366,0.703942355,-1.203145018,0.968298527,192.81,7410,1253.02,23,,,,,,,192.81,469.31,624.36,475.49,457.44,514.08,218.99,418.06,546.91,861.38,1143.16,1253.02,1529.84,2216.50,2598.93,4246.64,5989.57,6765.27,5816.78,6200.06,4892.27,5129.80,7410.00
房地产开发投资:住宅:山西:晋城市,百万人民币,2064.78913,4845416.018,2201.230569,0.738568249,-1.041519409,1.066080084,20.49,6027.71,693.11,23,,,,,,,148.25,105.77,40.29,20.49,131.40,107.10,160.73,300.96,693.11,622.53,595.45,655.33,1092.39,2210.29,2700.43,3002.84,3486.06,3900.98,4408.04,6027.71,5891.52,5578.48,5610.00
房地产开发投资:住宅:山西:朔州市,百万人民币,1514.91,3800279.262,1949.430497,1.706894419,2.027484963,1.286829249,50.28,6724.74,839.64,23,,,,,,,95.43,184.56,291.12,50.28,74.05,129.37,58.36,139.19,227.91,434.11,603.57,839.64,978.77,1274.67,1037.41,1549.59,3032.42,6724.74,5561.12,5605.94,2055.92,1584.76,2310.00
房地产开发投资:住宅:山西:晋中市,百万人民币,3850.548421,13374373.87,3657.099106,1.026424836,-0.124729679,0.949760581,251.2,11530,2018.77,19,,,,,,,,,,,679.27,733.51,251.20,387.32,861.97,1339.83,1707.86,2013.01,2018.77,1838.68,2318.37,2585.64,5542.22,5390.23,7435.06,7593.98,11378.71,7554.79,11530.00
房地产开发投资:住宅:山西:运城市,百万人民币,3591.466667,10968756.95,3311.911374,0.6787623,-1.137692414,0.922161245,147.86,9333.09,2281.655,18,,,,,,,,,,,291.54,147.86,288.48,435.24,560.00,1132.96,1556.11,2077.98,2293.88,2945.91,2269.43,3891.72,5225.81,7131.21,8671.90,9333.09,8848.76,7544.52,
房地产开发投资:住宅:山西:忻州市,百万人民币,1614.785789,1702009.82,1304.610984,0.829271019,0.623663324,0.807915819,25.5,4894.02,1444.05,19,,,,,,,,,,,1016.38,1223.97,64.74,47.34,25.50,151.10,610.89,802.11,1094.87,1444.05,1599.08,1946.23,1878.80,3133.51,4894.02,3309.62,2859.64,2459.08,2120.00
房地产开发投资:住宅:山西:临汾市,百万人民币,3256.814211,8822485.211,2970.266859,0.626142775,-1.166275659,0.912016058,264.22,8361.14,2554.78,19,,,,,,,,,,,465.10,829.72,264.22,411.61,287.01,489.01,691.95,1036.31,1778.11,3387.18,2554.78,3017.63,4187.18,4842.84,6492.71,8361.14,6820.08,7782.89,8180.00
房地产开发投资:住宅:山西:吕梁市,百万人民币,2002.85125,2842992.682,1686.117636,0.772190218,-0.265718425,0.841858643,90.51,5380.21,1693.795,16,,,,,,,,,,,,,,93.10,90.51,215.21,493.23,728.17,1039.04,1094.00,1695.77,1691.82,2198.33,2374.93,3022.29,5110.79,5380.21,3238.22,3580.00
