"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1952,1957,1962,1965,1970,1975,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
工资总额:在岗职工:河北:廊坊市,十亿人民币,10.39728882,111.0586673,10.53843761,0.976787961,-0.546343493,1.013575538,1.38035,31.65954,4.877105,22,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,1.48,1.55,1.70,1.82,2.07,2.36,2.60,3.00,3.54,4.21,5.54,7.45,8.92,11.50,14.90,18.44,21.85,24.29,28.11,31.66,30.36
工资总额:在岗职工:河北:衡水市,十亿人民币,5.195714727,19.00825072,4.359845263,0.876999295,-0.805249784,0.839123295,1.09204,13.49242,3.088765,22,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,1.20,1.26,1.41,1.55,1.69,1.88,2.08,2.33,2.57,2.82,3.36,4.07,4.76,5.43,7.31,8.92,10.22,11.41,13.01,13.49,12.44
工资总额:在岗职工:山西:太原市,十亿人民币,26.66805305,490.4348523,22.14576375,0.897657507,-0.602205106,0.830422968,6.37304,72.697893,17.72894,22,,,,,,,,,,,,,,,,,,,,,,,,,,6.80,6.99,6.37,6.54,7.24,7.99,8.67,9.45,11.36,13.78,16.01,19.45,23.20,26.08,31.48,33.49,43.98,48.09,60.14,62.30,64.60,72.70
工资总额:在岗职工:山西:大同市,十亿人民币,11.38499309,57.69572228,7.595770026,0.449166968,-1.510061625,0.667173881,3.14625,22.556527,9.51957,22,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,3.84,3.37,3.15,3.51,4.00,4.50,5.01,6.39,7.17,8.91,10.13,11.72,11.55,13.91,17.94,20.51,22.44,22.08,22.50,21.20,22.56
工资总额:在岗职工:山西:阳泉市,十亿人民币,6.572030045,24.9604283,4.996041263,0.365264969,-1.620674162,0.760197569,1.16589,14.315218,5.176625,22,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,1.66,1.21,1.17,1.35,1.61,1.84,2.23,2.97,3.96,4.74,5.61,6.79,7.57,9.63,12.11,14.32,13.34,13.03,12.06,11.94,13.83
工资总额:在岗职工:山西:长治市,十亿人民币,9.4730305,59.35088757,7.703952724,0.605275695,-1.235877513,0.813251126,1.81482,23.638799,6.822445,22,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,1.88,1.85,1.96,2.09,2.47,2.76,3.26,4.14,4.99,6.08,7.57,9.05,9.94,11.94,14.61,16.82,19.63,20.74,20.59,20.58,23.64
工资总额:在岗职工:山西:晋城市,十亿人民币,8.444078273,55.9761553,7.481721413,0.626968737,-1.256329049,0.886031746,1.12213,20.996779,5.697215,22,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,1.23,1.22,1.20,1.15,1.76,2.08,2.45,3.14,4.20,5.05,6.35,7.67,8.86,10.51,13.30,15.09,19.87,20.19,19.34,18.99,21.00
工资总额:在岗职工:山西:朔州市,十亿人民币,4.328372545,14.27957917,3.778833044,0.591641434,-1.415137002,0.873037846,0.7173,10.50585,2.740945,22,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,0.78,0.75,0.79,0.87,0.94,1.03,1.17,1.48,1.91,2.36,3.12,3.72,4.60,5.52,7.29,8.76,9.37,10.02,10.07,9.43,10.51
工资总额:在岗职工:山西:晋中市,十亿人民币,8.896453333,37.45315589,6.119898356,0.327952556,-1.534286489,0.687903159,1.63875,19.201186,7.5849,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,1.97,2.25,2.63,3.18,3.91,4.24,5.43,7.11,8.06,9.67,12.09,13.82,15.72,15.75,16.55,16.92,19.20
工资总额:在岗职工:山西:运城市,十亿人民币,7.860374833,27.02404206,5.198465356,0.711016844,-0.983807357,0.661350822,2.13928,17.350043,6.16472,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,2.65,2.80,3.13,3.49,3.83,4.33,4.92,5.91,6.42,7.30,8.69,9.79,12.54,14.13,15.80,16.25,17.35
