"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
常住人口数:贵州:贵阳市,千人,4394.088577,96502.88041,310.64912749999996,-0.135147009,-0.97662756,0.070697056,3880.9,4881.9,4420.85,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3880.9,3966.62,4052.65,4134.42,4231.25,4329.3,4390.0,4451.7,4521.9,4556.0,4621.8,4696.8,4802.0,4881.9
常住人口数:贵州:六盘水市,千人,2939.666667,4528.384706,67.29327385,0.34965055899999997,-1.059962327,0.022891464,2850.0,3060.9,2930.7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2911.1,2944.6,2975.0,3007.1,3027.0,3045.2,3060.9,2981.7,2983.4,2854.3,2850.0,2859.0,2874.5,2882.0,2889.9,2906.9,2924.1,2937.3
常住人口数:贵州:遵义市,千人,6756.105881999999,409955.0531,640.2773251,0.16387269699999998,-2.154373297,0.09477017300000001,6100.0,7557.5,6270.7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7220.8,7282.5,7338.0,7396.8,,7458.4,7496.8,7516.2,7557.5,6132.9,6100.0,6117.0,6142.5,6154.9,6192.1,6228.4,6248.3,6270.7
常住人口数:贵州:安顺市,千人,2459.4833329999997,24156.32147,155.42304030000003,0.090919013,-1.9850805,0.06319337,2280.0,2673.6,2452.4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2551.7,2576.9,2600.0,2624.3,2642.5,2659.9,2673.6,2564.1,2565.7,2300.4,2280.0,2283.4,2300.5,2308.1,2313.5,2328.6,2344.4,2353.1
常住人口数:云南:昆明市,千人,6498.976922999999,55047.43692000001,234.62190209999997,-0.111890935,-1.369468891,0.036101359,6152.0,6850.0,6533.0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6152.0,6193.3,6239.0,6280.0,6360.0,6486.4,6533.0,6579.0,6626.0,6677.0,6728.0,6783.0,6850.0
常住人口数:云南:曲靖市,千人,5893.838462,22733.10256,150.7750064,-0.06473946,-1.199149758,0.025581802,5657.6,6122.0,5898.9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657.6,5700.6,5729.2,5782.0,5818.0,5861.4,5898.9,5936.0,5974.0,6009.0,6047.2,6084.0,6122.0,
常住人口数:云南:玉溪市,千人,2316.628571,2871.7468129999997,53.58868176,-0.451866659,-0.732352222,0.023132185,2212.8,2386.0,2324.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2212.8,2246.0,2264.0,2276.0,2287.0,2306.0,2318.0,2330.0,2340.0,2351.0,2360.0,2375.0,2381.0,2386.0
常住人口数:云南:保山市,千人,2535.4,3084.592,55.53910334,-0.481463911,-0.245330117,0.02190546,2430.0,2614.0,2540.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430.0,2468.0,,2504.0,2509.2,2525.2,2540.0,2554.0,2567.0,2581.0,2597.0,2614.0,
常住人口数:云南:昭通市,千人,5312.7762,24505.714630000002,156.5430121,0.070407893,-0.5692290839999999,0.029465388,5072.7429999999995,5591.0,5296.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5072.74,,5075.0,5118.0,5252.2,5295.0,5343.0,5219.2,5258.5,5296.0,5342.0,5387.0,5430.0,5475.0,5537.0,5591.0
常住人口数:云南:丽江市,千人,1251.841667,830.3735606,28.81620309,-0.12498288199999999,-1.791825548,0.023019047999999997,1213.0,1290.0,1258.05,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213.0,1216.0,1221.0,1226.0,1231.0,1254.1,1262.0,1269.0,1275.0,1280.0,1285.0,1290.0,
常住人口数:云南:普洱市,千人,2581.026667,617.5878094999999,24.85131404,-0.082310205,0.382233449,0.009628461,2530.3,2627.0,2581.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2530.3,2549.0,2565.6,2573.0,2576.3,2581.0,2587.0,2590.3,2560.9,2575.0,2584.0,2594.0,2605.0,2617.0,2627.0,
常住人口数:云南:临沧市,千人,2430.9375,5910.471833,76.87959309,-0.205117663,-1.243977708,0.031625491,2298.0,2536.0,2439.9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2298.0,2318.0,2361.2,2366.0,2368.0,2382.0,2396.0,2432.1,2447.7,2463.0,2479.0,2493.0,2509.0,2520.0,2526.0,2536.0
常住人口数:陕西:西安市,千人,8666.307571,278271.3941,527.5143544,1.7498417019999999,2.810079047,0.060869563,8069.0,10003.7,8533.15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8069.0,8230.0,8305.4,8375.2,8434.6,8474.11,8513.4,8552.9,8588.1,8627.5,8705.6,8832.1,9616.7,10003.7
常住人口数:陕西:铜川市,千人,836.9568462,123.36510929999999,11.10698471,-2.459196743,7.3842057610000005,0.013270678000000001,803.7,847.2,839.3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831.9,835.6,839.3,841.2,835.04,838.2,840.8,842.8,845.1,846.2,847.2,833.4,803.7
常住人口数:陕西:宝鸡市,千人,3747.7829409999995,366.32469710000004,19.13961068,0.157087149,-1.141770638,0.005106915,3719.31,3781.0,3744.6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3721.4,3743.0,3730.0,3737.0,3758.7,3757.0,3762.5,3731.4,3719.31,3727.2,3736.7,3744.6,3753.2,3763.3,3775.0,3781.0,3771.0
常住人口数:陕西:咸阳市,千人,4879.144071,47476.06687,217.89003390000002,-2.182837787,3.465865392,0.04465743,4366.1,5010.3,4964.6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4980.7,4974.0,4996.7,5006.9,5010.3,4898.42,4912.3,4928.6,4942.2,4956.8,4972.4,4986.6,4376.0,4366.1
常住人口数:陕西:渭南市,千人,5382.564875,3475.6024340000004,58.95424017,-0.040770321,-1.485323386,0.010952816,5289.938,5471.1,5377.25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5431.9,5446.0,5471.1,5456.5,5420.4,5430.7,5431.8,5289.94,5304.9,5321.0,5331.7,5343.0,5359.9,5371.6,5382.9,5327.7
常住人口数:陕西:延安市,千人,2203.283083,1923.134925,43.85356228,-0.160097334,-1.05404553,0.019903735,2134.9,2263.1,2202.1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134.9,2144.9,2151.8,2188.7,2194.0,2198.1,2206.1,2214.3,2231.3,2252.8,2263.1,2259.4
常住人口数:陕西:汉中市,千人,3454.734615,1527.0655769999998,39.07768643,0.762593159,-1.181733487,0.011311342,3415.1,3519.9,3438.1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3496.2,3504.8,3513.3,3519.9,3417.55,3415.1,3418.4,3425.0,3431.5,3438.1,3446.3,3449.3,3436.1
常住人口数:陕西:榆林市,千人,3364.6356149999997,1058.0453730000002,32.527609399999996,-0.099504779,-0.39432282700000004,0.009667498,3303.3,3417.8,3356.9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3303.3,3328.0,3339.8,3347.3,3354.16,3352.4,3356.9,3370.3,3383.9,3401.1,3382.0,3403.3,3417.8
常住人口数:陕西:安康市,千人,2648.501857,144.79078669999998,12.03290434,-0.13933400099999999,-0.9740812529999999,0.004543287,2630.7,2668.9,2650.05,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2648.1,2650.1,2652.5,2657.1,2660.6,2630.83,2630.7,2633.6,2637.6,2642.0,2650.0,2656.0,2661.0,2668.9
