"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售面积:住宅:陕西:延安市,千平方米,452.9897692,80211.38007,283.2161367,1.336923497,3.128865475,0.625215305,106,1190.448,445.5,13,,,,,,,,,,,,,,,137.10,106.00,445.50,571.70,387.00,202.00,213.69,396.77,513.46,552.76,525.12,647.32,1190.45,
商品房销售面积:住宅:陕西:汉中市,千平方米,1334.974769,129462.9839,359.8096495,0.394302451,-0.231758932,0.269525431,763.4,2051.431,1289.6,13,,,,,,,,,,,,,,,763.40,973.40,1048.50,1015.20,1408.00,1578.00,2051.43,1768.97,1563.59,1189.22,1166.20,1289.60,1539.17,
商品房销售面积:住宅:陕西:榆林市,千平方米,679.1096923,120661.8811,347.3641909,-0.251547507,-0.702420674,0.511499386,51.4,1194.99,750.37,13,,,,,,,,,,,,,,,223.00,51.40,343.80,548.70,787.00,846.00,880.87,1129.74,1194.99,1018.47,510.45,543.63,750.37,
商品房销售面积:住宅:陕西:安康市,千平方米,1024.754385,96018.35662,309.8682892,-0.654686053,-0.990933654,0.302382984,487.3,1393.731,1138.511,13,,,,,,,,,,,,,,,487.30,543.40,671.90,777.10,954.00,1072.00,1243.64,1170.89,1138.51,1336.07,1210.49,1322.78,1393.73,
商品房销售面积:住宅:陕西:商洛市,千平方米,415.4803077,54921.03413,234.3523717,0.017291435,-1.699896871,0.564051695,106.3,730.14,419.705,13,,,,,,,,,,,,,,,106.30,128.70,135.60,214.90,273.00,320.00,419.71,456.69,621.47,730.14,712.04,648.23,634.47,
商品房销售面积:住宅:甘肃:兰州市,千平方米,2685.23895,4950443.138,2224.959132,1.091727901,-0.052174399,0.828588879,393.564,7634.436,2010.8255,20,,,,,,,,,393.56,456.55,655.28,691.01,810.43,1289.81,2034.57,1951.83,2552.82,1340.51,2246.80,2068.06,1642.21,1987.09,2720.33,4674.74,6205.08,7634.44,6445.39,5904.30
商品房销售面积:住宅:甘肃:嘉峪关市,千平方米,535.0270769,55995.52823,236.6337428,-0.657730896,1.15250507,0.442283677,28.5,954.2,548.4,13,,,,,,,,,,,,,,,28.50,178.00,439.10,548.40,954.20,642.00,681.63,668.06,732.15,526.28,493.37,456.01,607.67,
商品房销售面积:住宅:甘肃:金昌市,千平方米,308.1355714,23794.3932,154.2543134,0.960686215,2.587843674,0.500605343,51.2,702,323.629,14,,,,,,,,,,,,,,,51.20,234.50,346.70,256.80,347.80,702.00,354.96,410.27,419.55,145.87,343.70,303.56,211.98,185.00
商品房销售面积:住宅:甘肃:白银市,千平方米,465.1844286,28128.03751,167.7141542,-0.536109702,0.433530481,0.360532606,106.4,746.892,484.597,14,,,,,,,,,,,,,,,106.40,354.50,239.40,411.80,467.20,614.00,646.35,569.77,746.89,518.06,334.62,474.49,494.71,534.40
商品房销售面积:住宅:甘肃:天水市,千平方米,713.3247857,75599.09263,274.9528917,-0.281212022,-1.224454312,0.385452598,239.8,1078,749.31,14,,,,,,,,,,,,,,,239.80,424.60,413.70,380.30,528.00,790.00,708.40,951.77,1004.96,1055.05,748.53,750.09,913.36,1078.00
