"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
房地产开发投资:江苏:南京市,百万人民币,69205.60957,4775433699,69104.51287,1.224857462,0.613516966,0.998539183,6970.29,235417,44597.3,23,,,,,,,,,,,,,6970.29,7288.91,10105.71,9790.85,9934.49,11100.34,13762.60,18380.38,29287.56,29614.03,35117.42,44597.30,50816.69,59567.96,74834.81,87142.92,97196.42,103771.48,112549.00,142901.94,184560.04,217020.88,235417.00
房地产开发投资:江苏:无锡市,百万人民币,47782.08091,1986123320,44565.9435,0.567311272,-1.328725559,0.932691558,3302.45,125222,32746.67,22,,,,,,,,,,,,,3567.56,3302.45,3404.23,4207.39,4467.21,4931.14,7701.19,13179.20,19557.59,22774.29,27681.10,37812.24,44971.71,46337.06,61266.62,87777.53,97436.75,112890.89,125222.00,99166.34,103362.26,120189.03,
房地产开发投资:江苏:徐州市,百万人民币,17766.23,358611663,18937.04473,0.94341771,-0.614497168,1.065901135,806.42,54913.09,8545.4,22,,,,,,,,,,,,,806.42,1153.93,1856.31,2380.71,2804.90,3133.52,2500.89,3009.58,3091.35,6257.38,7079.83,10010.97,13081.23,15905.93,20532.22,25512.17,31007.07,38046.68,46888.00,47022.44,54913.09,53862.44,
房地产开发投资:江苏:常州市,百万人民币,26511.44273,579097554.1,24064.44585,0.480393941,-1.326270529,0.90770035,1535.86,68153,19804.345,22,,,,,,,,,,,,,1535.86,1878.27,2232.00,2550.26,2998.34,3217.09,4101.69,5277.54,9789.55,11427.30,17104.16,22504.53,30891.61,30620.37,40991.00,56753.25,59701.05,68139.42,68153.00,50804.00,44670.17,47911.28,
房地产开发投资:江苏:苏州市,百万人民币,84206.72696,6682954620,81749.34018,0.801945655,-0.627796152,0.970817215,5014.11,255791,60195.65,23,,,,,,,,,,,,,5014.11,5123.13,5854.47,6011.24,6117.92,6861.78,10733.63,17794.03,33432.45,41433.33,47074.72,60195.65,71808.05,72434.08,93580.18,119912.78,126335.97,141400.70,176444.00,186494.72,216324.40,230582.38,255791.00
房地产开发投资:江苏:南通市,百万人民币,26230.78565,713694232.5,26715.05629,0.714853334,-1.18679654,1.018461919,1725.21,75952,13742.62,23,,,,,,,,,,,,,2012.48,1783.91,1725.21,2160.46,2610.62,3313.16,3596.13,4831.69,5938.79,8004.98,10792.95,13742.62,17268.46,20079.15,27278.25,37996.17,48174.28,59652.01,67892.00,69094.00,58413.56,60995.19,75952.00
房地产开发投资:江苏:连云港市,百万人民币,9237.5,76139995.57,8725.82349,0.592310184,-0.961140066,0.944608767,423.07,27493.39,6723.17,22,,,,,,,,,,,,,435.44,423.07,454.00,749.07,659.22,965.86,1602.00,1976.45,2732.38,3536.44,5506.77,7939.57,11327.50,11081.17,13235.75,16465.32,16222.96,17406.95,18928.00,20542.36,23541.33,27493.39,
房地产开发投资:江苏:淮安市,百万人民币,13734.58045,178435784.7,13357.9858,0.393437312,-1.668218299,0.972580549,152.31,35766,8424.69,22,,,,,,,,,,,,,152.31,234.98,424.70,589.90,741.40,1127.16,1557.73,2153.53,3459.23,4530.63,6634.59,10214.79,13839.67,18214.60,23776.64,28648.89,28055.11,31222.19,35766.00,28369.04,32141.34,30306.34,
房地产开发投资:江苏:盐城市,百万人民币,15441.63739,250230388.6,15818.67215,0.720327395,-1.092386168,1.02441676,646.33,45490,9255.74,23,,,,,,,,,,,,,646.33,807.71,1142.72,1152.65,1189.41,1339.72,1730.40,2312.64,3114.41,5223.57,6551.14,9255.74,10902.31,12985.49,16547.28,21437.18,27341.18,32731.24,37964.00,36768.48,35856.66,42667.40,45490.00
房地产开发投资:江苏:扬州市,百万人民币,14762.86909,213030424,14595.56179,0.884546324,-0.604383452,0.98866702,959.46,44358.26,9495.445,22,,,,,,,,,,,,,983.29,959.46,1078.71,1299.08,1543.03,1798.46,2619.08,4381.81,6398.30,7313.57,8343.08,10647.81,13765.53,12952.92,16515.93,19770.79,23584.26,31590.65,36044.00,37817.53,41017.57,44358.26,
房地产开发投资:江苏:镇江市,百万人民币,13644.19609,203160348.2,14253.43286,0.931138581,-0.597401867,1.044651716,628.14,44864.33,8437.25,23,,,,,,,,,,,,,628.14,677.71,873.90,1139.65,1285.93,1494.63,1979.73,3228.58,3917.47,6048.05,6742.14,8437.25,9702.71,9546.70,11487.81,14147.47,20548.34,29630.63,31905.00,35577.94,44864.33,34352.40,35600.00
房地产开发投资:江苏:泰州市,百万人民币,12566.91522,135760053.7,11651.61163,0.516258455,-1.304598025,0.927165612,463.05,35371,9206.79,23,,,,,,,,,,,,,482.65,463.05,700.31,874.51,1263.40,1713.73,1946.87,3114.84,3927.97,4724.42,6340.93,9206.79,11178.43,12388.01,14973.32,22825.47,23448.48,27115.81,28554.00,24556.76,24996.36,28871.94,35371.00
房地产开发投资:江苏:宿迁市,百万人民币,12307.25304,170458639.4,13055.98098,0.718564297,-0.953542193,1.060836316,27.14,37714,7024.64,23,,,,,,,,,,,,,27.14,58.65,170.67,148.58,277.15,447.43,700.12,1306.49,2330.88,3717.05,5702.47,7024.64,8706.91,11735.82,14762.65,18992.92,21864.24,30546.47,37714.00,36252.59,30975.65,24300.30,25304.00
房地产开发投资:浙江:杭州市,百万人民币,99471.88565,10319971670,101587.2614,0.874604737,-0.759737236,1.021266066,5727.49,306890,51879.04,23,,,,,,,,,,,,,5727.49,5736.86,6662.44,8492.67,10165.97,14091.32,19825.17,25884.52,32854.09,41057.06,44265.34,51879.04,61540.60,70467.52,95619.70,130272.34,159736.11,185328.00,230108.23,247207.43,260641.00,273400.47,306890.00
房地产开发投资:浙江:宁波市,百万人民币,54768.90696,2709243596,52050.39477,0.767814193,-0.984572147,0.95036395,4385.88,158747,31358.1,23,,,,,,,,,,,,,6589.98,5192.20,4385.88,4653.85,5971.41,8708.43,12596.94,18425.89,23440.91,25949.64,31358.10,33289.41,30775.38,37451.19,55726.83,75494.48,88435.14,112314.01,132813.90,122884.27,127033.00,137447.02,158747.00
房地产开发投资:浙江:温州市,百万人民币,37981.3687,1358527865,36858.213,0.851677326,-0.774799139,0.970428772,3808.72,117657,19249.33,23,,,,,,,,,,,,,4231.58,3808.72,3908.61,4490.50,5536.90,8787.39,11274.33,13492.97,14162.03,15397.01,16875.95,19249.33,21939.19,25334.24,27049.55,68055.47,68750.28,73437.00,80887.63,76628.65,90201.00,102416.15,117657.00
房地产开发投资:浙江:嘉兴市,百万人民币,25338.22826,666431562.5,25815.3358,1.181828537,0.9176372,1.018829554,1055.06,95247,14773.86,23,,,,,,,,,,,,,1055.06,1161.21,1305.80,1784.30,2331.63,3983.37,4798.59,7243.90,11424.09,12340.34,11810.04,14773.86,18122.56,18717.81,27038.89,38336.50,41587.63,51083.00,52571.84,45841.33,47840.00,72380.50,95247.00
房地产开发投资:浙江:湖州市,百万人民币,14017.71826,195344897.5,13976.5839,1.156359481,0.866679594,0.997065545,718.18,52330,9493.85,23,,,,,,,,,,,,,791.96,718.18,814.83,938.36,1726.11,2340.29,2957.65,4151.60,5686.02,6904.86,7279.59,9493.85,10329.06,11130.06,14313.14,18467.99,21117.35,26764.00,34274.87,32338.75,27422.00,30117.00,52330.00
房地产开发投资:浙江:绍兴市,百万人民币,27296.64087,675998626.9,25999.97359,0.703110162,-1.038508716,0.952497185,1356.9,79806,17858.88,23,,,,,,,,,,,,,1575.73,1356.90,1823.13,2411.55,3615.36,4860.96,4909.34,7446.82,11600.10,10333.09,12856.67,17858.88,20205.73,21046.29,29780.18,40323.84,46770.89,53699.07,61351.18,62264.72,64119.00,67807.31,79806.00
房地产开发投资:浙江:金华市,百万人民币,17625.2,243967884,15619.47131,0.800910685,-0.495439261,0.886201082,1096.7,53531,12142.51,23,,,,,,,,,,,,,1457.88,1100.52,1096.70,1172.51,1956.26,4163.79,5533.09,7755.53,11545.57,12009.59,10978.67,12142.51,14095.95,13263.77,16364.60,20358.52,28519.21,38497.00,36766.82,35021.63,40885.00,37163.48,53531.00
房地产开发投资:浙江:衢州市,百万人民币,6023.514783,34462704.96,5870.494439,1.859032527,4.384928679,0.97459617,343.83,25343,4250.62,23,,,,,,,,,,,,,398.56,343.83,468.69,718.38,861.84,1655.20,2635.04,3552.83,4250.62,3792.40,3963.47,4591.08,4561.89,3758.93,6371.22,7066.11,7578.80,8882.11,9516.65,9951.14,12425.00,15854.05,25343.00
房地产开发投资:浙江:舟山市,百万人民币,7702.784348,60346574.73,7768.305782,0.801836216,-1.07492568,1.008506201,712.33,22579.82,3895.46,23,,,,,,,,,,,,,712.33,774.09,797.01,815.96,1027.17,1521.39,1869.08,1818.72,2365.81,2767.20,3310.69,3915.07,3895.46,4898.96,5897.69,11678.72,15894.28,14379.00,22579.82,19359.38,17189.00,20943.21,18754.00
房地产开发投资:浙江:台州市,百万人民币,20399.04609,395415815.6,19885.06514,0.817642612,-0.641352815,0.974803677,1043.33,65955,11612.55,23,,,,,,,,,,,,,1211.27,1043.33,1177.80,1323.02,2409.74,3202.13,4676.86,5649.54,8731.58,11612.55,10147.20,9572.90,12624.94,15227.41,19607.74,31916.43,35737.61,45354.00,49604.73,43868.61,42421.00,46102.67,65955.00
房地产开发投资:浙江:丽水市,百万人民币,7866.971579,42281544.78,6502.426069,0.819850278,-0.892951016,0.826547548,639.65,20233,4772.96,19,,,,,,,,,,,,,,,,,639.65,1176.36,1803.67,2582.82,3423.93,3485.11,4581.84,5394.65,3999.30,4130.46,4772.96,5464.39,8499.37,11888.06,15762.62,15826.93,16761.00,19046.34,20233.00
房地产开发投资:安徽:合肥市,百万人民币,56663.73783,3021548170,54968.61077,0.51016787,-1.252724707,0.970084447,1159.81,155740.51,38753.25,23,,,,,,,,,,,,,1159.81,1490.51,1556.89,2300.55,2288.73,2614.31,4011.70,9001.36,13831.79,19130.87,28180.51,38753.25,56716.24,67035.59,81903.20,88960.17,91380.31,110581.09,112735.61,125913.53,135259.44,155740.51,152720.00
房地产开发投资:安徽:芜湖市,百万人民币,18947.23739,369177606.6,19213.99507,0.485606871,-1.577292088,1.014078975,614.94,49320,8889.64,23,,,,,,,,,,,,,618.71,614.94,688.69,791.16,962.74,1358.56,1723.81,2592.85,2897.49,4372.02,5934.20,8889.64,15022.97,20687.17,29116.49,29183.45,36667.48,44611.83,47901.28,45284.13,40809.65,45737.20,49320.00
房地产开发投资:安徽:蚌埠市,百万人民币,14124.63174,374665960.3,19356.28994,1.232930684,-0.017380656,1.370392538,255.61,57664.22,3360.21,23,,,,,,,,,,,,,255.61,264.07,481.99,570.97,476.82,606.01,807.42,1350.81,1689.60,2128.19,2465.18,3360.21,4054.53,3739.55,7384.00,10578.90,18354.03,32532.21,40696.41,42859.89,38857.55,53688.36,57664.22
房地产开发投资:安徽:淮南市,百万人民币,5975.000435,43028565.13,6559.616233,1.056345258,0.31548476,1.097843641,117.73,22223.77,3094.78,23,,,,,,,,,,,,,126.64,117.73,199.18,359.06,317.42,377.08,513.46,672.86,1339.24,1502.59,2349.81,3094.78,3698.24,5470.50,7834.81,10404.70,11607.42,12820.77,11050.01,9810.00,12188.10,19346.84,22223.77
房地产开发投资:安徽:马鞍山市,百万人民币,9282.746087,99180803.73,9958.955956,0.694925143,-1.341756403,1.072845887,342.78,25901.51,3466.28,23,,,,,,,,,,,,,342.78,384.33,416.10,475.10,552.85,762.21,997.40,1362.44,1972.51,2640.84,3079.39,3466.28,6517.73,6275.92,8505.07,13516.94,21149.35,25574.76,24558.35,20128.24,21893.06,25901.51,23030.00
房地产开发投资:安徽:淮北市,百万人民币,4819.085652,31080899.52,5575.02462,0.839842559,-0.999953783,1.156863568,65.25,15240.34,1753.41,23,,,,,,,,,,,,,65.25,152.27,162.64,111.55,264.59,286.39,350.86,606.55,698.59,883.67,1252.06,1753.41,2236.06,3151.40,4253.01,6661.57,10928.16,13400.86,15240.34,14783.23,9209.17,11217.34,13170.00
房地产开发投资:安徽:铜陵市,百万人民币,5343.004348,29359662.55,5418.455735,0.606220473,-1.358832731,1.014121528,203.87,15760,2077.72,23,,,,,,,,,,,,,203.87,253.19,363.51,538.59,548.22,562.75,715.01,931.26,1324.43,1343.21,1778.59,2077.72,3224.65,4647.08,7329.98,9875.27,11680.72,12546.34,13276.34,9730.00,11738.69,12439.68,15760.00
房地产开发投资:安徽:安庆市,百万人民币,6520.696957,40582434.71,6370.434421,0.572385618,-1.238774093,0.976956062,261.58,18820,4312.56,23,,,,,,,,,,,,,261.58,298.52,281.17,345.53,435.88,685.12,915.33,1052.31,1571.49,1798.45,2556.97,4312.56,6363.34,6533.25,9222.07,9864.66,10016.97,14979.96,14694.27,14660.00,14054.67,16251.93,18820.00
房地产开发投资:安徽:黄山市,百万人民币,6286.882174,34423721.04,5867.173172,0.301511023,-1.78991262,0.933240517,165.42,15120,3146.62,23,,,,,,,,,,,,,165.42,233.56,238.46,319.31,508.95,607.62,803.07,1084.56,1795.85,2068.27,2231.44,3146.62,6230.96,8843.93,12575.56,12706.27,14400.27,14246.77,13672.74,10122.54,11121.45,12354.67,15120.00
房地产开发投资:安徽:滁州市,百万人民币,12421.85348,235031613.4,15330.7408,0.952297006,-0.609689828,1.234174982,152.61,44163.54,2934.03,23,,,,,,,,,,,,,152.61,188.29,240.87,299.28,368.07,468.42,545.02,668.46,998.57,1659.40,1923.82,2934.03,4638.08,6636.95,13176.88,17193.31,22981.38,26169.11,30546.57,33442.86,33615.08,42692.03,44163.54
房地产开发投资:安徽:阜阳市,百万人民币,10851.50304,284137347.7,16856.3741,1.931074169,2.957609958,1.553367679,152.61,58970,3139.19,23,,,,,,,,,,,,,152.61,314.20,228.31,363.12,280.73,355.68,318.36,793.21,1326.14,1790.49,2552.36,3139.19,4225.59,4311.91,5004.74,7879.83,8798.51,14047.60,21566.56,26477.69,35053.81,51633.93,58970.00
房地产开发投资:安徽:宿州市,百万人民币,8053.398095,98421094.37,9920.740616,1.081575821,-0.315751771,1.231870137,157.15,29720,3120.08,21,,,,,,,,,,,,,,,157.15,192.38,227.57,279.60,370.77,447.76,757.14,875.96,1292.99,2148.08,3120.08,3631.87,4714.33,7061.14,10346.51,14250.22,18233.18,21980.68,23578.12,25735.83,29720.00
房地产开发投资:安徽:巢湖市,百万人民币,2517.580833,7342555.938,2709.715103,1.35410828,1.046730267,1.076317021,292.93,8700.02,1231.15,12,,,,,,,,,,,,,,,,292.93,343.85,505.83,575.49,750.64,1131.32,1330.98,2385.58,3255.15,4917.07,6022.11,8700.02,,,,,,,,
房地产开发投资:安徽:六安市,百万人民币,9228.7985,106220582.9,10306.33703,1.130316709,0.18284217,1.116758268,146.33,32980,4129.31,20,,,,,,,,,,,,,,,,146.33,346.67,533.00,629.89,932.70,1549.49,1485.10,2309.55,3404.58,3909.03,4349.59,6240.81,9638.17,12148.08,14475.47,18227.47,18229.13,23662.69,29378.22,32980.00
房地产开发投资:安徽:亳州市,百万人民币,9355.872632,139143854.8,11795.92535,1.172669276,0.193087886,1.260804397,276.26,36490,2164.38,19,,,,,,,,,,,,,,,,,276.26,334.45,368.13,460.34,481.80,625.00,743.40,766.19,1337.42,2164.38,4351.60,8124.46,9601.08,14907.38,20905.96,20518.33,23144.15,32161.25,36490.00
房地产开发投资:安徽:池州市,百万人民币,4727.873158,15796459.09,3974.475951,0.097330714,-1.815774661,0.840647754,206.98,10567.46,4696.71,19,,,,,,,,,,,,,,,,,206.98,241.45,347.00,462.93,684.41,777.15,953.63,1306.90,3096.54,4696.71,6648.77,7788.13,9225.16,10567.46,10411.75,8282.24,8255.01,8407.37,7470.00
房地产开发投资:安徽:宣城市,百万人民币,9240.47,63090932.63,7942.980085,0.228965608,-1.795122069,0.859586156,386.28,20177.19,8219.11,19,,,,,,,,,,,,,,,,,386.28,580.66,666.15,925.67,1302.43,1640.19,1881.49,3595.13,6160.69,8784.72,8219.11,11716.77,15875.22,18910.81,20177.19,18484.72,17915.61,18560.58,19785.51
房地产开发投资:福建:福州市,百万人民币,60648.27478,3572206616,59767.9397,0.740445977,-1.114429819,0.985484582,4764.6,169417.98,31360.79,23,,,,,,,,,,,,,5194.97,4764.60,5054.14,5936.45,7584.88,8952.14,9906.70,16703.94,22374.93,22202.70,29678.21,37646.63,31360.79,36179.91,67069.40,95644.51,97226.67,126479.00,145507.29,138112.48,167944.00,169417.98,143968.00
房地产开发投资:福建:厦门市,百万人民币,33865.87652,864163383.8,29396.656,0.697006923,-0.942433801,0.868031748,5663.15,88458,26741.71,23,,,,,,,,,,,,,6426.45,6779.18,7625.28,6935.77,6212.11,5663.15,6233.26,7927.37,9146.10,11407.42,21393.08,34573.62,32701.60,26741.71,39612.54,43630.97,51887.91,53180.00,70406.36,77407.00,76580.00,87986.28,88458.00
房地产开发投资:福建:莆田市,百万人民币,12404.39565,230099086.3,15169.01732,0.937440596,-0.843766989,1.222874354,176.26,41594.49,4961.38,23,,,,,,,,,,,,,187.72,176.26,219.86,285.88,366.90,588.53,562.83,855.44,1346.70,2146.69,2605.18,4961.38,6082.82,6333.11,8791.35,15283.47,19859.12,28332.00,34686.56,41594.49,35331.00,38881.81,35822.00
房地产开发投资:福建:三明市,百万人民币,6210.786522,34859406.06,5904.185469,0.492528287,-1.223239555,0.950634102,131.98,17676.49,4734.38,23,,,,,,,,,,,,,220.89,131.98,260.64,385.42,559.50,736.24,740.17,898.16,1514.41,1459.05,2638.48,4734.38,6631.99,7480.58,9481.89,10572.75,13998.28,16202.00,17676.49,13021.50,10436.66,10920.63,12146.00
房地产开发投资:福建:泉州市,百万人民币,25668.27435,843149572.2,29037.03794,0.931054977,-0.874789868,1.131242309,1414.4,79141,11484.18,23,,,,,,,,,,,,,1414.40,1594.93,1755.20,1915.03,2195.86,2558.71,2875.84,3913.18,5815.32,6856.02,8748.61,11484.18,13266.69,14671.87,20311.21,27323.51,39550.03,58545.00,77595.11,68158.90,70614.00,70065.71,79141.00
房地产开发投资:福建:漳州市,百万人民币,18171.96739,453044024.9,21284.83086,1.1389581,0.124437915,1.1713003,645.79,71272,8353.18,23,,,,,,,,,,,,,809.60,645.79,702.86,1135.75,1793.35,1710.66,1736.71,2098.77,3272.80,4165.73,5539.32,8353.18,11203.75,9930.51,15962.12,22348.41,25448.53,35610.00,47224.41,50251.11,46285.00,50454.89,71272.00
房地产开发投资:福建:南平市,百万人民币,6176.026522,39543688.49,6288.377254,0.880614482,-0.80476066,1.018191427,426.97,19061.25,3913.59,23,,,,,,,,,,,,,476.81,426.97,533.24,748.92,1028.67,1144.71,1114.27,1344.60,1540.22,1946.74,2753.67,4188.22,3913.59,4077.42,6713.12,6830.70,8584.38,13331.24,15002.48,15281.50,15779.00,16226.89,19061.25
房地产开发投资:福建:龙岩市,百万人民币,7400.630435,68144274.23,8254.954526,0.896883162,-0.692693793,1.115439367,156.44,25231,3905.55,23,,,,,,,,,,,,,168.20,164.17,156.44,253.89,482.65,540.95,634.60,1105.09,1431.21,1910.50,2794.60,3905.55,3985.41,4965.10,8082.27,8783.15,12053.18,16512.64,21208.86,19330.05,18010.18,18504.81,25231.00
房地产开发投资:福建:宁德市,百万人民币,9243.786316,84415649.05,9187.798923,0.72977075,-1.038423763,0.99394324,512.99,27432.72,3401.84,19,,,,,,,,,,,,,,,,,512.99,654.09,1094.31,1360.02,1619.55,1697.76,2144.94,3401.84,3237.22,3254.74,5861.80,9843.09,13804.39,22104.50,27432.72,23803.43,17904.11,16964.44,18936.00
房地产开发投资:江西:南昌市,百万人民币,20854.95,506926038.3,22515.01806,1.28848317,1.01732296,1.079600673,928.69,79069.14,11817.66,22,,,,,,,,,,,,,1061.67,928.69,1073.29,1050.61,1319.68,2050.73,3466.84,6001.18,8517.61,11021.69,11075.12,12560.20,16330.40,19824.68,23014.63,27989.33,34436.07,40613.58,41406.82,48537.14,67459.80,79069.14,
房地产开发投资:江西:景德镇市,百万人民币,2257.071304,3489874.725,1868.12064,0.603077418,-0.421093547,0.827674623,73.65,6571,1808.25,23,,,,,,,,,,,,,85.29,73.65,97.34,156.30,221.60,283.65,669.78,1710.12,1808.25,1357.98,1451.16,1616.17,2308.20,2497.60,2571.66,3645.02,5203.70,4266.46,3696.84,2743.70,4287.69,4589.48,6571.00
房地产开发投资:江西:萍乡市,百万人民币,1744.929091,2468126.184,1571.027111,1.027944512,0.262212207,0.900338655,67.85,5238.63,1661.64,22,,,,,,,,,,,,,67.85,84.95,160.10,217.80,238.27,343.70,426.09,680.74,1523.56,1446.01,1714.20,1769.56,1892.64,1992.01,1646.55,1676.73,1715.99,2437.83,3717.30,4546.46,4851.47,5238.63,
房地产开发投资:江西:九江市,百万人民币,5068.07087,25534650.27,5053.182192,0.966492984,-0.497347922,0.997062259,376.01,15146.48,3532.62,23,,,,,,,,,,,,,599.86,460.62,376.01,411.29,506.09,674.44,1083.30,1229.90,1755.66,2392.09,2643.83,3882.06,3532.62,4900.23,4606.42,6080.19,5811.86,7529.29,12918.34,13291.04,12385.01,15146.48,14349.00
房地产开发投资:江西:新余市,百万人民币,1570.403043,1489789.316,1220.569259,0.072257579,-1.077658855,0.777233121,40.88,4152.11,2007.35,23,,,,,,,,,,,,,40.88,44.63,54.35,55.35,63.91,148.76,333.44,623.43,704.92,1247.82,1585.55,2206.03,2327.23,2413.59,2443.49,2711.39,2472.87,4152.11,2862.31,2633.28,2007.35,2396.58,2590.00
房地产开发投资:江西:鹰潭市,百万人民币,1963.941304,5314760.989,2305.37654,1.136777401,-0.281955944,1.173852057,68.05,6644.36,813.67,23,,,,,,,,,,,,,68.05,113.88,154.92,207.53,185.36,221.09,301.51,436.23,535.66,587.20,549.99,813.67,870.36,1099.82,1304.20,2151.32,2514.56,3662.76,4494.43,5776.10,6247.65,6644.36,6230.00
房地产开发投资:江西:赣州市,百万人民币,11636.7285,129867263.2,11395.93187,0.705135151,-1.086130491,0.979307188,400.82,31843,6941.3,20,,,,,,,,,,,,,,,,400.82,520.03,961.92,1160.81,1349.59,2014.07,2500.95,3403.01,5087.22,6220.18,7662.42,10048.13,13064.01,16327.07,19662.23,23033.68,27435.45,29123.73,30916.25,31843.00
房地产开发投资:江西:吉安市,百万人民币,3799.922222,9931752.413,3151.468295,0.906182664,-0.166355035,0.829350737,225.98,10535.71,3144.62,18,,,,,,,,,,,,,,,,,225.98,235.27,501.31,1217.13,1423.99,1876.61,2189.46,2187.87,2994.30,3415.86,3294.94,3484.65,4390.20,6223.19,6610.03,8200.18,9391.92,10535.71,
房地产开发投资:江西:宜春市,百万人民币,7028.065263,46004405.49,6782.654752,0.923981264,-0.482202056,0.965081356,441.87,20501.63,4290.49,19,,,,,,,,,,,,,,,,,441.87,603.44,727.13,1071.33,1439.80,1567.30,2026.87,2930.76,3984.67,4290.49,4980.06,7359.18,8096.56,10099.31,11072.59,14907.82,18193.53,20501.63,19238.90
房地产开发投资:江西:抚州市,百万人民币,5644.071111,15397283.6,3923.937257,0.125173467,-1.338153668,0.695231718,237.9,11910.47,5989.575,18,,,,,,,,,,,,,,,,,237.90,411.99,802.58,1674.66,2033.67,2484.34,3218.17,4176.08,5680.06,6299.09,7463.39,8410.84,6608.55,8135.92,9888.31,11000.13,11157.13,11910.47,
房地产开发投资:江西:上饶市,百万人民币,7363.556,28660662.8,5353.565429,0.131892581,-0.977290853,0.727035338,49.73,18040,8695.02,20,,,,,,,,,,,,,49.73,,,,276.36,416.96,901.07,1740.29,2527.32,3594.74,4738.28,6264.88,8333.45,9056.59,9216.30,10130.19,9384.33,10675.00,12548.44,12938.55,11989.14,14449.50,18040.00
房地产开发投资:山东:济南市,百万人民币,41986.63826,1970658993,44392.10507,0.950010319,-0.475683901,1.057291246,1559.04,136935,19320.69,23,,,,,,,,,,,,,1559.04,1856.05,2400.51,3533.07,5052.99,6186.77,7645.99,8979.67,11024.81,12108.72,16005.07,19320.69,27411.66,33255.76,48450.29,52715.75,66331.52,72117.00,91737.06,101414.33,116393.81,123257.12,136935.00
房地产开发投资:山东:青岛市,百万人民币,53010.97217,2497645638,49976.45083,0.687693045,-1.088557536,0.942756731,4265.7,148521,32235.47,23,,,,,,,,,,,,,4557.65,4265.70,4380.59,6297.17,6751.42,9251.53,10364.76,12779.69,16269.65,22383.70,26836.31,32235.47,38056.52,45948.29,60243.87,78271.93,93010.99,104850.00,111772.97,112234.58,136914.25,133054.32,148521.00
房地产开发投资:山东:淄博市,百万人民币,11406.79522,84823115.42,9209.946548,0.20099119,-1.483775174,0.807408775,435.9,26949,10567.71,23,,,,,,,,,,,,,435.90,557.62,653.69,630.69,892.26,1325.30,2545.78,3636.55,5716.63,7734.68,9707.63,10567.71,12162.08,14060.86,16698.83,19719.00,15566.38,20040.00,23619.84,22768.77,22182.11,24184.98,26949.00
房地产开发投资:山东:枣庄市,百万人民币,8059.934348,72571079.25,8518.866078,0.728816321,-1.156213036,1.056939884,287.06,24382,3473.91,23,,,,,,,,,,,,,287.06,351.67,462.60,706.98,682.72,728.11,926.67,1487.58,2034.25,2314.36,2465.10,3473.91,3939.49,6813.66,7799.66,13684.61,17855.76,22040.00,21570.16,18663.78,15891.65,16816.71,24382.00
房地产开发投资:山东:东营市,百万人民币,8280.168696,59212498.02,7694.965758,0.476887022,-1.39182253,0.929324757,110.49,20880.87,6347.86,23,,,,,,,,,,,,,110.49,197.76,154.59,223.52,402.12,613.82,1223.67,2027.12,3506.96,4699.50,4192.87,6347.86,6798.97,8463.57,10029.78,12290.84,14774.97,17576.00,19845.05,19394.39,20880.87,19971.16,16718.00
房地产开发投资:山东:烟台市,百万人民币,27421.31957,606189273.9,24620.91131,0.302098749,-1.760596774,0.897874782,971.79,61179.5,20512.34,23,,,,,,,,,,,,,1054.28,971.79,1072.97,1327.09,1744.70,2656.30,4186.10,7177.56,9515.74,11104.67,14363.95,20512.34,27201.13,27119.68,38312.04,56896.78,57352.24,57840.00,61179.50,60705.67,55102.05,54620.77,58673.00
房地产开发投资:山东:潍坊市,百万人民币,23163.82348,499578651.6,22351.25615,0.463729138,-1.377676819,0.964920846,429.6,65021,15662.74,23,,,,,,,,,,,,,429.60,536.39,784.14,684.72,1219.21,1596.47,2041.70,3710.04,6071.43,7899.69,9842.48,15662.74,19643.66,26650.47,36762.65,40587.00,46881.00,60210.00,45001.21,46791.30,44329.31,50411.73,65021.00
房地产开发投资:山东:济宁市,百万人民币,13254.16696,213459984.7,14610.26984,0.858563486,-0.899363537,1.10231521,485.57,40323.08,5731.21,23,,,,,,,,,,,,,525.01,485.57,602.50,755.30,819.07,998.24,1533.37,2490.58,2779.29,3968.67,4579.06,5731.21,6906.62,8236.68,13459.97,18223.73,21907.22,27540.00,35612.44,30847.54,36393.69,40323.08,40127.00
房地产开发投资:山东:泰安市,百万人民币,6340.889565,40455872.59,6360.493109,0.728946344,-1.033948345,1.003091608,205.78,18108.97,3423.97,23,,,,,,,,,,,,,205.78,255.17,541.19,478.16,539.79,552.92,624.22,1507.60,2149.64,3051.62,2255.09,3423.97,4388.07,5216.44,7509.75,8614.69,10893.84,12620.00,14308.83,14515.49,18108.97,16309.23,17770.00
房地产开发投资:山东:威海市,百万人民币,16000.4713,213527435,14612.57797,0.403432753,-1.542207993,0.913259222,488.92,41181,9571.6,23,,,,,,,,,,,,,488.92,521.48,796.76,1069.67,1752.55,1938.31,2463.36,4369.45,4567.62,5834.47,8038.51,9571.60,15021.81,20950.83,26979.60,35226.28,36619.03,41181.00,35722.74,31319.31,21507.01,27543.53,34527.00
