"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
房地产开发投资:山西:大同市,百万人民币,7454.306957,67231967.24,8199.510183,0.966050325,-0.196382502,1.099969485,276.01,26502.05,2701.75,23,,,,,,,,,,,,,288.43,276.01,683.56,1033.16,782.52,1020.26,881.67,914.61,950.36,1461.77,2142.33,2802.58,2701.75,8366.14,9061.48,13418.15,17060.96,26502.05,23732.45,13916.71,16772.93,11139.18,15540.00
房地产开发投资:山西:阳泉市,百万人民币,2604.059565,5467684.302,2338.308,0.559799698,-1.057218803,0.897947202,106.06,7239.13,2183.43,23,,,,,,,,,,,,,106.06,197.01,204.16,320.75,264.52,286.75,380.86,659.74,746.36,1199.27,1754.35,2183.43,2755.79,3197.88,4334.34,5888.43,5696.67,7239.13,5270.08,4663.96,6397.81,3026.02,3120.00
房地产开发投资:山西:长治市,百万人民币,3378.54913,12691237.22,3562.476277,0.736728023,-1.095979455,1.054439684,59.14,10330,1526.29,23,,,,,,,,,,,,,59.14,141.30,211.97,132.42,65.66,188.01,475.00,704.78,912.50,1169.79,1408.25,1526.29,1780.43,2649.98,3276.11,5376.03,7591.60,9420.84,7523.31,8753.23,6779.62,7230.37,10330.00
房地产开发投资:山西:晋城市,百万人民币,2671.016522,8004506.133,2829.223592,0.779259324,-0.973811184,1.059231034,64.56,8036.48,894.42,23,,,,,,,,,,,,,64.56,89.37,125.34,182.28,215.93,318.59,348.74,490.88,894.42,822.52,687.56,811.96,1480.40,2654.30,3236.66,3750.14,4518.19,5081.88,5818.20,7459.74,8036.48,7085.24,7260.00
房地产开发投资:山西:朔州市,百万人民币,2025.219565,6812184.566,2610.0162,1.631636612,1.840356075,1.288757153,11.28,9014.56,1039.72,23,,,,,,,,,,,,,19.25,11.28,50.58,39.20,124.32,140.72,148.91,258.76,481.48,536.88,693.07,1039.72,1160.69,1614.63,1978.12,2444.08,4640.07,9014.56,7717.00,6766.28,2807.30,2153.15,2740.00
房地产开发投资:山西:晋中市,百万人民币,5410.118947,32159353.23,5670.921727,1.053592538,-0.162755477,1.048206478,243.72,17903.61,2413.09,19,,,,,,,,,,,,,,,,,313.16,243.72,333.21,608.62,1068.41,1664.72,2067.84,2296.13,2413.09,2081.35,2981.32,3221.86,7031.27,7693.36,11290.26,11889.19,17903.61,11601.14,16090.00
房地产开发投资:山西:运城市,百万人民币,5083.312105,18965140.69,4354.898471,0.525913832,-1.32454666,0.856704916,138.42,12364.47,3500.26,19,,,,,,,,,,,,,,,,,138.42,321.78,640.71,762.52,1050.00,1614.50,2007.26,2633.16,3500.26,4019.44,3324.92,5267.76,6777.42,9303.00,11772.22,12364.47,11631.14,9063.95,10390.00
房地产开发投资:山西:忻州市,百万人民币,2034.075789,3643866.156,1908.891342,0.70779587,-0.452407366,0.938456351,38.73,6173.76,1813.15,19,,,,,,,,,,,,,,,,,38.73,85.42,84.20,65.74,69.00,269.99,802.87,913.49,1202.19,2088.19,1813.15,2409.79,2762.77,3810.82,6173.76,5238.95,4409.58,3318.80,3090.00
房地产开发投资:山西:临汾市,百万人民币,4271.437895,17014957.43,4124.919082,0.679690268,-1.103678943,0.965698012,93.71,11480,3136.9,19,,,,,,,,,,,,,,,,,93.71,158.30,356.62,621.51,540.91,775.17,922.96,1346.35,2231.11,3892.68,3136.90,3738.74,5556.46,6558.01,8420.11,11260.02,9753.40,10314.36,11480.00
房地产开发投资:山西:吕梁市,百万人民币,2593.60875,4936229.852,2221.76278,0.796231179,-0.230612289,0.856629891,136.87,7053.28,2134.165,16,,,,,,,,,,,,,,,,,,,,136.87,149.30,286.15,549.05,876.91,1297.35,1305.81,1971.30,2297.03,2937.58,3247.16,4315.17,6753.12,7053.28,3881.66,4440.00
房地产开发投资:内蒙古:呼和浩特市,百万人民币,19072.50435,415339917.3,20379.89002,0.86204242,-0.71990302,1.068548191,324.48,58168.32,12983.46,23,,,,,,,,,,,,,432.86,324.48,918.91,981.52,1176.97,1554.31,2428.40,2739.82,3020.45,3586.34,9499.34,12983.46,17706.84,17899.09,25435.37,34478.32,44798.61,58168.32,56313.05,50904.52,52051.65,23839.97,17425.00
房地产开发投资:内蒙古:包头市,百万人民币,9865.031739,73748177.2,8587.675891,0.152455326,-1.797826056,0.870516803,261.62,23417.41,8193.4,23,,,,,,,,,,,,,261.62,330.80,593.48,600.81,780.58,1127.17,1037.55,1791.00,2978.83,3099.76,5929.48,8193.40,13960.36,14043.16,20282.64,23417.41,15855.83,20646.94,19786.81,19732.19,18457.28,15538.63,18450.00
房地产开发投资:内蒙古:乌海市,百万人民币,1889.66913,3143432.158,1772.972689,0.540027102,-1.047142239,0.93824504,6.78,4983.05,1849,23,,,,,,,,,,,,,6.78,15.07,24.51,16.58,42.91,73.51,302.42,380.98,638.70,826.66,1342.44,1849.00,2947.00,2305.15,2489.90,4983.05,4634.56,4786.31,4872.62,3701.17,2209.91,2048.16,2965.00
房地产开发投资:内蒙古:赤峰市,百万人民币,6137.376364,33711393.12,5806.151317,0.461168905,-1.497334009,0.946031492,116.49,15950,4249.77,22,,,,,,,,,,,,,,146.27,116.49,321.13,540.84,762.57,556.32,614.30,1091.42,1760.67,2931.63,3904.00,4595.54,5457.38,8336.97,12807.83,13983.88,14717.32,12859.05,8571.16,10992.13,14005.38,15950.00
房地产开发投资:内蒙古:通辽市,百万人民币,3221.2005,8798292.619,2966.191602,0.934573041,0.094910654,0.920834205,41.25,10064.27,2604.92,20,,,,,,,,,,,,,41.25,,,295.77,511.90,672.33,702.88,739.50,599.43,821.64,1761.57,3553.00,3878.89,2052.98,5778.60,10064.27,4263.22,6919.12,8871.06,3156.86,4884.83,4854.91,
房地产开发投资:内蒙古:鄂尔多斯市,百万人民币,10769.02059,133240823.4,11542.99889,1.541947349,2.448666278,1.071870817,187.62,42603.12,8033.81,17,,,,,,,,,,,,,,,,,,187.62,368.33,555.74,591.87,1705.00,4055.62,8486.23,15081.60,21944.32,28052.96,42603.12,17534.20,13756.13,8349.54,5882.80,5884.46,8033.81,
