"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
国内生产总值:人均:河北:衡水市,人民币,19942.64706,75466832.99,8687.164842,0.450401161,-1.10319035,0.43560741,8497,34898,18076,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8497.00,9628.00,11450.00,12344.00,12944.00,13132.00,14843.00,15192.00,18076.00,21334.00,23101.00,23889.00,26022.00,27543.00,31955.00,34177.00,34898.00
国内生产总值:人均:山西:太原市,人民币,44761.80556,504700764.2,22465.54616,0.143311469,-0.757247817,0.501890973,12381.5,88272,46805.5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12381.50,13580.00,15210.00,18804.00,26107.00,29504.00,36377.00,42378.00,44319.00,50225.00,49292.00,54440.00,56547.00,59023.00,63483.00,68234.00,77536.00,88272.00
国内生产总值:人均:山西:大同市,人民币,20696.28611,96606981.57,9828.885062,-0.013849492,-1.439764037,0.474910571,6653.15,36874,20039.5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6653.15,7186.00,8216.00,9874.00,11913.00,12970.00,15581.00,17974.00,18710.00,21369.00,25341.00,27815.00,28744.00,29607.00,30989.00,30046.00,32671.00,36874.00
国内生产总值:人均:山西:阳泉市,人民币,29573.70889,235744594.3,15353.9765,-0.089666821,-1.645900252,0.519176562,8061.76,51976,29140.5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8061.76,8730.00,9785.00,11719.00,15380.00,18188.00,20839.00,23593.00,26383.00,31898.00,38500.00,43702.00,44251.00,44382.00,42688.00,44461.00,47790.00,51976.00
国内生产总值:人均:山西:长治市,人民币,25723.00833,200362433,14154.94377,-0.056802586,-1.605225049,0.550283372,5900.15,47540,25600,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900.15,6569.00,8012.00,9928.00,12363.00,14197.00,16887.00,20821.00,23558.00,27642.00,36425.00,39523.00,39474.00,39196.00,35029.00,37063.00,42887.00,47540.00
国内生产总值:人均:山西:晋城市,人民币,29961.01398,278849473.5,16698.78659,0.010911687,-1.543480642,0.557350516,7508.96,57819,29722.5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7508.96,7903.00,9079.00,11148.00,14356.00,16489.00,18773.00,23680.00,27108.00,32337.00,39205.00,44257.07,44940.23,44943.00,44994.00,45271.00,49487.00,57819.00
国内生产总值:人均:山西:朔州市,人民币,34885.55722,444763727,21089.42216,-0.19254762,-1.790064095,0.604531612,6119.03,59914,38779.5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6119.03,7143.00,8013.00,9738.00,12094.00,15481.00,21828.00,27458.00,36452.00,41107.00,49692.00,58205.00,59003.00,57368.00,51256.00,51753.00,55316.00,59914.00
国内生产总值:人均:山西:晋中市,人民币,21769.76722,143289438.1,11970.35664,0.047463097,-1.259785762,0.54986149,4920.81,42910,22305,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4920.81,5601.00,6679.00,8300.00,10772.00,12491.00,15157.00,18219.00,20335.00,24275.00,27300.00,30093.00,31015.00,31434.00,31434.00,32646.00,38274.00,42910.00
国内生产总值:人均:山西:运城市,人民币,14909.72882,50831286.92,7129.606365,-0.109181508,-1.470302702,0.478184845,3989.69,25115,14306,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3989.69,4736.00,5985.00,7461.00,9473.00,11001.00,12313.00,12313.00,14306.00,16175.00,19733.00,20628.00,21887.00,22940.70,22304.00,23105.00,25115.00,
国内生产总值:人均:山西:忻州市,人民币,14119.37556,82889962.78,9104.392499,0.300048053,-1.206715447,0.644815521,2879.76,31209,12742.5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2879.76,3142.00,3658.00,4327.00,5519.00,6506.00,8209.00,10101.00,11292.00,14193.00,18019.00,20081.00,21074.00,21796.00,21731.00,22747.00,27665.00,31209.00
国内生产总值:人均:山西:临汾市,人民币,19526.20278,80819587.16,8989.971477,-0.329668851,-1.32154061,0.460405517,4773.65,32066,19533,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4773.65,5575.00,7298.00,9221.00,12741.00,14242.00,15821.00,18031.00,18215.00,20851.00,26220.00,28031.00,27949.00,27557.00,26239.00,27102.00,29539.00,32066.00
