"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
企业存款:安徽:巢湖市,百万人民币,5811.708889,12211704.09,3494.524874,1.264455383,0.841469698,0.601290419,2510,12907,4390,9,,,,,,,,,,,,,,,,,,,,,,,,2510.00,3040.00,3680.00,3410.00,4390.00,5873.38,6737.00,9758.00,12907.00,,,,,,
企业存款:安徽:六安市,百万人民币,22336.94615,514978700.8,22693.14215,0.976796046,-0.811810538,1.015946495,3380,63815.46,9584,13,,,,,,,,,,,,,,,,,,,,,,,,3380.00,4320.00,5090.00,5130.00,6440.00,7825.16,9584.00,14560.00,19207.00,42323.17,50105.88,58599.63,63815.46,,
企业存款:安徽:亳州市,百万人民币,12184.52267,160450204,12666.89402,0.939802811,-0.604558694,1.039588859,1710,38160,5350.5,14,,,,,,,,,,,,,,,,,,,,,,,,1710.00,1820.00,1930.00,2210.00,2600.00,3435.70,3926.00,6775.00,8179.00,19884.78,23575.30,26440.78,29936.76,38160.00,
企业存款:安徽:池州市,百万人民币,9004.699231,64880639.78,8054.85194,0.736535206,-1.334709783,0.894516489,1590,22056.29,4799,13,,,,,,,,,,,,,,,,,,,,,,,,1590.00,1820.00,2150.00,2510.00,2960.00,3853.51,4799.00,7052.00,10265.00,17547.99,19405.98,21051.32,22056.29,,
企业存款:安徽:宣城市,百万人民币,14348.21077,184319702.9,13576.43926,0.883101546,-1.076120972,0.946211307,2540,37974,6437,13,,,,,,,,,,,,,,,,,,,,,,,,2540.00,3110.00,3590.00,3860.00,4880.00,6069.11,6437.00,9392.00,14049.00,27282.41,32515.48,34827.74,37974.00,,
企业存款:福建:福州市,百万人民币,183281.7342,21214165353,145650.8337,1.155870794,-0.114387736,0.794682756,50620,471549,122373.59,12,,,,,,,,,,,,,,,,,,,,,,,,50620.00,60370.00,73860.00,79150.00,101550.00,114039.18,130708.00,168463.00,184852.00,357523.63,406696.00,471549.00,,,
企业存款:福建:厦门市,百万人民币,149997.2392,13305252293,115348.3953,1.033422326,-0.306086236,0.769003456,38490,374179,110887.2,12,,,,,,,,,,,,,,,,,,,,,,,,38490.00,46460.00,51600.00,67510.00,82950.00,112772.40,109002.00,144533.00,161589.00,291138.47,319743.00,374179.00,,,
企业存款:福建:莆田市,百万人民币,13772.62833,216490724.3,14713.62377,1.432644403,0.757716382,1.068323592,2320,45772,6736.12,12,,,,,,,,,,,,,,,,,,,,,,,,2320.00,3030.00,3430.00,4080.00,6080.00,6193.87,7278.37,11203.70,10839.17,28468.43,36576.00,45772.00,,,
企业存款:福建:三明市,百万人民币,19234.24333,329190395.4,18143.60481,1.269903182,-0.086960232,0.94329704,4510,53989,10352.59,12,,,,,,,,,,,,,,,,,,,,,,,,4510.00,5450.00,6500.00,7550.00,9690.00,9742.18,10963.00,15344.00,15673.63,41861.11,49538.00,53989.00,,,
企业存款:福建:泉州市,百万人民币,76389.98583,5893686112,76770.34657,1.370287782,0.565764665,1.004979196,13450,241433,41068.325,12,,,,,,,,,,,,,,,,,,,,,,,,13450.00,18920.00,21910.00,24930.00,34190.00,38963.65,43173.00,59744.00,69381.00,158917.18,191668.00,241433.00,,,
企业存款:福建:漳州市,百万人民币,26119.63833,667008567.3,25826.509,1.448089102,0.828323484,0.988777435,5690,82884,14617.19,12,,,,,,,,,,,,,,,,,,,,,,,,5690.00,7270.00,8620.00,9520.00,11340.00,13979.38,15255.00,20459.00,20785.00,52576.28,65057.00,82884.00,,,
企业存款:福建:南平市,百万人民币,17028.51917,225757671.5,15025.23449,1.173098587,-0.241532979,0.882357082,3940,45933,10142.855,12,,,,,,,,,,,,,,,,,,,,,,,,3940.00,4740.00,5870.00,6890.00,8650.00,9294.71,10991.00,14939.08,16128.00,36751.44,40215.00,45933.00,,,
企业存款:福建:龙岩市,百万人民币,21455.45583,382913585.9,19568.17789,1.251244249,0.194390805,0.912037388,4350,61447,12681.135,12,,,,,,,,,,,,,,,,,,,,,,,,4350.00,6450.00,7470.00,7420.00,9410.00,11156.95,14205.32,20465.62,20415.80,42005.78,52669.00,61447.00,,,
企业存款:福建:宁德市,百万人民币,16625.71527,267850303.1,16366.13281,0.897877306,-1.221777081,0.984386689,2850,43265,7884.998516,13,,,,,,,,,,,,,,,,,,,,,,,,2850.00,3420.00,4210.00,4360.00,5670.00,6133.03,7885.00,10816.27,11665.39,35135.61,39503.00,41221.00,43265.00,,
企业存款:江西:南昌市,百万人民币,139924.9809,19960499163,141281.6307,1.684289383,1.565691502,1.009695551,36590,440166,80449.79,11,,,,,,,,,,,,,,,,,,,,,,,,36590.00,44520.00,51120.00,54510.00,65160.00,80449.79,93681.00,130644.00,151381.00,,,390953.00,440166.00,,
企业存款:江西:景德镇市,百万人民币,5409.185556,4930697.495,2220.517394,1.423924132,1.748769824,0.410508638,3170,10152,4880,9,,,,,,,,,,,,,,,,,,,,,,,,3170.00,3630.00,4310.00,3960.00,4880.00,5332.67,5569.00,7679.00,10152.00,,,,,,
企业存款:江西:萍乡市,百万人民币,3743.025556,4268639.546,2066.068621,1.213333001,0.181098708,0.55197823,1790,7606,2900,9,,,,,,,,,,,,,,,,,,,,,,,,1790.00,2170.00,2550.00,2360.00,2900.00,3435.23,4203.00,6673.00,7606.00,,,,,,
企业存款:江西:九江市,百万人民币,27400.35333,744301591.9,27281.89128,1.168332254,-0.366390324,0.995676623,5370,76003,13911.62,12,,,,,,,,,,,,,,,,,,,,,,,,5370.00,6430.00,7340.00,8520.00,9980.00,12335.24,15488.00,24035.00,26181.00,,62748.00,74374.00,76003.00,,
企业存款:江西:新余市,百万人民币,4824.82,11079385.18,3328.571042,0.804330584,-1.28209632,0.68988502,1590,10241,3130,9,,,,,,,,,,,,,,,,,,,,,,,,1590.00,2070.00,2680.00,2520.00,3130.00,4135.38,8003.00,10241.00,9054.00,,,,,,
企业存款:江西:鹰潭市,百万人民币,5090.346667,14257616.43,3775.925904,1.254552362,1.06012577,0.74178168,1800,12976,3100,9,,,,,,,,,,,,,,,,,,,,,,,,1800.00,2270.00,2330.00,2370.00,3100.00,5513.12,7855.00,7599.00,12976.00,,,,,,
企业存款:江西:赣州市,百万人民币,32652.2,1188560233,34475.50192,1.281914956,0.115821484,1.055840094,5590,101807,15146.2,12,,,,,,,,,,,,,,,,,,,,,,,,5590.00,7280.00,8270.00,9110.00,11470.00,13714.40,16578.00,24529.00,33758.00,,89264.00,101807.00,,70456.00,
企业存款:江西:吉安市,百万人民币,6751.328889,11731394,3425.112261,1.016390049,0.073487335,0.507324161,2960,13104,5750,9,,,,,,,,,,,,,,,,,,,,,,,,2960.00,3690.00,4710.00,5000.00,5750.00,6675.96,7553.00,11319.00,13104.00,,,,,,
企业存款:江西:宜春市,百万人民币,8842.551111,22557004.7,4749.421513,0.810058165,-0.487931862,0.537109874,3740,17371,7550,9,,,,,,,,,,,,,,,,,,,,,,,,3740.00,4500.00,5200.00,5930.00,7550.00,9574.96,11040.00,14677.00,17371.00,,,,,,
企业存款:江西:抚州市,百万人民币,5303.605556,4213310.786,2052.635083,0.979272033,-0.276181747,0.387026347,3070,8960,4390,9,,,,,,,,,,,,,,,,,,,,,,,,3070.00,3740.00,3940.00,4060.00,4390.00,5491.17,5902.00,8179.28,8960.00,,,,,,
企业存款:江西:上饶市,百万人民币,7888.642222,18356857.38,4284.490329,1.174929802,0.06033004,0.54312139,3730,15719.53,6030,9,,,,,,,,,,,,,,,,,,,,,,,,3730.00,4560.00,5180.00,5360.00,6030.00,7567.56,8700.19,14150.50,15719.53,,,,,,
企业存款:山东:济南市,百万人民币,158148,6247321958,79040.00226,0.865438332,-0.502212179,0.499785026,70400,295527,133300,9,,,,,,,,,,,,,,,,,,,,,,,,70400.00,89780.00,102130.00,114880.00,133300.00,156719.00,193618.00,266978.00,295527.00,,,,,,
企业存款:山东:青岛市,百万人民币,127916.4444,5192670351,72060.18561,1.214231206,0.702539842,0.563337935,58200,272720,101440,9,,,,,,,,,,,,,,,,,,,,,,,,58200.00,70270.00,79090.00,80960.00,101440.00,132136.00,146420.00,210012.00,272720.00,,,,,,
企业存款:山东:淄博市,百万人民币,46028.9,1376856433,37106.01613,2.128620678,4.829281241,0.806146055,18170,139960,29789,10,,,,,,,,,,,,,,,,,,,,,,,,18170.00,22300.00,25460.00,26200.00,26030.00,33378.00,37774.00,61892.00,69125.00,,,139960.00,,,
企业存款:山东:枣庄市,百万人民币,10631.77778,41270770.19,6424.233043,0.977313428,-0.669250639,0.604248243,4200,21038,7050,9,,,,,,,,,,,,,,,,,,,,,,,,4200.00,6140.00,7050.00,6040.00,6850.00,9751.00,13978.00,21038.00,20639.00,,,,,,
企业存款:山东:东营市,百万人民币,21998.77778,109393958.9,10459.1567,1.1430345,0.263573498,0.475442627,11490,42008,19090,9,,,,,,,,,,,,,,,,,,,,,,,,11490.00,14740.00,14680.00,14340.00,19090.00,21670.00,24360.00,35611.00,42008.00,,,,,,
企业存款:山东:烟台市,百万人民币,56246.22222,860090460.4,29327.29889,1.102027056,-0.001381571,0.521409221,28110,110977,44090,9,,,,,,,,,,,,,,,,,,,,,,,,28110.00,32560.00,36160.00,37230.00,44090.00,56641.00,64899.00,95549.00,110977.00,,,,,,
企业存款:山东:潍坊市,百万人民币,35961.79222,417025343.2,20421.19838,1.294082915,0.72937376,0.567858194,16420,76576.13,27450,9,,,,,,,,,,,,,,,,,,,,,,,,16420.00,19290.00,22820.00,26200.00,27450.00,33993.00,38997.00,61910.00,76576.13,,,,,,
企业存款:山东:济宁市,百万人民币,26259.33333,214979806.3,14662.18968,1.080152772,-0.183815411,0.558361079,11380,52257,20420,9,,,,,,,,,,,,,,,,,,,,,,,,11380.00,14550.00,16750.00,17860.00,20420.00,24460.00,30798.00,47859.00,52257.00,,,,,,
企业存款:山东:泰安市,百万人民币,15944.33333,52775305,7264.661382,0.825148303,-0.177041057,0.455626537,7090,28755,14770,9,,,,,,,,,,,,,,,,,,,,,,,,7090.00,8880.00,12280.00,12770.00,14770.00,14924.00,18132.00,25898.00,28755.00,,,,,,
企业存款:山东:威海市,百万人民币,20324.55556,79486278.53,8915.507755,0.471679018,-1.112671022,0.43865696,8860,33428,18060,9,,,,,,,,,,,,,,,,,,,,,,,,8860.00,12330.00,14230.00,14690.00,18060.00,23769.00,24301.00,33253.00,33428.00,,,,,,
企业存款:山东:日照市,百万人民币,11566,37470595.25,6121.322998,0.803575948,-0.170947002,0.529251513,4420,22806,9770,9,,,,,,,,,,,,,,,,,,,,,,,,4420.00,5770.00,7010.00,9120.00,9770.00,13397.00,12911.00,18890.00,22806.00,,,,,,
企业存款:山东:莱芜市,百万人民币,8590.333333,18362391,4285.136054,0.293697696,-1.526085347,0.498832337,3460,15329,7590,9,,,,,,,,,,,,,,,,,,,,,,,,3460.00,4040.00,5190.00,5940.00,7590.00,10896.00,12514.00,15329.00,12354.00,,,,,,
企业存款:山东:临沂市,百万人民币,17845.7,83554930.51,9140.838611,1.411830691,1.119981899,0.51221519,8950,36529.3,13720,9,,,,,,,,,,,,,,,,,,,,,,,,8950.00,11230.00,12980.00,13000.00,13720.00,16477.00,18477.00,29248.00,36529.30,,,,,,
企业存款:山东:德州市,百万人民币,20069.45455,300035356.3,17321.52869,1.600107415,1.430246033,0.863079196,6300,57694,11308,11,,,,,,,,,,,,,,,,,,,,,,,,6300.00,8800.00,9300.00,9780.00,10720.00,11308.00,12855.00,20669.00,24866.00,,48472.00,57694.00,,,
企业存款:山东:聊城市,百万人民币,10701.11111,34738554.86,5893.942217,1.37251052,0.318967958,0.550778527,5890,21356,8090,9,,,,,,,,,,,,,,,,,,,,,,,,5890.00,6840.00,7060.00,6720.00,8090.00,9493.00,10729.00,20132.00,21356.00,,,,,,
企业存款:山东:滨州市,百万人民币,12461.77778,66497547.19,8154.602823,1.293795379,0.443891527,0.654369141,4450,27934,9050,9,,,,,,,,,,,,,,,,,,,,,,,,4450.00,6600.00,7810.00,7730.00,9050.00,12383.00,11984.00,24215.00,27934.00,,,,,,
企业存款:山东:菏泽市,百万人民币,7796.333333,12032339.25,3468.766243,1.039821614,-0.145890802,0.444922773,3800,13611,6350,9,,,,,,,,,,,,,,,,,,,,,,,,3800.00,5210.00,5990.00,6130.00,6350.00,7101.00,8663.00,13611.00,13312.00,,,,,,
企业存款:河南:郑州市,百万人民币,245446.8392,48561972210,220367.8112,1.507840411,1.178412032,0.897822974,73690,715850.8219,151912.43,11,,,,,,,,,,,,,,,,,,,,,,,,73690.00,87350.00,89760.00,95710.00,122390.00,151912.43,177406.00,269482.00,310578.00,,605785.98,715850.82,,,
企业存款:河南:开封市,百万人民币,10446.21754,103708916.2,10183.75747,1.840507543,2.143710497,0.974875109,4220,33382.8614,5520.57,11,,,,,,,,,,,,,,,,,,,,,,,,4220.00,4380.00,4940.00,4440.00,5330.00,5520.57,5720.00,9030.00,10345.00,,27599.96,33382.86,,,
企业存款:河南:洛阳市,百万人民币,59088.4054,3364615364,58005.30462,1.326215485,0.118418003,0.981669826,15490,176040,30568.73,12,,,,,,,,,,,,,,,,,,,,,,,,15490.00,17900.00,19380.00,21080.00,24670.00,29699.46,31438.00,40461.00,51810.00,,129803.55,151288.85,176040.00,,
企业存款:河南:平顶山市,百万人民币,19042.78711,288180568.6,16975.88197,1.736555253,1.896991834,0.891459946,4890,56390.8873,13690,11,,,,,,,,,,,,,,,,,,,,,,,,4890.00,6350.00,8500.00,10600.00,13690.00,12515.57,15722.00,15681.00,17013.00,,48118.20,56390.89,,,
企业存款:河南:安阳市,百万人民币,17457.65373,201628556.6,14199.59706,1.599364854,1.286449923,0.813373737,6890,46764.11612,11238.47,11,,,,,,,,,,,,,,,,,,,,,,,,6890.00,7760.00,7910.00,8320.00,9780.00,11238.47,13144.00,17398.00,19770.00,,43059.60,46764.12,,,
企业存款:河南:鹤壁市,百万人民币,6369.225607,34820736.72,5900.909821,1.182889975,-0.278403556,0.9264721,1610,17498,3468.705,12,,,,,,,,,,,,,,,,,,,,,,,,1610.00,1950.00,1850.00,2000.00,3040.00,3181.41,3756.00,5822.00,5837.00,,13993.60,15892.70,17498.00,,
企业存款:河南:新乡市,百万人民币,19412.56514,292804938.8,17111.54402,1.745587,1.793218265,0.881467436,7210,56976.98153,11278.39,11,,,,,,,,,,,,,,,,,,,,,,,,7210.00,8490.00,9900.00,10240.00,10620.00,11278.39,11750.00,16274.00,22153.00,,48645.85,56976.98,,,
企业存款:河南:焦作市,百万人民币,13277.78148,128978800.1,11356.88338,1.788051861,1.847113331,0.855329891,4500,37586.70322,8610,11,,,,,,,,,,,,,,,,,,,,,,,,4500.00,6000.00,6610.00,7680.00,8610.00,8600.10,9434.00,11516.00,11541.00,,33977.79,37586.70,,,
企业存款:河南:濮阳市,百万人民币,8747.310309,50674719.4,7118.617801,1.769062813,1.925931764,0.813806479,3560,24458.80531,6040.79,11,,,,,,,,,,,,,,,,,,,,,,,,3560.00,3910.00,4460.00,4700.00,4920.00,6040.79,7144.00,8257.00,7809.31,,20960.51,24458.81,,,
企业存款:河南:许昌市,百万人民币,14168.22535,267992486.6,16370.47607,1.830723558,2.13603523,1.15543589,3170,51054.41915,7403.67,11,,,,,,,,,,,,,,,,,,,,,,,,3170.00,3850.00,4870.00,4810.00,6120.00,7403.67,7868.00,10511.00,14564.00,,41629.39,51054.42,,,
企业存款:河南:漯河市,百万人民币,7849.242488,42351263.65,6507.784849,1.525713795,1.007729032,0.829097185,2700,20497.22744,4738.97,11,,,,,,,,,,,,,,,,,,,,,,,,2700.00,3650.00,3640.00,3480.00,4220.00,4738.97,5607.00,8098.00,9541.00,,20169.47,20497.23,,,
企业存款:河南:三门峡市,百万人民币,11350.76437,130660345,11430.67562,1.721504333,1.695292152,1.007040165,2880,35999.60073,6619.09,11,,,,,,,,,,,,,,,,,,,,,,,,2880.00,3470.00,4220.00,5160.00,6230.00,6619.09,7202.00,8965.00,12695.00,,31417.72,35999.60,,,
企业存款:河南:南阳市,百万人民币,28834.02762,962012709.9,31016.32973,1.362479807,0.052316839,1.075684956,7630,89221,11692,12,,,,,,,,,,,,,,,,,,,,,,,,7630.00,8830.00,9010.00,10590.00,11550.00,11470.93,11834.00,15828.00,21255.00,,67590.99,81198.41,89221.00,,
企业存款:河南:商丘市,百万人民币,10850.19107,163617301,12791.29786,1.919165442,2.335479915,1.178900701,3290,39781.30849,5711.93,11,,,,,,,,,,,,,,,,,,,,,,,,3290.00,3580.00,3840.00,4080.00,4590.00,5711.93,6158.00,6731.00,8716.00,,32873.86,39781.31,,,
企业存款:河南:信阳市,百万人民币,14732.32027,222956483.8,14931.72742,1.815257486,2.016889519,1.013535353,4770,47819.75172,8514.5,11,,,,,,,,,,,,,,,,,,,,,,,,4990.00,4770.00,6460.00,6410.00,6900.00,8514.50,9136.00,12447.00,14070.00,,40538.27,47819.75,,,
企业存款:河南:周口市,百万人民币,9191.357662,89433674.6,9456.937908,1.885563341,2.186141265,1.028894561,3660,30259.57115,5534.73,11,,,,,,,,,,,,,,,,,,,,,,,,3810.00,3720.00,3860.00,3660.00,4220.00,5534.73,5753.00,7205.00,7304.00,,25778.63,30259.57,,,
企业存款:河南:驻马店市,百万人民币,15765.74468,330478593.3,18179.0702,1.412523346,0.339726324,1.153073995,3080,53028,6779.06,12,,,,,,,,,,,,,,,,,,,,,,,,3080.00,3760.00,3930.00,4260.00,5570.00,6735.12,6823.00,9582.00,10049.00,,36686.55,45685.27,53028.00,,
企业存款:湖北:武汉市,百万人民币,238315.7778,14595455454,120811.6528,0.981755461,-0.266414755,0.506939381,115510,459536,190170,9,,,,,,,,,,,,,,,,,,,,,,,,115510.00,135940.00,153770.00,164900.00,190170.00,237569.00,292806.00,394641.00,459536.00,,,,,,
企业存款:湖北:黄石市,百万人民币,11146.22222,39452851.44,6281.150487,0.617405868,-1.090382483,0.563522812,4250,21640,9090,9,,,,,,,,,,,,,,,,,,,,,,,,4250.00,5140.00,6110.00,7480.00,9090.00,12230.00,15662.00,18714.00,21640.00,,,,,,
企业存款:湖北:十堰市,百万人民币,12221.88889,13375700.36,3657.28046,1.228654419,2.064034697,0.299240199,8000,20106,11450,9,,,,,,,,,,,,,,,,,,,,,,,,8000.00,8480.00,10460.00,11220.00,11450.00,11937.00,13611.00,14733.00,20106.00,,,,,,
企业存款:湖北:宜昌市,百万人民币,26609.11111,173613765.1,13176.25763,1.049548384,-0.085662075,0.495178421,13700,51262,20440,9,,,,,,,,,,,,,,,,,,,,,,,,13700.00,16790.00,17630.00,16980.00,20440.00,28256.00,30922.00,43502.00,51262.00,,,,,,
企业存款:湖北:襄阳市,百万人民币,14733.88889,27341463.61,5228.906541,1.212138222,0.43436417,0.354889777,9210,24751,13270,9,,,,,,,,,,,,,,,,,,,,,,,,9210.00,11230.00,11060.00,11890.00,13270.00,13898.00,15444.00,21852.00,24751.00,,,,,,
企业存款:湖北:鄂州市,百万人民币,3142.444444,1875548.528,1369.506673,1.725186398,2.827700004,0.435809351,2088,6239,2550,9,,,,,,,,,,,,,,,,,,,,,,,,2220.00,2970.00,2280.00,2190.00,2550.00,2088.00,3451.00,4294.00,6239.00,,,,,,
企业存款:湖北:荆门市,百万人民币,5788.777778,6103826.944,2470.592428,0.993757108,-0.127233553,0.426789993,3170,10430,4770,9,,,,,,,,,,,,,,,,,,,,,,,,3170.00,3880.00,4310.00,4030.00,4770.00,5653.00,7122.00,8734.00,10430.00,,,,,,
企业存款:湖北:孝感市,百万人民币,13964.72727,233188969.2,15270.52616,1.771184567,1.737063272,1.093506938,3780,46157,7452,11,,,,,,,,,,,,,,,,,,,,,,,,3780.00,4190.00,4940.00,5050.00,6150.00,7452.00,9000.00,11080.00,13586.00,,,42227.00,46157.00,,
企业存款:湖北:荆州市,百万人民币,19607.16667,352183440.2,18766.5511,1.302601138,0.065172108,0.957127127,5820,56456,10798,12,,,,,,,,,,,,,,,,,,,,,,,,5820.00,6200.00,6690.00,6210.00,7630.00,9548.00,12048.00,14640.00,17537.00,,41293.00,51214.00,56456.00,,
企业存款:湖北:黄冈市,百万人民币,6844.222222,16929995.19,4114.607538,1.135815906,0.518611518,0.601179711,2940,15047,5330,9,,,,,,,,,,,,,,,,,,,,,,,,2940.00,3220.00,3670.00,4750.00,5330.00,6651.00,8744.00,11246.00,15047.00,,,,,,
企业存款:湖北:咸宁市,百万人民币,4178.333333,4370869.5,2090.662455,0.947164924,-0.317043498,0.500357987,2060,8048,3280,9,,,,,,,,,,,,,,,,,,,,,,,,2060.00,2510.00,2850.00,2580.00,3280.00,4268.00,5327.00,6682.00,8048.00,,,,,,
企业存款:湖北:随州市,百万人民币,3218.333333,2915348.5,1707.439164,0.936584128,-0.068155452,0.530535214,1410,6427,2790,9,,,,,,,,,,,,,,,,,,,,,,,,1410.00,1730.00,2010.00,2050.00,2790.00,3542.00,3752.00,5254.00,6427.00,,,,,,
企业存款:湖南:长沙市,百万人民币,230043.1989,34892512603,186795.3763,0.980316559,-0.433854511,0.812001299,51110,589158.4345,147874.145,12,,,,,,,,,,,,,,,,,,,,,,,,51110.00,66360.00,78600.00,89280.00,110820.00,138688.29,157060.00,245327.00,286763.29,433398.48,513952.89,589158.43,,,
企业存款:湖南:株洲市,百万人民币,26203.37777,487839455.2,22087.08797,1.137281741,-0.120900735,0.842909955,5620,70081.0486,17075.945,12,,,,,,,,,,,,,,,,,,,,,,,,5620.00,7910.00,9610.00,10520.00,12490.00,16501.89,17650.00,23952.00,28282.00,51946.53,59877.07,70081.05,,,
企业存款:湖南:湘潭市,百万人民币,20517.25839,367411907.1,19167.99173,1.144791692,-0.079646511,0.934237478,3760,58660,12555,13,,,,,,,,,,,,,,,,,,,,,,,,3760.00,4480.00,5060.00,6200.00,8470.00,10429.26,12555.00,16215.00,15021.00,32391.36,39786.45,53696.29,58660.00,,
企业存款:湖南:衡阳市,百万人民币,23207.37093,422597565.1,20557.17795,1.066167399,-0.274006686,0.885803825,5090,65302,13381,13,,,,,,,,,,,,,,,,,,,,,,,,5090.00,5920.00,6930.00,7360.00,9520.00,11871.93,13381.00,16817.58,20810.70,39318.22,45495.56,53878.83,65302.00,,
企业存款:湖南:邵阳市,百万人民币,14302.85301,181804799.9,13483.50103,1.062715004,-0.509923584,0.942714088,2520,40933,7179,13,,,,,,,,,,,,,,,,,,,,,,,,2520.00,3260.00,5440.00,4340.00,5440.00,6169.53,7179.00,9529.37,10458.00,25382.33,30997.77,34288.09,40933.00,,
企业存款:湖南:岳阳市,百万人民币,16629.29524,214886688.3,14659.01389,0.982858419,-0.725681667,0.881517448,2850,43978,9337,13,,,,,,,,,,,,,,,,,,,,,,,,5330.00,5060.00,2850.00,5810.00,6300.00,8613.69,9337.00,12647.00,12948.00,28874.32,34859.75,39573.08,43978.00,,
企业存款:湖南:常德市,百万人民币,19312.09496,387256531.2,19678.8346,1.177795584,-0.005396157,1.018990153,3950,60830,7714,13,,,,,,,,,,,,,,,,,,,,,,,,3950.00,4250.00,5470.00,6030.00,4250.00,7132.05,7714.00,13031.00,15687.00,32730.81,41038.93,48943.44,60830.00,,
企业存款:湖南:张家界市,百万人民币,5642.394356,19376833.46,4401.912478,0.751686212,-0.997891146,0.780149738,1160,13700,3885.7,13,,,,,,,,,,,,,,,,,,,,,,,,1160.00,1340.00,3100.00,1690.00,6900.00,2345.76,2660.79,3885.70,4359.74,9706.04,10414.77,12088.33,13700.00,,
企业存款:湖南:益阳市,百万人民币,9835.768407,63044633.3,7940.065069,1.096254979,-0.232458413,0.807264338,2190,25009.74245,7164,12,,,,,,,,,,,,,,,,,,,,,,,,2190.00,2380.00,5530.00,3300.00,7590.00,5367.16,6738.00,8576.00,9428.00,19532.96,22387.35,25009.74,,,
企业存款:湖南:郴州市,百万人民币,18907.9675,319275100.1,17868.27076,0.949602523,-0.744199729,0.945012771,3140,51870,11123,13,,,,,,,,,,,,,,,,,,,,,,,,3140.00,4210.00,3310.00,6430.00,4530.00,9585.72,11123.00,14269.00,15739.52,34018.85,39986.75,47590.74,51870.00,,
企业存款:湖南:永州市,百万人民币,9881.455334,76311135.94,8735.62453,1.250051653,0.235972364,0.884042303,2130,28087.79459,5964.355,12,,,,,,,,,,,,,,,,,,,,,,,,2130.00,2960.00,3960.00,3400.00,4790.00,5543.71,6385.00,8872.00,9899.00,19650.33,22899.63,28087.79,,,
企业存款:湖南:怀化市,百万人民币,12283.98331,112587713.7,10610.73578,0.902132968,-1.06912726,0.863786242,2560,30150,6863,13,,,,,,,,,,,,,,,,,,,,,,,,2560.00,3420.00,4080.00,4060.00,5180.00,6447.80,6863.00,9300.00,9360.00,22667.06,26577.10,29026.83,30150.00,,
企业存款:湖南:娄底市,百万人民币,13627.64351,171144794.3,13082.23201,0.859705002,-1.182518436,0.959977563,2000,35171.31772,8652,13,,,,,,,,,,,,,,,,,,,,,,,,2820.00,3300.00,2190.00,4490.00,2000.00,6851.43,8652.00,10330.00,8731.16,27357.33,32330.13,35171.32,32936.00,,
企业存款:广东:广州市,百万人民币,525682.3333,47260756674,217395.3925,0.674785859,-0.894976479,0.413548979,290490,890874,472850,9,,,,,,,,,,,,,,,,,,,,,,,,290490.00,317400.00,347120.00,398390.00,472850.00,563787.00,641013.00,809217.00,890874.00,,,,,,
企业存款:广东:韶关市,百万人民币,9876.5,7518402,2741.970459,0.754804807,-0.827595839,0.277625724,6940,14536,8850,8,,,,,,,,,,,,,,,,,,,,,,,,6940.00,8000.00,7820.00,7920.00,9700.00,11256.00,12840.00,14536.00,,,,,,,
企业存款:广东:深圳市,百万人民币,175190.1884,63273364862,251541.9744,1.847516325,3.049886734,1.435822272,27.56,965890,59807.19,32,27.56,70.33,200.40,314.03,642.83,2438.53,1838.33,3498.95,4927.04,7706.17,6859.86,9514.90,16336.36,29578.16,36643.20,55823.00,63791.38,84169.00,100116.00,120609.00,135383.00,170980.00,208240.00,234192.00,285930.00,328500.00,376830.00,397950.00,519679.00,595917.00,841490.00,965890.00,,,,,,
企业存款:广东:珠海市,百万人民币,49931,907790204.8,30129.557,1.287097906,0.605828959,0.603423865,22240,109089,38140,9,,,,,,,,,,,,,,,,,,,,,,,,22240.00,25530.00,28890.00,34650.00,38140.00,48069.00,53204.00,89567.00,109089.00,,,,,,
企业存款:广东:汕头市,百万人民币,17536.77778,41671018.94,6455.309361,1.654321124,2.415793734,0.368101224,12390,31854,14750,9,,,,,,,,,,,,,,,,,,,,,,,,12390.00,12590.00,13850.00,13400.00,14750.00,16950.00,18350.00,23697.00,31854.00,,,,,,
企业存款:广东:佛山市,百万人民币,112800.3344,2296123484,47917.88271,1.061930109,-0.09977708,0.424802665,59710,196264,97170,9,,,,,,,,,,,,,,,,,,,,,,,,59710.00,78730.00,80720.00,85880.00,97170.00,109554.01,121280.00,185895.00,196264.00,,,,,,
企业存款:广东:江门市,百万人民币,24262.66667,68230315.75,8260.16439,1.092546402,0.274219245,0.340447507,15290,40036,20960,9,,,,,,,,,,,,,,,,,,,,,,,,15290.00,17460.00,18810.00,20610.00,20960.00,23995.00,26368.00,34835.00,40036.00,,,,,,
企业存款:广东:湛江市,百万人民币,14926.74889,50081883.05,7076.855449,0.949605659,-0.186630135,0.474105614,7940,28074.71,13190,9,,,,,,,,,,,,,,,,,,,,,,,,7940.00,9090.00,9240.00,9810.00,13190.00,16021.00,17299.59,23675.44,28074.71,,,,,,
