"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
企业存款:辽宁:盘锦市,百万人民币,15255.381,123072589.2,11093.8086,2.098404696,5.163827972,0.727206262,5540,43540,12913.5,10,,,,,,,,,,,,,,,,,,,,,,,,5540.00,6540.00,8060.00,9500.00,11890.00,14470.81,13937.00,18531.00,20545.00,,,43540.00,,,
企业存款:辽宁:铁岭市,百万人民币,9357.139091,42934725.48,6552.459499,0.896972819,-0.347074125,0.700263129,2410,21240,7370.53,11,,,,,,,,,,,,,,,,,,,,,,,,2410.00,2880.00,3640.00,5280.00,6670.00,7370.53,8087.00,13447.00,11944.00,,,19960.00,21240.00,,
企业存款:辽宁:朝阳市,百万人民币,11756.23968,114062910.1,10680.02388,1.131519336,-0.35305644,0.90845578,2380,31040,7566.905,12,,,,,,,,,,,,,,,,,,,,,,,,2380.00,2610.00,3530.00,4100.00,5870.00,7506.81,7627.00,9805.00,11438.00,,25318.07,29850.00,31040.00,,
企业存款:辽宁:葫芦岛市,百万人民币,14709.23999,127215807.3,11278.99851,1.346201828,0.859257878,0.766796824,4320,37640,11633.73,11,,,,,,,,,,,,,,,,,,,,,,,,5180.00,4320.00,5650.00,6570.00,11420.00,11633.73,12639.00,16735.00,16104.00,,33909.91,37640.00,,,
企业存款:吉林:长春市,百万人民币,89090.55556,2545434259,50452.29686,1.279895995,0.388299293,0.566303539,46880,185958,68290,9,,,,,,,,,,,,,,,,,,,,,,,,46880.00,51080.00,52090.00,56650.00,68290.00,86347.00,95810.00,158710.00,185958.00,,,,,,
企业存款:吉林:吉林市,百万人民币,13284.66667,68542764.75,8279.055789,0.841970528,0.288152808,0.623203878,1700,28115,10840,9,,,,,,,,,,,,,,,,,,,,,,,,7650.00,9710.00,10590.00,10840.00,11710.00,14447.00,1700.00,24800.00,28115.00,,,,,,
企业存款:吉林:四平市,百万人民币,3895.777778,3127962.444,1768.60466,0.961262918,-0.537200369,0.453979863,2320,6984,3220,9,,,,,,,,,,,,,,,,,,,,,,,,2450.00,2360.00,2320.00,2780.00,3220.00,3848.00,4720.00,6380.00,6984.00,,,,,,
企业存款:吉林:辽源市,百万人民币,2675.888889,1748329.111,1322.243968,1.13403106,1.16375915,0.494132613,1210,5407,2280,9,,,,,,,,,,,,,,,,,,,,,,,,1450.00,1210.00,1780.00,2160.00,2280.00,2846.00,3060.00,3890.00,5407.00,,,,,,
企业存款:吉林:通化市,百万人民币,5274.777778,4932717.444,2220.972185,1.193970343,1.430569226,0.421055119,2850,9952,4560,9,,,,,,,,,,,,,,,,,,,,,,,,2850.00,3230.00,4060.00,4020.00,4560.00,5581.00,6220.00,7000.00,9952.00,,,,,,
企业存款:吉林:白山市,百万人民币,3263.888889,3749292.611,1936.309017,0.553642468,-1.138310337,0.593252124,1190,6189,3020,9,,,,,,,,,,,,,,,,,,,,,,,,1190.00,1200.00,1680.00,2140.00,3020.00,3566.00,4330.00,6060.00,6189.00,,,,,,
