"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
工业总产值:山西:太原市,百万人民币,132772.2315,8024339805,89578.67941,0.078419413,-1.763875573,0.674679324,27377.5,258873.92,133160.78,20,,,,,,,,,,,,,,,,,,,28333.17,28849.34,,27377.50,31051.85,33213.19,38541.32,51832.00,71986.06,92139.54,109640.52,162472.11,192072.00,156681.04,199465.27,242749.69,258873.92,250396.92,243100.43,215927.02,220741.74,,
工业总产值:山西:大同市,百万人民币,53406.2815,1318004301,36304.32896,0.404804831,-1.424750695,0.679776385,11317.49,108107.74,46729.125,20,,,,,,,,,,,,,,,,,,,16099.62,15632.94,,11317.49,12653.03,15980.86,18771.22,23906.74,31909.07,36811.02,41023.37,52434.88,60343.15,53597.00,73759.05,97426.57,107555.13,105191.23,108107.74,105422.57,80182.95,,
工业总产值:山西:阳泉市,百万人民币,34335.5625,594585952.1,24384.1332,0.327734843,-1.477979979,0.710171363,7162.43,74133.48,28883.92,20,,,,,,,,,,,,,,,,,,,7608.34,8573.71,,7162.43,7528.91,8302.85,9990.24,12930.77,20150.65,22260.96,25313.29,32454.55,40033.12,44218.16,54261.18,66930.00,74133.48,71599.40,65687.90,53899.54,53671.77,,
工业总产值:山西:长治市,百万人民币,89196.654,5489596820,74091.81345,0.356077966,-1.482650436,0.83065687,9588.51,207263.02,71561.87,20,,,,,,,,,,,,,,,,,,,9656.36,11550.17,,9588.51,10153.31,11398.78,14491.84,24180.60,38077.47,51850.40,62122.17,81001.57,112233.49,115899.96,143328.28,194384.70,207263.02,201708.58,187845.95,142818.85,154379.07,,
工业总产值:山西:晋城市,百万人民币,48997.3345,1594007655,39925.02543,0.29095064,-1.644079716,0.814840763,5338.38,111763.21,36328.05,20,,,,,,,,,,,,,,,,,,,5338.38,5893.38,,6630.63,5858.79,7188.38,10251.60,13559.65,20977.07,28694.84,32107.26,40548.84,60314.76,71334.53,85112.44,108577.10,111763.21,101787.86,92520.56,87300.82,84186.59,,
工业总产值:山西:朔州市,百万人民币,50949.696,2105270815,45883.23022,0.638100516,-1.030419234,0.90055945,5776.03,132412.93,37092,20,,,,,,,,,,,,,,,,,,,6921.91,7241.81,,5776.03,6196.20,7139.32,8483.74,10276.56,15977.17,23029.50,31341.79,42842.21,57862.36,64953.47,82851.36,116989.20,132276.84,132412.93,115927.13,76239.29,74255.10,,
工业总产值:山西:晋中市,百万人民币,71727.80824,2245070828,47382.17838,-0.008210429,-1.731895993,0.660583106,10652.08,136189.35,77006.2,17,,,,,,,,,,,,,,,,,,,,,,,10652.08,11346.69,13665.45,17757.81,27527.34,35029.38,41979.35,56678.67,82391.45,77006.20,103023.74,118500.11,136189.35,133282.75,125385.96,108921.31,120035.10,,
工业总产值:山西:运城市,百万人民币,90765.90118,2851946018,53403.61428,0.048306288,-1.516919827,0.588366486,17670.22,166194.27,83912.36,17,,,,,,,,,,,,,,,,,,,,,,,17670.22,20122.66,24536.21,34782.50,43378.40,51060.56,67627.33,83912.36,95243.60,82006.27,125262.32,166194.27,141064.33,163340.00,162932.59,132375.26,131511.44,,
工业总产值:山西:忻州市,百万人民币,35183.77941,866176100.5,29430.86986,0.396271371,-1.641286919,0.836489722,3197.95,80161.04,24310.88,17,,,,,,,,,,,,,,,,,,,,,,,3197.95,3582.33,4181.95,6100.72,8068.21,11337.36,15219.84,23511.00,31416.54,24310.88,39303.39,61966.98,72261.13,80161.04,76282.43,69860.02,67362.48,,
工业总产值:山西:临汾市,百万人民币,102775.9718,3832449494,61906.78068,-0.031343538,-1.193218572,0.602346829,11670.94,192691.14,99330,17,,,,,,,,,,,,,,,,,,,,,,,11670.94,14958.77,19888.17,34283.42,56305.74,72521.97,82368.88,96053.55,127085.57,99330.00,138010.49,184246.03,191578.39,192691.14,169452.50,128967.30,127778.66,,
