指标名称（亿元）,频率,1993,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
消费品零售:山西:忻州,年,,,,,,37.19 ,40.07 ,44.07 ,49.37 ,57.05 ,64.39 ,73.82 ,89.10 ,112.93 ,133.73 ,169.82 ,185.52 ,232.88 ,246.04 ,295.40 ,311.18 ,338.02 ,361.55 ,390.20 
消费品零售:山西:临汾,年,,,,,,58.46 ,63.61 ,71.24 ,74.07 ,90.33 ,132.04 ,154.02 ,185.64 ,224.06 ,272.55 ,306.49 ,360.69 ,431.70 ,475.50 ,545.01 ,571.98 ,609.44 ,617.54 ,687.10 
消费品零售:山西:吕梁,年,,,,,,28.88 ,,,35.77 ,42.92 ,83.83 ,101.03 ,125.48 ,160.94 ,197.04 ,222.50 ,261.05 ,312.43 ,344.04 ,388.67 ,405.97 ,433.74 ,461.57 ,498.60 
消费品零售:内蒙古:包头,年,,56.61 ,66.56 ,71.15 ,78.37 ,87.65 ,98.59 ,113.30 ,139.30 ,177.47 ,290.08 ,349.42 ,416.86 ,515.74 ,617.72 ,730.81 ,857.54 ,975.10 ,"1,077.36 ","1,184.67 ","1,276.57 ","1,400.22 ","1,486.41 ","1,511.00 "
消费品零售:内蒙古:乌海,年,,7.84 ,9.18 ,10.32 ,11.19 ,12.45 ,14.01 ,15.90 ,18.21 ,22.70 ,28.97 ,33.78 ,40.54 ,50.78 ,60.92 ,71.69 ,86.12 ,100.90 ,113.73 ,127.02 ,139.06 ,151.93 ,161.84 ,155.03 
消费品零售:内蒙古:赤峰,年,,50.50 ,58.03 ,62.85 ,68.16 ,73.08 ,79.31 ,88.91 ,98.00 ,118.09 ,137.24 ,160.30 ,192.20 ,239.87 ,287.00 ,336.72 ,399.91 ,469.20 ,526.56 ,587.39 ,637.08 ,700.25 ,758.67 ,810.80 
消费品零售:内蒙古:通辽,年,,,,,39.99 ,45.02 ,50.02 ,56.21 ,66.50 ,77.91 ,91.14 ,110.96 ,133.15 ,166.20 ,204.38 ,242.65 ,290.03 ,330.50 ,372.35 ,435.44 ,469.32 ,515.34 ,551.09 ,
消费品零售:内蒙古:呼伦贝尔,年,,,,,,55.34 ,60.33 ,67.63 ,71.97 ,86.65 ,108.12 ,126.45 ,151.79 ,189.59 ,247.29 ,294.60 ,349.00 ,405.50 ,456.80 ,504.06 ,545.88 ,600.27 ,644.30 ,678.58 
消费品零售:内蒙古:巴彦淖尔,年,,,,,,32.24 ,,,41.00 ,48.77 ,52.43 ,60.97 ,72.70 ,90.73 ,108.79 ,124.26 ,151.61 ,173.00 ,194.47 ,216.09 ,234.49 ,257.68 ,278.14 ,296.20 
消费品零售:内蒙古:乌兰察布,年,,,,,,25.75 ,,,40.60 ,49.02 ,66.46 ,77.56 ,92.29 ,114.37 ,136.30 ,157.68 ,187.02 ,216.40 ,239.46 ,269.19 ,290.41 ,317.11 ,341.66 ,365.50 
